Medicine_ID,Medicine,Batch_ID,Expiry_Date
M001,Paracetamol,M001_B0001,2026-08-11
M001,Paracetamol,M001_B0002,2027-01-03
M001,Paracetamol,M001_B0003,2026-12-27
M001,Paracetamol,M001_B0004,2027-04-12
M001,Paracetamol,M001_B0005,2026-09-24
M001,Paracetamol,M001_B0006,2026-11-11
M001,Paracetamol,M001_B0007,2027-07-09
M001,Paracetamol,M001_B0008,2027-08-12
M001,Paracetamol,M001_B0009,2027-02-03
M001,Paracetamol,M001_B0010,2026-12-12
M001,Paracetamol,M001_B0011,2027-08-27
M001,Paracetamol,M001_B0012,2027-05-06
M001,Paracetamol,M001_B0013,2027-08-26
M001,Paracetamol,M001_B0014,2027-10-22
M001,Paracetamol,M001_B0015,2027-10-23
M001,Paracetamol,M001_B0016,2027-03-26
M001,Paracetamol,M001_B0017,2027-11-01
M001,Paracetamol,M001_B0018,2027-12-05
M001,Paracetamol,M001_B0019,2027-04-11
M001,Paracetamol,M001_B0020,2027-06-15
M001,Paracetamol,M001_B0021,2027-05-25
M001,Paracetamol,M001_B0022,2028-01-20
M001,Paracetamol,M001_B0023,2028-03-26
M001,Paracetamol,M001_B0024,2027-08-03
M001,Paracetamol,M001_B0025,2028-05-16
M001,Paracetamol,M001_B0026,2028-02-11
M001,Paracetamol,M001_B0027,2027-12-15
M001,Paracetamol,M001_B0028,2027-09-08
M001,Paracetamol,M001_B0029,2027-10-15
M001,Paracetamol,M001_B0030,2027-11-17
M001,Paracetamol,M001_B0031,2028-02-08
M001,Paracetamol,M001_B0032,2028-03-22
M001,Paracetamol,M001_B0033,2028-07-11
M001,Paracetamol,M001_B0034,2028-04-08
M001,Paracetamol,M001_B0035,2027-12-31
M001,Paracetamol,M001_B0036,2028-04-08
M001,Paracetamol,M001_B0037,2028-07-01
M001,Paracetamol,M001_B0038,2028-12-23
M001,Paracetamol,M001_B0039,2028-12-12
M001,Paracetamol,M001_B0040,2028-11-10
M001,Paracetamol,M001_B0041,2028-02-23
M001,Paracetamol,M001_B0042,2028-08-21
M001,Paracetamol,M001_B0043,2028-10-14
M001,Paracetamol,M001_B0044,2028-10-06
M001,Paracetamol,M001_B0045,2028-10-14
M001,Paracetamol,M001_B0046,2029-03-18
M001,Paracetamol,M001_B0047,2029-03-27
M001,Paracetamol,M001_B0048,2029-01-10
M001,Paracetamol,M001_B0049,2028-09-05
M001,Paracetamol,M001_B0050,2029-04-02
M001,Paracetamol,M001_B0051,2029-05-01
M001,Paracetamol,M001_B0052,2029-01-08
