Medicine_ID,Medicine,Batch_ID,Expiry_Date
M002,Ibuprofen,M002_B0001,2026-12-03
M002,Ibuprofen,M002_B0002,2027-01-22
M002,Ibuprofen,M002_B0003,2027-04-05
M002,Ibuprofen,M002_B0004,2026-08-19
M002,Ibuprofen,M002_B0005,2026-08-21
M002,Ibuprofen,M002_B0006,2026-12-31
M002,Ibuprofen,M002_B0007,2026-12-15
M002,Ibuprofen,M002_B0008,2027-04-30
M002,Ibuprofen,M002_B0009,2026-12-08
M002,Ibuprofen,M002_B0010,2027-05-13
M002,Ibuprofen,M002_B0011,2027-02-28
M002,Ibuprofen,M002_B0012,2027-02-03
M002,Ibuprofen,M002_B0013,2027-09-05
M002,Ibuprofen,M002_B0014,2027-02-21
M002,Ibuprofen,M002_B0015,2027-11-13
M002,Ibuprofen,M002_B0016,2027-06-27
M002,Ibuprofen,M002_B0017,2027-12-28
M002,Ibuprofen,M002_B0018,2027-09-18
M002,Ibuprofen,M002_B0019,2027-07-16
M002,Ibuprofen,M002_B0020,2027-04-23
M002,Ibuprofen,M002_B0021,2027-07-01
M002,Ibuprofen,M002_B0022,2027-12-08
M002,Ibuprofen,M002_B0023,2028-03-12
M002,Ibuprofen,M002_B0024,2027-08-21
M002,Ibuprofen,M002_B0025,2027-06-21
M002,Ibuprofen,M002_B0026,2027-11-02
M002,Ibuprofen,M002_B0027,2027-12-29
M002,Ibuprofen,M002_B0028,2027-12-31
M002,Ibuprofen,M002_B0029,2028-06-18
