Medicine_ID,Medicine,Batch_ID,Expiry_Date
M003,Amoxicillin,M003_B001,2028-04-07
M003,Amoxicillin,M003_B002,2026-04-27
M003,Amoxicillin,M003_B003,2028-02-12
M003,Amoxicillin,M003_B004,2027-08-26
M003,Amoxicillin,M003_B005,2026-10-06
M003,Amoxicillin,M003_B006,2027-09-08
M003,Amoxicillin,M003_B007,2027-07-18
M003,Amoxicillin,M003_B008,2026-07-23
M003,Amoxicillin,M003_B009,2028-01-02
M003,Amoxicillin,M003_B010,2027-02-24
M003,Amoxicillin,M003_B011,2026-07-23
M003,Amoxicillin,M003_B012,2026-06-22
M003,Amoxicillin,M003_B013,2026-11-02
M003,Amoxicillin,M003_B014,2026-12-05
M003,Amoxicillin,M003_B015,2026-11-01
M003,Amoxicillin,M003_B016,2027-06-19
M003,Amoxicillin,M003_B017,2026-06-29
M003,Amoxicillin,M003_B018,2026-04-05
M003,Amoxicillin,M003_B019,2026-07-21
M003,Amoxicillin,M003_B020,2027-04-21
M003,Amoxicillin,M003_B021,2026-11-09
M003,Amoxicillin,M003_B022,2027-04-07
M003,Amoxicillin,M003_B023,2026-12-03
M003,Amoxicillin,M003_B024,2027-06-10
M003,Amoxicillin,M003_B025,2028-04-11
M003,Amoxicillin,M003_B026,2026-04-19
M003,Amoxicillin,M003_B027,2027-02-04
M003,Amoxicillin,M003_B028,2026-10-15
M003,Amoxicillin,M003_B029,2026-10-10
M003,Amoxicillin,M003_B030,2028-02-08
M003,Amoxicillin,M003_B031,2027-11-02
M003,Amoxicillin,M003_B032,2027-06-22
