Medicine_ID,Medicine,Batch_ID,Expiry_Date
M004,Insulin,M004_B001,2027-05-14
M004,Insulin,M004_B002,2026-05-20
M004,Insulin,M004_B003,2026-06-18
M004,Insulin,M004_B004,2026-12-08
M004,Insulin,M004_B005,2026-02-06
M004,Insulin,M004_B006,2027-03-12
M004,Insulin,M004_B007,2027-01-06
M004,Insulin,M004_B008,2028-06-10
M004,Insulin,M004_B009,2027-10-28
M004,Insulin,M004_B010,2027-02-24
M004,Insulin,M004_B011,2028-05-03
M004,Insulin,M004_B012,2027-01-03
M004,Insulin,M004_B013,2027-04-26
M004,Insulin,M004_B014,2027-01-08
M004,Insulin,M004_B015,2027-04-16
M004,Insulin,M004_B016,2028-05-15
M004,Insulin,M004_B017,2028-05-23
M004,Insulin,M004_B018,2027-11-28
M004,Insulin,M004_B019,2027-10-01
M004,Insulin,M004_B020,2026-06-19
M004,Insulin,M004_B021,2026-12-04
M004,Insulin,M004_B022,2026-12-25
M004,Insulin,M004_B023,2027-10-10
M004,Insulin,M004_B024,2028-01-12
M004,Insulin,M004_B025,2026-08-24
M004,Insulin,M004_B026,2027-06-05
