Medicine_ID,Medicine,Batch_ID,Expiry_Date
M005,Epinephrine,M005_B001,2026-07-31
M005,Epinephrine,M005_B002,2027-03-14
M005,Epinephrine,M005_B003,2026-12-23
M005,Epinephrine,M005_B004,2026-11-25
M005,Epinephrine,M005_B005,2028-02-22
M005,Epinephrine,M005_B006,2028-01-12
M005,Epinephrine,M005_B007,2027-11-10
M005,Epinephrine,M005_B008,2027-06-17
M005,Epinephrine,M005_B009,2027-09-12
M005,Epinephrine,M005_B010,2028-04-10
M005,Epinephrine,M005_B011,2026-10-06
M005,Epinephrine,M005_B012,2026-12-30
M005,Epinephrine,M005_B013,2027-02-20
M005,Epinephrine,M005_B014,2026-11-14
M005,Epinephrine,M005_B015,2028-05-16
M005,Epinephrine,M005_B016,2028-04-14
M005,Epinephrine,M005_B017,2027-03-09
M005,Epinephrine,M005_B018,2027-02-08
M005,Epinephrine,M005_B019,2026-05-27
M005,Epinephrine,M005_B020,2027-08-31
M005,Epinephrine,M005_B021,2026-08-23
M005,Epinephrine,M005_B022,2027-09-29
M005,Epinephrine,M005_B023,2027-08-12
M005,Epinephrine,M005_B024,2026-08-03
M005,Epinephrine,M005_B025,2027-12-30
M005,Epinephrine,M005_B026,2028-03-27
M005,Epinephrine,M005_B027,2027-08-17
M005,Epinephrine,M005_B028,2026-02-27
M005,Epinephrine,M005_B029,2028-02-14
M005,Epinephrine,M005_B030,2027-05-18
