Medicine_ID,Medicine,Batch_ID,Expiry_Date
M006,Salbutamol,M006_B0001,2026-07-08
M006,Salbutamol,M006_B0002,2027-05-20
M006,Salbutamol,M006_B0003,2026-10-18
M006,Salbutamol,M006_B0004,2027-02-04
M006,Salbutamol,M006_B0005,2027-01-24
M006,Salbutamol,M006_B0006,2026-11-08
M006,Salbutamol,M006_B0007,2027-05-10
M006,Salbutamol,M006_B0008,2027-06-07
M006,Salbutamol,M006_B0009,2027-03-15
M006,Salbutamol,M006_B0010,2027-05-21
M006,Salbutamol,M006_B0011,2027-04-20
M006,Salbutamol,M006_B0012,2027-08-30
M006,Salbutamol,M006_B0013,2027-05-21
M006,Salbutamol,M006_B0014,2027-02-20
M006,Salbutamol,M006_B0015,2027-03-27
M006,Salbutamol,M006_B0016,2027-03-15
M006,Salbutamol,M006_B0017,2027-05-12
M006,Salbutamol,M006_B0018,2027-06-05
M006,Salbutamol,M006_B0019,2028-01-21
M006,Salbutamol,M006_B0020,2027-12-31
M006,Salbutamol,M006_B0021,2027-10-15
M006,Salbutamol,M006_B0022,2028-04-16
M006,Salbutamol,M006_B0023,2028-01-17
M006,Salbutamol,M006_B0024,2028-03-16
M006,Salbutamol,M006_B0025,2028-03-29
M006,Salbutamol,M006_B0026,2028-01-21
M006,Salbutamol,M006_B0027,2027-12-29
M006,Salbutamol,M006_B0028,2028-03-19
M006,Salbutamol,M006_B0029,2028-08-05
M006,Salbutamol,M006_B0030,2028-08-14
M006,Salbutamol,M006_B0031,2028-07-12
M006,Salbutamol,M006_B0032,2028-03-05
M006,Salbutamol,M006_B0033,2028-04-07
M006,Salbutamol,M006_B0034,2028-08-31
