Medicine_ID,Medicine,Batch_ID,Expiry_Date
M007,Morphine,M007_B0001,2026-10-06
M007,Morphine,M007_B0002,2027-04-10
M007,Morphine,M007_B0003,2027-06-05
M007,Morphine,M007_B0004,2027-06-21
M007,Morphine,M007_B0005,2027-01-17
M007,Morphine,M007_B0006,2026-11-01
M007,Morphine,M007_B0007,2026-10-18
M007,Morphine,M007_B0008,2027-08-21
M007,Morphine,M007_B0009,2027-08-21
M007,Morphine,M007_B0010,2027-01-09
M007,Morphine,M007_B0011,2027-02-07
M007,Morphine,M007_B0012,2027-08-11
M007,Morphine,M007_B0013,2027-01-30
M007,Morphine,M007_B0014,2027-10-20
M007,Morphine,M007_B0015,2027-05-09
M007,Morphine,M007_B0016,2027-11-05
M007,Morphine,M007_B0017,2027-07-22
M007,Morphine,M007_B0018,2027-03-12
M007,Morphine,M007_B0019,2027-07-08
M007,Morphine,M007_B0020,2028-03-09
M007,Morphine,M007_B0021,2027-11-15
M007,Morphine,M007_B0022,2027-07-15
M007,Morphine,M007_B0023,2028-05-10
M007,Morphine,M007_B0024,2027-06-08
M007,Morphine,M007_B0025,2028-06-04
M007,Morphine,M007_B0026,2028-06-28
M007,Morphine,M007_B0027,2028-01-26
M007,Morphine,M007_B0028,2028-07-08
M007,Morphine,M007_B0029,2027-08-25
M007,Morphine,M007_B0030,2028-08-16
M007,Morphine,M007_B0031,2028-01-06
M007,Morphine,M007_B0032,2028-05-10
M007,Morphine,M007_B0033,2027-12-09
M007,Morphine,M007_B0034,2027-11-08
M007,Morphine,M007_B0035,2027-12-27
M007,Morphine,M007_B0036,2028-11-20
M007,Morphine,M007_B0037,2028-09-11
M007,Morphine,M007_B0038,2028-01-08
M007,Morphine,M007_B0039,2028-12-13
M007,Morphine,M007_B0040,2029-01-02
M007,Morphine,M007_B0041,2028-05-25
M007,Morphine,M007_B0042,2028-12-04
M007,Morphine,M007_B0043,2028-07-04
M007,Morphine,M007_B0044,2028-11-14
M007,Morphine,M007_B0045,2028-10-29
M007,Morphine,M007_B0046,2028-11-10
M007,Morphine,M007_B0047,2028-07-27
M007,Morphine,M007_B0048,2028-08-05
M007,Morphine,M007_B0049,2029-05-08
M007,Morphine,M007_B0050,2028-09-02
M007,Morphine,M007_B0051,2029-03-04
M007,Morphine,M007_B0052,2028-08-04
M007,Morphine,M007_B0053,2028-11-24
M007,Morphine,M007_B0054,2029-07-31
M007,Morphine,M007_B0055,2029-03-20
M007,Morphine,M007_B0056,2029-05-15
M007,Morphine,M007_B0057,2029-02-01
M007,Morphine,M007_B0058,2029-03-25
M007,Morphine,M007_B0059,2029-07-22
M007,Morphine,M007_B0060,2028-12-08
M007,Morphine,M007_B0061,2029-10-02
M007,Morphine,M007_B0062,2029-10-05
M007,Morphine,M007_B0063,2029-11-01
M007,Morphine,M007_B0064,2029-09-28
M007,Morphine,M007_B0065,2029-11-23
M007,Morphine,M007_B0066,2029-11-26
M007,Morphine,M007_B0067,2029-08-30
M007,Morphine,M007_B0068,2029-12-25
M007,Morphine,M007_B0069,2029-04-23
M007,Morphine,M007_B0070,2030-02-07
M007,Morphine,M007_B0071,2029-08-24
M007,Morphine,M007_B0072,2030-02-06
M007,Morphine,M007_B0073,2030-05-02
M007,Morphine,M007_B0074,2029-10-15
M007,Morphine,M007_B0075,2029-12-26
M007,Morphine,M007_B0076,2030-01-21
M007,Morphine,M007_B0077,2029-11-17
M007,Morphine,M007_B0078,2030-02-28
M007,Morphine,M007_B0079,2030-04-22
M007,Morphine,M007_B0080,2030-06-12
M007,Morphine,M007_B0081,2029-11-04
M007,Morphine,M007_B0082,2030-10-05
M007,Morphine,M007_B0083,2030-02-07
M007,Morphine,M007_B0084,2030-01-16
M007,Morphine,M007_B0085,2030-04-09
M007,Morphine,M007_B0086,2030-04-28
M007,Morphine,M007_B0087,2030-09-20
M007,Morphine,M007_B0088,2030-10-27
M007,Morphine,M007_B0089,2030-02-09
M007,Morphine,M007_B0090,2030-07-31
M007,Morphine,M007_B0091,2030-05-03
M007,Morphine,M007_B0092,2030-07-08
M007,Morphine,M007_B0094,2030-10-20
M007,Morphine,M007_B0096,2030-11-04
M007,Morphine,M007_B0097,2030-08-05
M007,Morphine,M007_B0099,2031-01-17
M007,Morphine,M007_B0103,2030-11-16
M007,Morphine,M007_B0105,2030-11-15
M007,Morphine,M007_B0106,2030-11-17
M007,Morphine,M007_B0107,2031-01-01
