Medicine_ID,Medicine,Batch_ID,Expiry_Date
M008,Aspirin,M008_B0001,2027-03-27
M008,Aspirin,M008_B0002,2027-02-15
M008,Aspirin,M008_B0003,2026-12-14
M008,Aspirin,M008_B0004,2026-11-24
M008,Aspirin,M008_B0005,2027-04-30
M008,Aspirin,M008_B0006,2027-01-26
M008,Aspirin,M008_B0007,2027-05-15
M008,Aspirin,M008_B0008,2027-02-21
M008,Aspirin,M008_B0009,2027-08-22
M008,Aspirin,M008_B0010,2027-03-03
M008,Aspirin,M008_B0011,2027-03-18
M008,Aspirin,M008_B0012,2027-01-20
M008,Aspirin,M008_B0013,2027-04-12
M008,Aspirin,M008_B0014,2027-10-22
M008,Aspirin,M008_B0015,2027-05-01
M008,Aspirin,M008_B0016,2027-05-20
M008,Aspirin,M008_B0017,2028-02-06
M008,Aspirin,M008_B0018,2027-11-24
M008,Aspirin,M008_B0019,2027-08-26
