Medicine_ID,Medicine,Batch_ID,Expiry_Date
M009,Metformin,M009_B001,2027-06-09
M009,Metformin,M009_B002,2026-05-18
M009,Metformin,M009_B003,2026-11-29
M009,Metformin,M009_B004,2027-04-01
M009,Metformin,M009_B005,2026-04-28
M009,Metformin,M009_B006,2026-05-29
M009,Metformin,M009_B007,2028-05-31
M009,Metformin,M009_B008,2028-02-17
M009,Metformin,M009_B009,2026-06-25
M009,Metformin,M009_B010,2027-01-22
M009,Metformin,M009_B011,2026-12-16
M009,Metformin,M009_B012,2027-01-17
M009,Metformin,M009_B013,2027-05-12
M009,Metformin,M009_B014,2028-04-13
M009,Metformin,M009_B015,2026-08-30
M009,Metformin,M009_B016,2027-07-18
M009,Metformin,M009_B017,2027-06-09
M009,Metformin,M009_B018,2027-01-22
M009,Metformin,M009_B019,2027-06-02
M009,Metformin,M009_B020,2026-05-10
