Medicine_ID,Medicine,Batch_ID,Expiry_Date
M010,Atorvastatin,M010_B001,2028-02-09
M010,Atorvastatin,M010_B002,2028-01-14
M010,Atorvastatin,M010_B003,2027-05-09
M010,Atorvastatin,M010_B004,2026-12-23
M010,Atorvastatin,M010_B005,2026-04-09
M010,Atorvastatin,M010_B006,2026-12-04
M010,Atorvastatin,M010_B007,2026-03-17
M010,Atorvastatin,M010_B008,2028-05-09
M010,Atorvastatin,M010_B009,2028-01-28
M010,Atorvastatin,M010_B010,2026-05-28
M010,Atorvastatin,M010_B011,2026-02-23
M010,Atorvastatin,M010_B012,2028-06-18
M010,Atorvastatin,M010_B013,2027-01-17
M010,Atorvastatin,M010_B014,2027-11-25
M010,Atorvastatin,M010_B015,2026-05-22
M010,Atorvastatin,M010_B016,2027-12-25
M010,Atorvastatin,M010_B017,2028-04-29
M010,Atorvastatin,M010_B018,2026-07-18
M010,Atorvastatin,M010_B019,2028-02-28
M010,Atorvastatin,M010_B020,2026-10-07
M010,Atorvastatin,M010_B021,2027-07-13
M010,Atorvastatin,M010_B022,2026-07-28
M010,Atorvastatin,M010_B023,2027-08-19
M010,Atorvastatin,M010_B024,2026-07-13
M010,Atorvastatin,M010_B025,2027-01-04
M010,Atorvastatin,M010_B026,2027-08-27
M010,Atorvastatin,M010_B027,2027-04-12
M010,Atorvastatin,M010_B028,2027-05-19
M010,Atorvastatin,M010_B029,2026-09-25
M010,Atorvastatin,M010_B030,2028-04-26
M010,Atorvastatin,M010_B031,2027-03-21
M010,Atorvastatin,M010_B032,2027-11-06
M010,Atorvastatin,M010_B033,2026-08-07
M010,Atorvastatin,M010_B034,2026-08-09
