Medicine_ID,Medicine,Batch_ID,Expiry_Date
M013,Cephalexin 500mg,M013_B0062,2026-10-24
M013,Cephalexin 500mg,M013_B0032,2026-11-01
M013,Cephalexin 500mg,M013_B0101,2026-11-15
M013,Cephalexin 500mg,M013_B0053,2027-01-04
M013,Cephalexin 500mg,M013_B0051,2027-03-01
M013,Cephalexin 500mg,M013_B0115,2027-03-03
M013,Cephalexin 500mg,M013_B0030,2027-03-24
M013,Cephalexin 500mg,M013_B0102,2027-04-14
M013,Cephalexin 500mg,M013_B0042,2027-04-29
M013,Cephalexin 500mg,M013_B0069,2027-05-15
M013,Cephalexin 500mg,M013_B0077,2027-05-17
M013,Cephalexin 500mg,M013_B0134,2027-07-13
M013,Cephalexin 500mg,M013_B0098,2027-07-24
M013,Cephalexin 500mg,M013_B0130,2027-08-25
M013,Cephalexin 500mg,M013_B0037,2027-08-28
M013,Cephalexin 500mg,M013_B0057,2027-08-29
M013,Cephalexin 500mg,M013_B0024,2027-09-05
M013,Cephalexin 500mg,M013_B0059,2027-09-18
M013,Cephalexin 500mg,M013_B0008,2027-09-20
M013,Cephalexin 500mg,M013_B0026,2027-09-25
M013,Cephalexin 500mg,M013_B0012,2027-10-03
M013,Cephalexin 500mg,M013_B0113,2027-10-15
M013,Cephalexin 500mg,M013_B0082,2027-10-31
M013,Cephalexin 500mg,M013_B0123,2027-12-08
M013,Cephalexin 500mg,M013_B0052,2027-12-24
M013,Cephalexin 500mg,M013_B0095,2028-01-24
M013,Cephalexin 500mg,M013_B0083,2028-01-30
M013,Cephalexin 500mg,M013_B0081,2028-02-22
M013,Cephalexin 500mg,M013_B0074,2028-03-01
M013,Cephalexin 500mg,M013_B0044,2028-03-12
M013,Cephalexin 500mg,M013_B0078,2028-03-20
M013,Cephalexin 500mg,M013_B0007,2028-03-29
M013,Cephalexin 500mg,M013_B0065,2028-04-09
M013,Cephalexin 500mg,M013_B0060,2028-05-08
M013,Cephalexin 500mg,M013_B0084,2028-05-11
M013,Cephalexin 500mg,M013_B0089,2028-05-19
M013,Cephalexin 500mg,M013_B0079,2028-06-08
M013,Cephalexin 500mg,M013_B0020,2028-06-15
M013,Cephalexin 500mg,M013_B0046,2028-07-20
M013,Cephalexin 500mg,M013_B0054,2028-09-01
M013,Cephalexin 500mg,M013_B0086,2028-09-13
M013,Cephalexin 500mg,M013_B0050,2028-09-20
M013,Cephalexin 500mg,M013_B0048,2028-09-27
M013,Cephalexin 500mg,M013_B0087,2028-09-27
M013,Cephalexin 500mg,M013_B0004,2028-10-02
M013,Cephalexin 500mg,M013_B0022,2028-10-03
M013,Cephalexin 500mg,M013_B0114,2028-10-12
M013,Cephalexin 500mg,M013_B0097,2028-10-31
M013,Cephalexin 500mg,M013_B0040,2028-12-20
M013,Cephalexin 500mg,M013_B0014,2028-12-26
M013,Cephalexin 500mg,M013_B0003,2028-12-28
M013,Cephalexin 500mg,M013_B0068,2028-12-31
M013,Cephalexin 500mg,M013_B0034,2029-01-12
M013,Cephalexin 500mg,M013_B0090,2029-01-28
M013,Cephalexin 500mg,M013_B0070,2029-02-13
M013,Cephalexin 500mg,M013_B0019,2029-02-17
M013,Cephalexin 500mg,M013_B0045,2029-03-03
M013,Cephalexin 500mg,M013_B0104,2029-03-05
M013,Cephalexin 500mg,M013_B0016,2029-03-06
M013,Cephalexin 500mg,M013_B0125,2029-03-14
M013,Cephalexin 500mg,M013_B0121,2029-04-13
M013,Cephalexin 500mg,M013_B0119,2029-04-30
M013,Cephalexin 500mg,M013_B0005,2029-05-01
M013,Cephalexin 500mg,M013_B0093,2029-05-16
M013,Cephalexin 500mg,M013_B0006,2029-07-14
M013,Cephalexin 500mg,M013_B0126,2029-07-19
M013,Cephalexin 500mg,M013_B0009,2029-07-25
M013,Cephalexin 500mg,M013_B0133,2029-08-15
M013,Cephalexin 500mg,M013_B0072,2029-08-21
M013,Cephalexin 500mg,M013_B0094,2029-08-21
M013,Cephalexin 500mg,M013_B0031,2029-10-08
M013,Cephalexin 500mg,M013_B0100,2029-12-22
M013,Cephalexin 500mg,M013_B0136,2030-01-13
M013,Cephalexin 500mg,M013_B0085,2030-01-25
M013,Cephalexin 500mg,M013_B0128,2030-01-26
M013,Cephalexin 500mg,M013_B0061,2030-03-22
M013,Cephalexin 500mg,M013_B0122,2030-03-26
M013,Cephalexin 500mg,M013_B0120,2030-03-29
M013,Cephalexin 500mg,M013_B0124,2030-04-08
M013,Cephalexin 500mg,M013_B0028,2030-04-18
M013,Cephalexin 500mg,M013_B0091,2030-04-30
M013,Cephalexin 500mg,M013_B0137,2030-05-06
M013,Cephalexin 500mg,M013_B0064,2030-06-12
M013,Cephalexin 500mg,M013_B0107,2030-07-11
M013,Cephalexin 500mg,M013_B0103,2030-07-14
M013,Cephalexin 500mg,M013_B0023,2030-07-19
M013,Cephalexin 500mg,M013_B0075,2030-09-19
M013,Cephalexin 500mg,M013_B0043,2030-10-04
M013,Cephalexin 500mg,M013_B0096,2030-10-21
M013,Cephalexin 500mg,M013_B0035,2030-10-24
M013,Cephalexin 500mg,M013_B0111,2030-11-28
M013,Cephalexin 500mg,M013_B0116,2030-12-06
M013,Cephalexin 500mg,M013_B0017,2030-12-10
M013,Cephalexin 500mg,M013_B0105,2030-12-23
M013,Cephalexin 500mg,M013_B0002,2031-01-07
M013,Cephalexin 500mg,M013_B0063,2031-01-08
M013,Cephalexin 500mg,M013_B0010,2031-01-17
M013,Cephalexin 500mg,M013_B0127,2031-01-19
M013,Cephalexin 500mg,M013_B0109,2031-01-28
M013,Cephalexin 500mg,M013_B0018,2031-02-06
M013,Cephalexin 500mg,M013_B0117,2031-03-21
M013,Cephalexin 500mg,M013_B0106,2031-03-23
M013,Cephalexin 500mg,M013_B0108,2031-03-24
M013,Cephalexin 500mg,M013_B0029,2031-04-07
M013,Cephalexin 500mg,M013_B0001,2031-04-12
M013,Cephalexin 500mg,M013_B0073,2031-04-13
M013,Cephalexin 500mg,M013_B0067,2031-04-18
M013,Cephalexin 500mg,M013_B0080,2031-04-30
M013,Cephalexin 500mg,M013_B0088,2031-05-06
M013,Cephalexin 500mg,M013_B0110,2031-05-24
M013,Cephalexin 500mg,M013_B0056,2031-06-13
M013,Cephalexin 500mg,M013_B0132,2031-06-21
M013,Cephalexin 500mg,M013_B0015,2031-06-24
M013,Cephalexin 500mg,M013_B0033,2031-07-08
M013,Cephalexin 500mg,M013_B0058,2031-07-09
M013,Cephalexin 500mg,M013_B0131,2031-08-29
M013,Cephalexin 500mg,M013_B0129,2031-08-30
M013,Cephalexin 500mg,M013_B0047,2031-09-14
M013,Cephalexin 500mg,M013_B0071,2031-09-19
M013,Cephalexin 500mg,M013_B0118,2031-09-23
M013,Cephalexin 500mg,M013_B0021,2031-12-04
M013,Cephalexin 500mg,M013_B0038,2031-12-06
M013,Cephalexin 500mg,M013_B0041,2031-12-09
M013,Cephalexin 500mg,M013_B0027,2032-01-04
