Medicine_ID,Medicine,Batch_ID,Expiry_Date
M014,Insulin Lispro,M014_B0033,2026-10-06
M014,Insulin Lispro,M014_B0028,2026-10-15
M014,Insulin Lispro,M014_B0091,2026-10-17
M014,Insulin Lispro,M014_B0017,2026-10-18
M014,Insulin Lispro,M014_B0094,2026-11-19
M014,Insulin Lispro,M014_B0085,2026-12-03
M014,Insulin Lispro,M014_B0046,2026-12-24
M014,Insulin Lispro,M014_B0050,2027-02-08
M014,Insulin Lispro,M014_B0131,2027-02-13
M014,Insulin Lispro,M014_B0102,2027-02-26
M014,Insulin Lispro,M014_B0100,2027-04-13
M014,Insulin Lispro,M014_B0103,2027-04-14
M014,Insulin Lispro,M014_B0110,2027-05-24
M014,Insulin Lispro,M014_B0051,2027-05-27
M014,Insulin Lispro,M014_B0120,2027-07-17
M014,Insulin Lispro,M014_B0089,2027-07-23
M014,Insulin Lispro,M014_B0080,2027-08-03
M014,Insulin Lispro,M014_B0049,2027-08-06
M014,Insulin Lispro,M014_B0125,2027-08-30
M014,Insulin Lispro,M014_B0130,2027-09-20
M014,Insulin Lispro,M014_B0057,2027-11-15
M014,Insulin Lispro,M014_B0047,2027-12-05
M014,Insulin Lispro,M014_B0029,2028-01-04
M014,Insulin Lispro,M014_B0126,2028-01-09
M014,Insulin Lispro,M014_B0086,2028-01-14
M014,Insulin Lispro,M014_B0114,2028-01-23
M014,Insulin Lispro,M014_B0127,2028-02-27
M014,Insulin Lispro,M014_B0003,2028-03-05
M014,Insulin Lispro,M014_B0064,2028-03-10
M014,Insulin Lispro,M014_B0065,2028-03-19
M014,Insulin Lispro,M014_B0099,2028-04-10
M014,Insulin Lispro,M014_B0128,2028-04-13
M014,Insulin Lispro,M014_B0129,2028-06-07
M014,Insulin Lispro,M014_B0108,2028-07-11
M014,Insulin Lispro,M014_B0008,2028-07-14
M014,Insulin Lispro,M014_B0137,2028-07-21
M014,Insulin Lispro,M014_B0098,2028-08-10
M014,Insulin Lispro,M014_B0134,2028-08-13
M014,Insulin Lispro,M014_B0036,2028-08-16
M014,Insulin Lispro,M014_B0079,2028-08-25
M014,Insulin Lispro,M014_B0021,2028-09-03
M014,Insulin Lispro,M014_B0116,2028-09-03
M014,Insulin Lispro,M014_B0060,2028-09-05
M014,Insulin Lispro,M014_B0122,2028-09-11
M014,Insulin Lispro,M014_B0069,2028-10-02
M014,Insulin Lispro,M014_B0076,2028-10-22
M014,Insulin Lispro,M014_B0113,2028-11-11
M014,Insulin Lispro,M014_B0020,2028-11-30
M014,Insulin Lispro,M014_B0056,2028-12-03
M014,Insulin Lispro,M014_B0012,2028-12-05
M014,Insulin Lispro,M014_B0015,2028-12-18
M014,Insulin Lispro,M014_B0121,2028-12-20
M014,Insulin Lispro,M014_B0045,2028-12-29
M014,Insulin Lispro,M014_B0032,2029-01-07
