Medicine_ID,Medicine,Batch_ID,Expiry_Date
M015,Norepinephrine,M015_B0077,2026-10-14
M015,Norepinephrine,M015_B0066,2026-10-18
M015,Norepinephrine,M015_B0135,2026-11-11
M015,Norepinephrine,M015_B0031,2026-11-16
M015,Norepinephrine,M015_B0012,2026-11-21
M015,Norepinephrine,M015_B0050,2026-12-15
M015,Norepinephrine,M015_B0027,2026-12-23
M015,Norepinephrine,M015_B0067,2027-01-26
M015,Norepinephrine,M015_B0124,2027-01-30
M015,Norepinephrine,M015_B0045,2027-02-19
M015,Norepinephrine,M015_B0078,2027-02-23
M015,Norepinephrine,M015_B0125,2027-03-06
M015,Norepinephrine,M015_B0039,2027-03-15
M015,Norepinephrine,M015_B0025,2027-04-05
M015,Norepinephrine,M015_B0130,2027-04-23
M015,Norepinephrine,M015_B0002,2027-05-05
M015,Norepinephrine,M015_B0059,2027-05-12
M015,Norepinephrine,M015_B0072,2027-06-08
M015,Norepinephrine,M015_B0127,2027-06-12
M015,Norepinephrine,M015_B0038,2027-07-24
M015,Norepinephrine,M015_B0116,2027-07-24
M015,Norepinephrine,M015_B0082,2027-07-31
M015,Norepinephrine,M015_B0108,2027-08-13
M015,Norepinephrine,M015_B0018,2027-08-25
M015,Norepinephrine,M015_B0089,2027-10-08
M015,Norepinephrine,M015_B0064,2027-10-20
M015,Norepinephrine,M015_B0015,2027-11-02
M015,Norepinephrine,M015_B0123,2027-11-02
M015,Norepinephrine,M015_B0096,2027-11-16
M015,Norepinephrine,M015_B0008,2027-12-30
M015,Norepinephrine,M015_B0035,2028-02-19
M015,Norepinephrine,M015_B0069,2028-03-23
M015,Norepinephrine,M015_B0087,2028-03-25
M015,Norepinephrine,M015_B0030,2028-03-27
M015,Norepinephrine,M015_B0100,2028-04-04
M015,Norepinephrine,M015_B0009,2028-05-23
M015,Norepinephrine,M015_B0076,2028-06-01
M015,Norepinephrine,M015_B0049,2028-06-09
M015,Norepinephrine,M015_B0029,2028-07-12
M015,Norepinephrine,M015_B0092,2028-07-16
M015,Norepinephrine,M015_B0019,2028-07-23
M015,Norepinephrine,M015_B0041,2028-08-02
