Medicine_ID,Medicine,Batch_ID,Expiry_Date
M016,Terbutaline Inhaler,M016_B0035,2026-10-04
M016,Terbutaline Inhaler,M016_B0102,2026-11-22
M016,Terbutaline Inhaler,M016_B0064,2026-12-09
M016,Terbutaline Inhaler,M016_B0069,2026-12-12
M016,Terbutaline Inhaler,M016_B0095,2026-12-12
M016,Terbutaline Inhaler,M016_B0020,2026-12-13
M016,Terbutaline Inhaler,M016_B0096,2026-12-20
M016,Terbutaline Inhaler,M016_B0088,2026-12-21
M016,Terbutaline Inhaler,M016_B0027,2026-12-28
M016,Terbutaline Inhaler,M016_B0014,2027-01-20
M016,Terbutaline Inhaler,M016_B0028,2027-01-27
M016,Terbutaline Inhaler,M016_B0052,2027-02-14
M016,Terbutaline Inhaler,M016_B0124,2027-02-21
M016,Terbutaline Inhaler,M016_B0089,2027-04-13
M016,Terbutaline Inhaler,M016_B0013,2027-05-17
M016,Terbutaline Inhaler,M016_B0051,2027-06-21
M016,Terbutaline Inhaler,M016_B0082,2027-07-07
M016,Terbutaline Inhaler,M016_B0125,2027-07-14
M016,Terbutaline Inhaler,M016_B0034,2027-07-16
M016,Terbutaline Inhaler,M016_B0026,2027-07-31
M016,Terbutaline Inhaler,M016_B0066,2027-08-14
M016,Terbutaline Inhaler,M016_B0116,2027-08-15
M016,Terbutaline Inhaler,M016_B0018,2027-08-17
M016,Terbutaline Inhaler,M016_B0039,2027-08-28
M016,Terbutaline Inhaler,M016_B0090,2027-09-08
M016,Terbutaline Inhaler,M016_B0087,2027-09-14
M016,Terbutaline Inhaler,M016_B0115,2027-10-30
M016,Terbutaline Inhaler,M016_B0056,2027-11-24
M016,Terbutaline Inhaler,M016_B0110,2027-12-03
M016,Terbutaline Inhaler,M016_B0078,2027-12-08
M016,Terbutaline Inhaler,M016_B0101,2027-12-12
M016,Terbutaline Inhaler,M016_B0037,2028-01-10
M016,Terbutaline Inhaler,M016_B0003,2028-01-11
M016,Terbutaline Inhaler,M016_B0047,2028-01-21
M016,Terbutaline Inhaler,M016_B0097,2028-02-10
M016,Terbutaline Inhaler,M016_B0068,2028-02-12
M016,Terbutaline Inhaler,M016_B0123,2028-02-19
M016,Terbutaline Inhaler,M016_B0129,2028-03-10
M016,Terbutaline Inhaler,M016_B0091,2028-03-15
M016,Terbutaline Inhaler,M016_B0106,2028-04-05
M016,Terbutaline Inhaler,M016_B0017,2028-05-01
M016,Terbutaline Inhaler,M016_B0007,2028-05-05
M016,Terbutaline Inhaler,M016_B0025,2028-06-20
M016,Terbutaline Inhaler,M016_B0121,2028-07-10
M016,Terbutaline Inhaler,M016_B0004,2028-07-14
M016,Terbutaline Inhaler,M016_B0029,2028-09-20
M016,Terbutaline Inhaler,M016_B0108,2028-09-25
M016,Terbutaline Inhaler,M016_B0105,2028-10-20
M016,Terbutaline Inhaler,M016_B0112,2028-10-26
M016,Terbutaline Inhaler,M016_B0093,2028-11-26
M016,Terbutaline Inhaler,M016_B0001,2028-12-12
M016,Terbutaline Inhaler,M016_B0011,2028-12-20
M016,Terbutaline Inhaler,M016_B0100,2029-01-12
M016,Terbutaline Inhaler,M016_B0081,2029-01-31
M016,Terbutaline Inhaler,M016_B0030,2029-02-14
M016,Terbutaline Inhaler,M016_B0060,2029-02-17
M016,Terbutaline Inhaler,M016_B0132,2029-03-09
M016,Terbutaline Inhaler,M016_B0099,2029-03-12
M016,Terbutaline Inhaler,M016_B0053,2029-03-18
M016,Terbutaline Inhaler,M016_B0031,2029-03-28
M016,Terbutaline Inhaler,M016_B0016,2029-05-06
M016,Terbutaline Inhaler,M016_B0076,2029-05-21
M016,Terbutaline Inhaler,M016_B0059,2029-06-22
