Medicine_ID,Medicine,Batch_ID,Expiry_Date
M017,Fentanyl Patch,M017_B0018,2026-10-02
M017,Fentanyl Patch,M017_B0109,2026-10-19
M017,Fentanyl Patch,M017_B0029,2026-10-20
M017,Fentanyl Patch,M017_B0022,2026-11-13
M017,Fentanyl Patch,M017_B0072,2026-12-07
M017,Fentanyl Patch,M017_B0071,2026-12-24
M017,Fentanyl Patch,M017_B0044,2027-01-11
M017,Fentanyl Patch,M017_B0122,2027-01-19
M017,Fentanyl Patch,M017_B0137,2027-01-29
M017,Fentanyl Patch,M017_B0087,2027-02-12
M017,Fentanyl Patch,M017_B0092,2027-03-14
M017,Fentanyl Patch,M017_B0050,2027-03-25
M017,Fentanyl Patch,M017_B0058,2027-03-26
M017,Fentanyl Patch,M017_B0077,2027-04-06
M017,Fentanyl Patch,M017_B0106,2027-06-16
M017,Fentanyl Patch,M017_B0078,2027-07-07
M017,Fentanyl Patch,M017_B0014,2027-07-17
M017,Fentanyl Patch,M017_B0021,2027-09-03
M017,Fentanyl Patch,M017_B0028,2027-09-08
M017,Fentanyl Patch,M017_B0031,2027-09-26
M017,Fentanyl Patch,M017_B0024,2027-09-28
M017,Fentanyl Patch,M017_B0041,2027-09-30
M017,Fentanyl Patch,M017_B0094,2027-10-14
M017,Fentanyl Patch,M017_B0135,2027-10-14
M017,Fentanyl Patch,M017_B0108,2027-11-08
M017,Fentanyl Patch,M017_B0085,2027-11-16
M017,Fentanyl Patch,M017_B0102,2027-12-05
M017,Fentanyl Patch,M017_B0027,2027-12-11
M017,Fentanyl Patch,M017_B0042,2027-12-31
M017,Fentanyl Patch,M017_B0035,2028-01-13
M017,Fentanyl Patch,M017_B0114,2028-02-21
M017,Fentanyl Patch,M017_B0075,2028-03-09
M017,Fentanyl Patch,M017_B0130,2028-03-09
M017,Fentanyl Patch,M017_B0009,2028-03-11
M017,Fentanyl Patch,M017_B0118,2028-03-12
M017,Fentanyl Patch,M017_B0120,2028-03-15
M017,Fentanyl Patch,M017_B0057,2028-03-19
M017,Fentanyl Patch,M017_B0105,2028-04-04
M017,Fentanyl Patch,M017_B0119,2028-04-05
M017,Fentanyl Patch,M017_B0126,2028-05-06
M017,Fentanyl Patch,M017_B0017,2028-05-15
M017,Fentanyl Patch,M017_B0036,2028-05-23
M017,Fentanyl Patch,M017_B0005,2028-06-02
M017,Fentanyl Patch,M017_B0074,2028-06-17
M017,Fentanyl Patch,M017_B0091,2028-07-07
M017,Fentanyl Patch,M017_B0065,2028-08-01
M017,Fentanyl Patch,M017_B0083,2028-09-08
M017,Fentanyl Patch,M017_B0039,2028-09-09
M017,Fentanyl Patch,M017_B0093,2028-09-19
M017,Fentanyl Patch,M017_B0067,2028-09-23
M017,Fentanyl Patch,M017_B0002,2028-10-25
M017,Fentanyl Patch,M017_B0040,2028-11-17
M017,Fentanyl Patch,M017_B0006,2028-11-18
M017,Fentanyl Patch,M017_B0034,2028-11-24
M017,Fentanyl Patch,M017_B0030,2028-12-08
M017,Fentanyl Patch,M017_B0090,2028-12-22
M017,Fentanyl Patch,M017_B0103,2029-01-12
M017,Fentanyl Patch,M017_B0061,2029-02-01
M017,Fentanyl Patch,M017_B0045,2029-03-11
M017,Fentanyl Patch,M017_B0055,2029-03-12
M017,Fentanyl Patch,M017_B0015,2029-04-16
M017,Fentanyl Patch,M017_B0011,2029-04-29
M017,Fentanyl Patch,M017_B0060,2029-05-06
M017,Fentanyl Patch,M017_B0113,2029-05-28
M017,Fentanyl Patch,M017_B0032,2029-06-16
M017,Fentanyl Patch,M017_B0127,2029-07-08
M017,Fentanyl Patch,M017_B0052,2029-07-21
M017,Fentanyl Patch,M017_B0001,2029-08-02
M017,Fentanyl Patch,M017_B0037,2029-08-22
M017,Fentanyl Patch,M017_B0101,2029-08-26
M017,Fentanyl Patch,M017_B0107,2029-09-07
M017,Fentanyl Patch,M017_B0125,2029-09-09
M017,Fentanyl Patch,M017_B0131,2029-09-20
M017,Fentanyl Patch,M017_B0116,2029-11-05
M017,Fentanyl Patch,M017_B0004,2029-12-04
M017,Fentanyl Patch,M017_B0121,2029-12-20
M017,Fentanyl Patch,M017_B0115,2029-12-29
M017,Fentanyl Patch,M017_B0081,2030-01-12
M017,Fentanyl Patch,M017_B0086,2030-01-23
M017,Fentanyl Patch,M017_B0046,2030-02-01
M017,Fentanyl Patch,M017_B0033,2030-02-05
M017,Fentanyl Patch,M017_B0132,2030-02-24
M017,Fentanyl Patch,M017_B0070,2030-03-10
M017,Fentanyl Patch,M017_B0038,2030-03-25
M017,Fentanyl Patch,M017_B0112,2030-04-06
M017,Fentanyl Patch,M017_B0080,2030-05-01
M017,Fentanyl Patch,M017_B0043,2030-05-18
M017,Fentanyl Patch,M017_B0059,2030-05-24
M017,Fentanyl Patch,M017_B0084,2030-06-09
M017,Fentanyl Patch,M017_B0007,2030-06-10
M017,Fentanyl Patch,M017_B0048,2030-07-03
M017,Fentanyl Patch,M017_B0019,2030-07-15
M017,Fentanyl Patch,M017_B0088,2030-08-06
M017,Fentanyl Patch,M017_B0073,2030-08-10
M017,Fentanyl Patch,M017_B0136,2030-08-16
M017,Fentanyl Patch,M017_B0066,2030-08-24
M017,Fentanyl Patch,M017_B0056,2030-08-26
M017,Fentanyl Patch,M017_B0054,2030-09-01
M017,Fentanyl Patch,M017_B0104,2030-09-10
M017,Fentanyl Patch,M017_B0012,2030-09-24
M017,Fentanyl Patch,M017_B0082,2030-10-26
M017,Fentanyl Patch,M017_B0110,2030-11-15
M017,Fentanyl Patch,M017_B0099,2030-12-05
M017,Fentanyl Patch,M017_B0100,2030-12-24
M017,Fentanyl Patch,M017_B0098,2031-01-02
M017,Fentanyl Patch,M017_B0134,2031-01-20
M017,Fentanyl Patch,M017_B0111,2031-02-16
M017,Fentanyl Patch,M017_B0096,2031-02-18
M017,Fentanyl Patch,M017_B0020,2031-03-25
M017,Fentanyl Patch,M017_B0047,2031-04-14
M017,Fentanyl Patch,M017_B0117,2031-04-28
M017,Fentanyl Patch,M017_B0128,2031-05-12
M017,Fentanyl Patch,M017_B0023,2031-06-25
M017,Fentanyl Patch,M017_B0089,2031-07-02
M017,Fentanyl Patch,M017_B0063,2031-07-06
M017,Fentanyl Patch,M017_B0025,2031-07-10
M017,Fentanyl Patch,M017_B0097,2031-07-23
M017,Fentanyl Patch,M017_B0133,2031-08-14
M017,Fentanyl Patch,M017_B0016,2031-08-17
M017,Fentanyl Patch,M017_B0076,2031-08-22
M017,Fentanyl Patch,M017_B0051,2031-09-19
M017,Fentanyl Patch,M017_B0026,2031-11-19
M017,Fentanyl Patch,M017_B0003,2031-11-25
M017,Fentanyl Patch,M017_B0095,2032-01-27
M017,Fentanyl Patch,M017_B0064,2032-02-02
M017,Fentanyl Patch,M017_B0053,2032-02-16
M017,Fentanyl Patch,M017_B0010,2032-05-20
M017,Fentanyl Patch,M017_B0049,2032-05-26
M017,Fentanyl Patch,M017_B0123,2032-06-11
M017,Fentanyl Patch,M017_B0008,2032-06-21
M017,Fentanyl Patch,M017_B0013,2032-07-14
M017,Fentanyl Patch,M017_B0068,2032-07-22
M017,Fentanyl Patch,M017_B0062,2032-08-12
M017,Fentanyl Patch,M017_B0129,2032-08-14
M017,Fentanyl Patch,M017_B0069,2032-09-25
M017,Fentanyl Patch,M017_B0079,2032-09-25
M017,Fentanyl Patch,M017_B0124,2032-09-30
