Medicine_ID,Medicine,Batch_ID,Expiry_Date
M018,Clopidogrel 75mg,M018_B0067,2026-10-01
M018,Clopidogrel 75mg,M018_B0027,2026-10-13
M018,Clopidogrel 75mg,M018_B0087,2026-10-25
M018,Clopidogrel 75mg,M018_B0134,2026-10-29
M018,Clopidogrel 75mg,M018_B0019,2026-12-01
M018,Clopidogrel 75mg,M018_B0021,2026-12-03
M018,Clopidogrel 75mg,M018_B0073,2026-12-12
M018,Clopidogrel 75mg,M018_B0037,2026-12-25
M018,Clopidogrel 75mg,M018_B0069,2027-02-02
M018,Clopidogrel 75mg,M018_B0050,2027-02-08
M018,Clopidogrel 75mg,M018_B0038,2027-02-11
M018,Clopidogrel 75mg,M018_B0041,2027-02-11
M018,Clopidogrel 75mg,M018_B0009,2027-03-05
M018,Clopidogrel 75mg,M018_B0017,2027-03-14
M018,Clopidogrel 75mg,M018_B0029,2027-04-01
M018,Clopidogrel 75mg,M018_B0097,2027-04-16
M018,Clopidogrel 75mg,M018_B0040,2027-05-20
M018,Clopidogrel 75mg,M018_B0125,2027-05-20
M018,Clopidogrel 75mg,M018_B0124,2027-06-01
M018,Clopidogrel 75mg,M018_B0112,2027-06-21
M018,Clopidogrel 75mg,M018_B0018,2027-06-22
M018,Clopidogrel 75mg,M018_B0004,2027-06-29
M018,Clopidogrel 75mg,M018_B0012,2027-07-14
M018,Clopidogrel 75mg,M018_B0061,2027-08-22
M018,Clopidogrel 75mg,M018_B0122,2027-08-27
M018,Clopidogrel 75mg,M018_B0126,2027-09-18
M018,Clopidogrel 75mg,M018_B0113,2027-10-02
M018,Clopidogrel 75mg,M018_B0104,2028-01-26
M018,Clopidogrel 75mg,M018_B0034,2028-02-27
M018,Clopidogrel 75mg,M018_B0010,2028-03-03
M018,Clopidogrel 75mg,M018_B0014,2028-03-12
M018,Clopidogrel 75mg,M018_B0046,2028-04-10
M018,Clopidogrel 75mg,M018_B0096,2028-04-30
M018,Clopidogrel 75mg,M018_B0049,2028-06-04
M018,Clopidogrel 75mg,M018_B0100,2028-06-20
M018,Clopidogrel 75mg,M018_B0031,2028-06-29
M018,Clopidogrel 75mg,M018_B0088,2028-06-29
M018,Clopidogrel 75mg,M018_B0117,2028-07-03
M018,Clopidogrel 75mg,M018_B0074,2028-07-14
M018,Clopidogrel 75mg,M018_B0083,2028-07-22
M018,Clopidogrel 75mg,M018_B0086,2028-08-10
M018,Clopidogrel 75mg,M018_B0068,2028-09-04
M018,Clopidogrel 75mg,M018_B0072,2028-09-08
M018,Clopidogrel 75mg,M018_B0094,2028-09-26
M018,Clopidogrel 75mg,M018_B0057,2028-09-27
M018,Clopidogrel 75mg,M018_B0135,2028-10-17
M018,Clopidogrel 75mg,M018_B0033,2028-10-25
M018,Clopidogrel 75mg,M018_B0123,2028-10-25
M018,Clopidogrel 75mg,M018_B0054,2028-12-31
M018,Clopidogrel 75mg,M018_B0023,2029-01-07
M018,Clopidogrel 75mg,M018_B0102,2029-02-15
M018,Clopidogrel 75mg,M018_B0129,2029-02-28
M018,Clopidogrel 75mg,M018_B0111,2029-03-01
M018,Clopidogrel 75mg,M018_B0020,2029-03-04
M018,Clopidogrel 75mg,M018_B0028,2029-03-06
M018,Clopidogrel 75mg,M018_B0030,2029-03-20
M018,Clopidogrel 75mg,M018_B0076,2029-03-29
M018,Clopidogrel 75mg,M018_B0114,2029-04-04
M018,Clopidogrel 75mg,M018_B0002,2029-04-23
M018,Clopidogrel 75mg,M018_B0120,2029-04-30
M018,Clopidogrel 75mg,M018_B0071,2029-05-07
M018,Clopidogrel 75mg,M018_B0007,2029-06-16
M018,Clopidogrel 75mg,M018_B0118,2029-06-28
M018,Clopidogrel 75mg,M018_B0115,2029-07-10
M018,Clopidogrel 75mg,M018_B0042,2029-07-17
M018,Clopidogrel 75mg,M018_B0070,2029-07-21
M018,Clopidogrel 75mg,M018_B0059,2029-08-06
M018,Clopidogrel 75mg,M018_B0078,2029-08-13
M018,Clopidogrel 75mg,M018_B0064,2029-09-01
M018,Clopidogrel 75mg,M018_B0130,2029-09-07
M018,Clopidogrel 75mg,M018_B0056,2029-09-16
M018,Clopidogrel 75mg,M018_B0084,2029-09-21
M018,Clopidogrel 75mg,M018_B0091,2029-11-11
M018,Clopidogrel 75mg,M018_B0047,2029-12-08
M018,Clopidogrel 75mg,M018_B0036,2029-12-25
M018,Clopidogrel 75mg,M018_B0077,2030-02-09
M018,Clopidogrel 75mg,M018_B0006,2030-02-17
M018,Clopidogrel 75mg,M018_B0039,2030-02-17
M018,Clopidogrel 75mg,M018_B0065,2030-02-24
M018,Clopidogrel 75mg,M018_B0109,2030-04-18
M018,Clopidogrel 75mg,M018_B0093,2030-04-27
M018,Clopidogrel 75mg,M018_B0079,2030-05-11
M018,Clopidogrel 75mg,M018_B0095,2030-06-04
M018,Clopidogrel 75mg,M018_B0110,2030-06-07
M018,Clopidogrel 75mg,M018_B0051,2030-06-12
M018,Clopidogrel 75mg,M018_B0106,2030-06-14
M018,Clopidogrel 75mg,M018_B0132,2030-07-21
M018,Clopidogrel 75mg,M018_B0121,2030-07-29
M018,Clopidogrel 75mg,M018_B0048,2030-08-28
M018,Clopidogrel 75mg,M018_B0013,2030-09-24
M018,Clopidogrel 75mg,M018_B0015,2030-09-25
M018,Clopidogrel 75mg,M018_B0081,2030-10-08
M018,Clopidogrel 75mg,M018_B0044,2030-11-30
M018,Clopidogrel 75mg,M018_B0052,2030-12-06
M018,Clopidogrel 75mg,M018_B0085,2030-12-13
M018,Clopidogrel 75mg,M018_B0128,2031-01-03
M018,Clopidogrel 75mg,M018_B0116,2031-01-31
M018,Clopidogrel 75mg,M018_B0062,2031-02-10
M018,Clopidogrel 75mg,M018_B0043,2031-02-28
M018,Clopidogrel 75mg,M018_B0080,2031-02-28
M018,Clopidogrel 75mg,M018_B0105,2031-03-14
M018,Clopidogrel 75mg,M018_B0099,2031-03-23
M018,Clopidogrel 75mg,M018_B0082,2031-03-31
M018,Clopidogrel 75mg,M018_B0119,2031-04-27
M018,Clopidogrel 75mg,M018_B0063,2031-05-17
M018,Clopidogrel 75mg,M018_B0055,2031-05-27
M018,Clopidogrel 75mg,M018_B0107,2031-07-01
M018,Clopidogrel 75mg,M018_B0136,2031-07-22
M018,Clopidogrel 75mg,M018_B0032,2031-08-03
M018,Clopidogrel 75mg,M018_B0137,2031-08-15
M018,Clopidogrel 75mg,M018_B0131,2031-08-28
M018,Clopidogrel 75mg,M018_B0022,2031-10-22
M018,Clopidogrel 75mg,M018_B0011,2031-11-02
M018,Clopidogrel 75mg,M018_B0035,2031-11-18
M018,Clopidogrel 75mg,M018_B0025,2031-11-20
M018,Clopidogrel 75mg,M018_B0089,2031-12-13
M018,Clopidogrel 75mg,M018_B0090,2031-12-17
M018,Clopidogrel 75mg,M018_B0101,2031-12-27
M018,Clopidogrel 75mg,M018_B0127,2032-01-11
M018,Clopidogrel 75mg,M018_B0003,2032-02-10
M018,Clopidogrel 75mg,M018_B0060,2032-02-12
M018,Clopidogrel 75mg,M018_B0066,2032-02-15
M018,Clopidogrel 75mg,M018_B0092,2032-02-23
M018,Clopidogrel 75mg,M018_B0001,2032-04-07
M018,Clopidogrel 75mg,M018_B0026,2032-04-26
M018,Clopidogrel 75mg,M018_B0045,2032-05-02
M018,Clopidogrel 75mg,M018_B0005,2032-05-09
M018,Clopidogrel 75mg,M018_B0103,2032-05-10
M018,Clopidogrel 75mg,M018_B0098,2032-05-23
M018,Clopidogrel 75mg,M018_B0133,2032-06-02
M018,Clopidogrel 75mg,M018_B0008,2032-06-09
M018,Clopidogrel 75mg,M018_B0058,2032-06-29
M018,Clopidogrel 75mg,M018_B0024,2032-08-19
M018,Clopidogrel 75mg,M018_B0075,2032-09-04
M018,Clopidogrel 75mg,M018_B0108,2032-09-17
M018,Clopidogrel 75mg,M018_B0016,2032-10-02
M018,Clopidogrel 75mg,M018_B0053,2032-10-05
