Medicine_ID,Medicine,Batch_ID,Expiry_Date
M019,Glipizide 5mg,M019_B0036,2026-10-02
M019,Glipizide 5mg,M019_B0092,2026-10-15
M019,Glipizide 5mg,M019_B0054,2026-10-27
M019,Glipizide 5mg,M019_B0122,2026-10-30
M019,Glipizide 5mg,M019_B0027,2026-11-17
M019,Glipizide 5mg,M019_B0081,2026-11-29
M019,Glipizide 5mg,M019_B0065,2026-12-11
M019,Glipizide 5mg,M019_B0043,2026-12-22
M019,Glipizide 5mg,M019_B0131,2027-01-02
M019,Glipizide 5mg,M019_B0089,2027-01-24
M019,Glipizide 5mg,M019_B0083,2027-01-26
M019,Glipizide 5mg,M019_B0134,2027-02-12
M019,Glipizide 5mg,M019_B0021,2027-02-15
M019,Glipizide 5mg,M019_B0048,2027-03-09
M019,Glipizide 5mg,M019_B0069,2027-03-18
M019,Glipizide 5mg,M019_B0046,2027-03-27
M019,Glipizide 5mg,M019_B0117,2027-05-09
M019,Glipizide 5mg,M019_B0031,2027-06-03
M019,Glipizide 5mg,M019_B0045,2027-06-04
M019,Glipizide 5mg,M019_B0132,2027-06-11
M019,Glipizide 5mg,M019_B0108,2027-07-23
M019,Glipizide 5mg,M019_B0105,2027-08-19
M019,Glipizide 5mg,M019_B0109,2027-08-31
M019,Glipizide 5mg,M019_B0106,2027-09-25
M019,Glipizide 5mg,M019_B0086,2027-10-05
M019,Glipizide 5mg,M019_B0019,2027-11-06
M019,Glipizide 5mg,M019_B0067,2027-12-03
M019,Glipizide 5mg,M019_B0088,2027-12-17
M019,Glipizide 5mg,M019_B0111,2027-12-31
M019,Glipizide 5mg,M019_B0037,2028-01-06
M019,Glipizide 5mg,M019_B0024,2028-02-09
M019,Glipizide 5mg,M019_B0034,2028-02-11
M019,Glipizide 5mg,M019_B0033,2028-03-01
M019,Glipizide 5mg,M019_B0038,2028-03-01
M019,Glipizide 5mg,M019_B0118,2028-03-27
M019,Glipizide 5mg,M019_B0040,2028-04-01
M019,Glipizide 5mg,M019_B0007,2028-04-09
M019,Glipizide 5mg,M019_B0004,2028-05-10
M019,Glipizide 5mg,M019_B0133,2028-06-27
M019,Glipizide 5mg,M019_B0068,2028-08-16
M019,Glipizide 5mg,M019_B0102,2028-08-16
M019,Glipizide 5mg,M019_B0121,2028-08-18
M019,Glipizide 5mg,M019_B0003,2028-08-21
M019,Glipizide 5mg,M019_B0130,2028-08-25
M019,Glipizide 5mg,M019_B0093,2028-09-16
M019,Glipizide 5mg,M019_B0129,2028-10-02
M019,Glipizide 5mg,M019_B0011,2028-10-20
M019,Glipizide 5mg,M019_B0055,2028-10-23
M019,Glipizide 5mg,M019_B0075,2028-11-01
M019,Glipizide 5mg,M019_B0039,2028-11-12
M019,Glipizide 5mg,M019_B0125,2028-11-19
M019,Glipizide 5mg,M019_B0049,2028-11-27
M019,Glipizide 5mg,M019_B0023,2028-11-28
M019,Glipizide 5mg,M019_B0032,2028-12-09
M019,Glipizide 5mg,M019_B0047,2028-12-31
M019,Glipizide 5mg,M019_B0110,2029-01-06
M019,Glipizide 5mg,M019_B0051,2029-01-24
M019,Glipizide 5mg,M019_B0052,2029-02-20
M019,Glipizide 5mg,M019_B0070,2029-02-21
M019,Glipizide 5mg,M019_B0050,2029-03-18
M019,Glipizide 5mg,M019_B0041,2029-03-22
M019,Glipizide 5mg,M019_B0115,2029-03-23
M019,Glipizide 5mg,M019_B0103,2029-05-03
M019,Glipizide 5mg,M019_B0063,2029-06-25
