Medicine_ID,Medicine,Batch_ID,Expiry_Date
M020,Simvastatin 20mg,M020_B0017,2026-10-05
M020,Simvastatin 20mg,M020_B0048,2026-11-30
M020,Simvastatin 20mg,M020_B0052,2026-12-04
M020,Simvastatin 20mg,M020_B0133,2026-12-07
M020,Simvastatin 20mg,M020_B0108,2026-12-13
M020,Simvastatin 20mg,M020_B0059,2026-12-17
M020,Simvastatin 20mg,M020_B0044,2027-02-06
M020,Simvastatin 20mg,M020_B0092,2027-02-16
M020,Simvastatin 20mg,M020_B0036,2027-03-03
M020,Simvastatin 20mg,M020_B0042,2027-03-06
M020,Simvastatin 20mg,M020_B0079,2027-03-24
M020,Simvastatin 20mg,M020_B0082,2027-04-01
M020,Simvastatin 20mg,M020_B0066,2027-04-11
M020,Simvastatin 20mg,M020_B0002,2027-06-02
M020,Simvastatin 20mg,M020_B0010,2027-06-13
M020,Simvastatin 20mg,M020_B0124,2027-07-07
M020,Simvastatin 20mg,M020_B0057,2027-07-10
M020,Simvastatin 20mg,M020_B0125,2027-07-13
M020,Simvastatin 20mg,M020_B0049,2027-07-17
M020,Simvastatin 20mg,M020_B0056,2027-08-02
M020,Simvastatin 20mg,M020_B0074,2027-08-09
M020,Simvastatin 20mg,M020_B0101,2027-08-14
M020,Simvastatin 20mg,M020_B0058,2027-08-20
M020,Simvastatin 20mg,M020_B0103,2027-08-26
M020,Simvastatin 20mg,M020_B0015,2027-09-09
M020,Simvastatin 20mg,M020_B0050,2027-09-22
M020,Simvastatin 20mg,M020_B0054,2027-09-24
M020,Simvastatin 20mg,M020_B0041,2027-11-16
M020,Simvastatin 20mg,M020_B0122,2027-12-20
M020,Simvastatin 20mg,M020_B0087,2027-12-28
M020,Simvastatin 20mg,M020_B0014,2028-01-06
M020,Simvastatin 20mg,M020_B0095,2028-02-01
M020,Simvastatin 20mg,M020_B0055,2028-02-18
M020,Simvastatin 20mg,M020_B0091,2028-02-20
M020,Simvastatin 20mg,M020_B0129,2028-02-26
M020,Simvastatin 20mg,M020_B0115,2028-03-16
M020,Simvastatin 20mg,M020_B0098,2028-03-17
M020,Simvastatin 20mg,M020_B0123,2028-04-06
M020,Simvastatin 20mg,M020_B0003,2028-04-13
M020,Simvastatin 20mg,M020_B0023,2028-04-25
M020,Simvastatin 20mg,M020_B0001,2028-05-16
M020,Simvastatin 20mg,M020_B0093,2028-07-31
M020,Simvastatin 20mg,M020_B0051,2028-08-26
M020,Simvastatin 20mg,M020_B0099,2028-09-01
M020,Simvastatin 20mg,M020_B0126,2028-09-01
M020,Simvastatin 20mg,M020_B0063,2028-09-13
M020,Simvastatin 20mg,M020_B0076,2028-09-13
M020,Simvastatin 20mg,M020_B0043,2028-09-15
M020,Simvastatin 20mg,M020_B0016,2028-09-20
M020,Simvastatin 20mg,M020_B0068,2028-10-06
M020,Simvastatin 20mg,M020_B0096,2028-10-18
M020,Simvastatin 20mg,M020_B0136,2028-10-30
M020,Simvastatin 20mg,M020_B0018,2028-11-28
M020,Simvastatin 20mg,M020_B0070,2028-12-11
M020,Simvastatin 20mg,M020_B0031,2028-12-14
M020,Simvastatin 20mg,M020_B0045,2028-12-19
M020,Simvastatin 20mg,M020_B0081,2028-12-30
M020,Simvastatin 20mg,M020_B0097,2029-01-04
M020,Simvastatin 20mg,M020_B0040,2029-01-18
M020,Simvastatin 20mg,M020_B0105,2029-02-02
M020,Simvastatin 20mg,M020_B0090,2029-02-12
M020,Simvastatin 20mg,M020_B0025,2029-02-26
M020,Simvastatin 20mg,M020_B0080,2029-03-05
M020,Simvastatin 20mg,M020_B0037,2029-03-14
M020,Simvastatin 20mg,M020_B0033,2029-04-16
M020,Simvastatin 20mg,M020_B0024,2029-05-11
M020,Simvastatin 20mg,M020_B0085,2029-05-22
M020,Simvastatin 20mg,M020_B0127,2029-05-22
M020,Simvastatin 20mg,M020_B0009,2029-06-06
M020,Simvastatin 20mg,M020_B0104,2029-06-18
M020,Simvastatin 20mg,M020_B0120,2029-06-30
M020,Simvastatin 20mg,M020_B0007,2029-07-09
M020,Simvastatin 20mg,M020_B0011,2029-07-14
