Medicine_ID,Medicine,Batch_ID,Expiry_Date
M001,Paracetamol,M001_B001,2027-03-12
M001,Paracetamol,M001_B002,2026-03-01
M001,Paracetamol,M001_B003,2028-02-25
M001,Paracetamol,M001_B004,2027-10-21
M001,Paracetamol,M001_B005,2026-08-21
M001,Paracetamol,M001_B006,2027-05-06
M001,Paracetamol,M001_B007,2027-09-29
M001,Paracetamol,M001_B008,2027-04-15
M001,Paracetamol,M001_B009,2027-03-05
M001,Paracetamol,M001_B010,2026-02-04
M001,Paracetamol,M001_B011,2028-01-22
M001,Paracetamol,M001_B012,2026-09-07
M001,Paracetamol,M001_B013,2026-08-29
M001,Paracetamol,M001_B014,2026-11-12
M001,Paracetamol,M001_B015,2028-03-11
M001,Paracetamol,M001_B016,2028-01-21
M001,Paracetamol,M001_B017,2028-05-08
M001,Paracetamol,M001_B018,2028-04-25
M001,Paracetamol,M001_B019,2026-04-05
M001,Paracetamol,M001_B020,2027-09-14
M001,Paracetamol,M001_B021,2026-05-15
M001,Paracetamol,M001_B022,2028-04-28
M001,Paracetamol,M001_B023,2027-08-03
M001,Paracetamol,M001_B024,2026-08-10
M001,Paracetamol,M001_B025,2027-02-09
M001,Paracetamol,M001_B026,2026-12-30
M001,Paracetamol,M001_B027,2026-08-20
M001,Paracetamol,M001_B028,2027-05-14
M001,Paracetamol,M001_B029,2026-05-27
M001,Paracetamol,M001_B030,2026-10-26
M001,Paracetamol,M001_B031,2027-12-18
M001,Paracetamol,M001_B032,2027-06-16
M001,Paracetamol,M001_B033,2027-07-25
