Medicine_ID,Medicine,Batch_ID,Expiry_Date
M002,Ibuprofen,M002_B0001,2026-07-15
M002,Ibuprofen,M002_B0002,2027-04-03
M002,Ibuprofen,M002_B0003,2027-03-22
M002,Ibuprofen,M002_B0004,2027-06-12
M002,Ibuprofen,M002_B0005,2027-04-21
M002,Ibuprofen,M002_B0006,2027-03-31
M002,Ibuprofen,M002_B0007,2027-07-31
M002,Ibuprofen,M002_B0008,2027-06-09
M002,Ibuprofen,M002_B0009,2027-03-20
M002,Ibuprofen,M002_B0010,2027-03-25
M002,Ibuprofen,M002_B0011,2027-09-09
M002,Ibuprofen,M002_B0012,2027-04-03
M002,Ibuprofen,M002_B0013,2027-04-04
M002,Ibuprofen,M002_B0014,2027-03-17
M002,Ibuprofen,M002_B0015,2028-01-04
M002,Ibuprofen,M002_B0016,2027-04-04
M002,Ibuprofen,M002_B0017,2027-07-03
M002,Ibuprofen,M002_B0018,2027-10-19
M002,Ibuprofen,M002_B0019,2027-12-08
M002,Ibuprofen,M002_B0020,2027-12-04
M002,Ibuprofen,M002_B0021,2027-12-06
M002,Ibuprofen,M002_B0022,2028-04-27
M002,Ibuprofen,M002_B0023,2027-09-09
M002,Ibuprofen,M002_B0024,2027-08-19
M002,Ibuprofen,M002_B0025,2028-05-09
M002,Ibuprofen,M002_B0026,2028-05-31
M002,Ibuprofen,M002_B0027,2027-10-24
M002,Ibuprofen,M002_B0028,2027-12-15
M002,Ibuprofen,M002_B0029,2028-01-22
M002,Ibuprofen,M002_B0030,2027-09-15
M002,Ibuprofen,M002_B0031,2028-02-22
M002,Ibuprofen,M002_B0032,2028-03-09
M002,Ibuprofen,M002_B0033,2028-08-04
M002,Ibuprofen,M002_B0034,2028-07-21
M002,Ibuprofen,M002_B0035,2027-11-24
M002,Ibuprofen,M002_B0036,2028-02-19
M002,Ibuprofen,M002_B0037,2028-04-29
M002,Ibuprofen,M002_B0038,2028-05-03
M002,Ibuprofen,M002_B0039,2028-08-19
M002,Ibuprofen,M002_B0040,2028-12-19
M002,Ibuprofen,M002_B0041,2028-02-17
M002,Ibuprofen,M002_B0042,2028-03-29
M002,Ibuprofen,M002_B0043,2028-09-14
M002,Ibuprofen,M002_B0044,2028-08-06
M002,Ibuprofen,M002_B0045,2029-01-21
M002,Ibuprofen,M002_B0046,2028-11-09
M002,Ibuprofen,M002_B0047,2028-08-20
M002,Ibuprofen,M002_B0048,2029-02-19
M002,Ibuprofen,M002_B0049,2029-01-29
M002,Ibuprofen,M002_B0050,2028-12-28
M002,Ibuprofen,M002_B0051,2029-01-19
M002,Ibuprofen,M002_B0052,2029-06-07
M002,Ibuprofen,M002_B0053,2028-08-25
M002,Ibuprofen,M002_B0054,2029-08-06
M002,Ibuprofen,M002_B0055,2028-09-11
M002,Ibuprofen,M002_B0056,2029-04-07
M002,Ibuprofen,M002_B0057,2028-12-30
M002,Ibuprofen,M002_B0058,2029-03-10
M002,Ibuprofen,M002_B0059,2029-09-27
M002,Ibuprofen,M002_B0060,2029-09-28
M002,Ibuprofen,M002_B0061,2029-01-31
M002,Ibuprofen,M002_B0062,2029-08-24
M002,Ibuprofen,M002_B0063,2029-12-24
M002,Ibuprofen,M002_B0064,2029-06-06
M002,Ibuprofen,M002_B0065,2029-11-10
M002,Ibuprofen,M002_B0066,2030-01-30
M002,Ibuprofen,M002_B0067,2029-11-08
M002,Ibuprofen,M002_B0068,2029-07-03
M002,Ibuprofen,M002_B0069,2030-02-03
M002,Ibuprofen,M002_B0070,2029-08-05
M002,Ibuprofen,M002_B0071,2029-10-23
M002,Ibuprofen,M002_B0072,2029-11-20
M002,Ibuprofen,M002_B0073,2030-02-13
M002,Ibuprofen,M002_B0074,2029-10-07
M002,Ibuprofen,M002_B0075,2029-08-28
M002,Ibuprofen,M002_B0076,2030-07-05
M002,Ibuprofen,M002_B0077,2029-11-29
M002,Ibuprofen,M002_B0078,2029-09-08
M002,Ibuprofen,M002_B0079,2030-03-17
