Medicine_ID,Medicine,Batch_ID,Expiry_Date
M003,Amoxicillin,M003_B001,2027-07-08
M003,Amoxicillin,M003_B002,2027-03-04
M003,Amoxicillin,M003_B003,2027-04-04
M003,Amoxicillin,M003_B004,2027-10-03
M003,Amoxicillin,M003_B005,2026-06-21
M003,Amoxicillin,M003_B006,2027-09-11
M003,Amoxicillin,M003_B007,2027-02-27
M003,Amoxicillin,M003_B008,2027-04-09
M003,Amoxicillin,M003_B009,2026-08-09
M003,Amoxicillin,M003_B010,2027-06-13
M003,Amoxicillin,M003_B011,2027-11-12
M003,Amoxicillin,M003_B012,2027-08-04
M003,Amoxicillin,M003_B013,2028-01-11
M003,Amoxicillin,M003_B014,2027-11-22
M003,Amoxicillin,M003_B015,2026-07-27
M003,Amoxicillin,M003_B016,2027-08-22
M003,Amoxicillin,M003_B017,2026-07-20
M003,Amoxicillin,M003_B018,2027-06-16
M003,Amoxicillin,M003_B019,2026-11-22
M003,Amoxicillin,M003_B020,2026-06-23
M003,Amoxicillin,M003_B021,2026-08-10
M003,Amoxicillin,M003_B022,2026-12-19
M003,Amoxicillin,M003_B023,2028-06-11
M003,Amoxicillin,M003_B024,2027-05-07
