Medicine_ID,Medicine,Batch_ID,Expiry_Date
M004,Insulin,M004_B0001,2027-04-16
M004,Insulin,M004_B0002,2027-02-18
M004,Insulin,M004_B0003,2027-01-09
M004,Insulin,M004_B0004,2026-12-03
M004,Insulin,M004_B0005,2027-01-04
M004,Insulin,M004_B0006,2026-10-24
M004,Insulin,M004_B0007,2027-01-23
M004,Insulin,M004_B0008,2027-04-26
M004,Insulin,M004_B0009,2027-03-13
M004,Insulin,M004_B0010,2026-12-16
M004,Insulin,M004_B0011,2027-02-23
M004,Insulin,M004_B0012,2027-04-09
M004,Insulin,M004_B0013,2027-07-12
M004,Insulin,M004_B0014,2027-07-12
M004,Insulin,M004_B0015,2027-01-21
M004,Insulin,M004_B0016,2027-12-13
M004,Insulin,M004_B0017,2028-01-13
M004,Insulin,M004_B0018,2028-01-10
M004,Insulin,M004_B0019,2027-04-30
M004,Insulin,M004_B0020,2027-07-30
M004,Insulin,M004_B0021,2028-01-05
M004,Insulin,M004_B0022,2027-11-10
M004,Insulin,M004_B0023,2027-09-14
M004,Insulin,M004_B0024,2027-11-10
M004,Insulin,M004_B0025,2027-09-20
M004,Insulin,M004_B0026,2028-04-13
M004,Insulin,M004_B0027,2028-03-25
M004,Insulin,M004_B0028,2028-05-31
