Medicine_ID,Medicine,Batch_ID,Expiry_Date
M005,Epinephrine,M005_B0001,2027-04-24
M005,Epinephrine,M005_B0002,2027-02-09
M005,Epinephrine,M005_B0003,2027-05-21
M005,Epinephrine,M005_B0004,2027-06-23
M005,Epinephrine,M005_B0005,2027-06-18
M005,Epinephrine,M005_B0006,2027-04-29
M005,Epinephrine,M005_B0007,2027-07-25
M005,Epinephrine,M005_B0008,2027-09-26
M005,Epinephrine,M005_B0009,2027-02-13
M005,Epinephrine,M005_B0010,2027-04-25
M005,Epinephrine,M005_B0011,2026-12-28
M005,Epinephrine,M005_B0012,2027-06-13
M005,Epinephrine,M005_B0013,2027-12-02
M005,Epinephrine,M005_B0014,2027-04-19
M005,Epinephrine,M005_B0015,2027-12-02
M005,Epinephrine,M005_B0016,2027-05-11
M005,Epinephrine,M005_B0017,2028-02-05
M005,Epinephrine,M005_B0018,2028-02-08
M005,Epinephrine,M005_B0019,2028-03-10
M005,Epinephrine,M005_B0020,2028-03-05
M005,Epinephrine,M005_B0021,2027-05-26
M005,Epinephrine,M005_B0022,2028-02-14
M005,Epinephrine,M005_B0023,2028-03-05
M005,Epinephrine,M005_B0024,2028-05-03
M005,Epinephrine,M005_B0025,2028-01-11
M005,Epinephrine,M005_B0026,2028-04-05
M005,Epinephrine,M005_B0027,2027-12-23
M005,Epinephrine,M005_B0028,2028-07-30
M005,Epinephrine,M005_B0029,2027-09-20
M005,Epinephrine,M005_B0030,2028-08-26
M005,Epinephrine,M005_B0031,2027-09-17
M005,Epinephrine,M005_B0032,2028-07-24
M005,Epinephrine,M005_B0033,2028-08-10
M005,Epinephrine,M005_B0034,2028-10-26
M005,Epinephrine,M005_B0035,2028-06-29
M005,Epinephrine,M005_B0036,2028-05-13
M005,Epinephrine,M005_B0037,2028-03-16
M005,Epinephrine,M005_B0038,2028-05-23
M005,Epinephrine,M005_B0039,2028-12-27
M005,Epinephrine,M005_B0040,2028-02-25
M005,Epinephrine,M005_B0041,2028-07-16
M005,Epinephrine,M005_B0042,2028-08-07
M005,Epinephrine,M005_B0043,2028-11-10
M005,Epinephrine,M005_B0044,2028-06-25
M005,Epinephrine,M005_B0045,2028-07-17
M005,Epinephrine,M005_B0046,2028-07-01
M005,Epinephrine,M005_B0047,2028-11-27
M005,Epinephrine,M005_B0048,2029-03-25
M005,Epinephrine,M005_B0049,2029-04-23
M005,Epinephrine,M005_B0050,2028-10-05
M005,Epinephrine,M005_B0051,2028-08-16
M005,Epinephrine,M005_B0052,2028-08-06
M005,Epinephrine,M005_B0053,2029-05-06
M005,Epinephrine,M005_B0054,2029-07-17
M005,Epinephrine,M005_B0055,2029-05-30
M005,Epinephrine,M005_B0056,2029-05-24
M005,Epinephrine,M005_B0057,2029-02-09
M005,Epinephrine,M005_B0058,2028-12-17
M005,Epinephrine,M005_B0059,2029-04-16
M005,Epinephrine,M005_B0060,2029-07-14
M005,Epinephrine,M005_B0061,2029-11-24
M005,Epinephrine,M005_B0062,2029-10-25
M005,Epinephrine,M005_B0063,2029-08-18
M005,Epinephrine,M005_B0064,2030-01-14
M005,Epinephrine,M005_B0065,2029-04-21
M005,Epinephrine,M005_B0066,2029-07-24
M005,Epinephrine,M005_B0067,2029-03-21
M005,Epinephrine,M005_B0068,2030-01-14
M005,Epinephrine,M005_B0069,2029-08-22
M005,Epinephrine,M005_B0070,2029-12-16
M005,Epinephrine,M005_B0071,2029-07-18
M005,Epinephrine,M005_B0072,2029-08-31
M005,Epinephrine,M005_B0073,2030-03-07
M005,Epinephrine,M005_B0074,2030-04-18
M005,Epinephrine,M005_B0075,2029-07-21
M005,Epinephrine,M005_B0076,2029-08-11
M005,Epinephrine,M005_B0077,2029-08-08
M005,Epinephrine,M005_B0078,2030-03-18
M005,Epinephrine,M005_B0079,2030-02-09
M005,Epinephrine,M005_B0080,2030-07-02
