Medicine_ID,Medicine,Batch_ID,Expiry_Date
M006,Salbutamol,M006_B001,2026-11-01
M006,Salbutamol,M006_B002,2028-04-03
M006,Salbutamol,M006_B003,2027-08-10
M006,Salbutamol,M006_B004,2028-05-23
M006,Salbutamol,M006_B005,2027-02-10
M006,Salbutamol,M006_B006,2027-08-09
M006,Salbutamol,M006_B007,2028-05-22
M006,Salbutamol,M006_B008,2028-03-15
M006,Salbutamol,M006_B009,2026-03-14
M006,Salbutamol,M006_B010,2028-03-19
M006,Salbutamol,M006_B011,2028-02-06
M006,Salbutamol,M006_B012,2027-04-27
M006,Salbutamol,M006_B013,2027-08-13
M006,Salbutamol,M006_B014,2026-09-11
M006,Salbutamol,M006_B015,2027-04-11
M006,Salbutamol,M006_B016,2026-05-15
M006,Salbutamol,M006_B017,2028-02-23
M006,Salbutamol,M006_B018,2028-05-29
M006,Salbutamol,M006_B019,2027-12-01
M006,Salbutamol,M006_B020,2028-03-10
M006,Salbutamol,M006_B021,2026-10-11
M006,Salbutamol,M006_B022,2026-12-01
M006,Salbutamol,M006_B023,2026-03-05
