Medicine_ID,Medicine,Batch_ID,Expiry_Date
M007,Morphine,M007_B001,2032-12-14
M007,Morphine,M007_B002,2032-12-03
M007,Morphine,M007_B003,2032-11-05
M007,Morphine,M007_B004,2032-08-27
M007,Morphine,M007_B005,2032-08-24
M007,Morphine,M007_B006,2032-07-30
M007,Morphine,M007_B007,2032-07-27
M007,Morphine,M007_B008,2032-07-26
M007,Morphine,M007_B009,2032-07-19
M007,Morphine,M007_B010,2032-07-14
M007,Morphine,M007_B011,2032-07-12
M007,Morphine,M007_B012,2032-06-29
M007,Morphine,M007_B013,2032-06-18
M007,Morphine,M007_B014,2032-06-10
M007,Morphine,M007_B015,2032-05-29
M007,Morphine,M007_B016,2032-05-13
M007,Morphine,M007_B017,2032-04-01
M007,Morphine,M007_B018,2032-03-28
M007,Morphine,M007_B019,2032-02-15
M007,Morphine,M007_B020,2031-12-29
M007,Morphine,M007_B021,2031-12-16
M007,Morphine,M007_B022,2031-12-14
M007,Morphine,M007_B023,2031-11-09
M007,Morphine,M007_B024,2031-10-06
M007,Morphine,M007_B025,2031-09-29
M007,Morphine,M007_B026,2031-09-26
M007,Morphine,M007_B027,2031-09-13
M007,Morphine,M007_B028,2031-08-16
M007,Morphine,M007_B029,2031-07-21
M007,Morphine,M007_B030,2031-06-23
M007,Morphine,M007_B031,2031-06-18
M007,Morphine,M007_B032,2031-05-31
M007,Morphine,M007_B033,2031-05-13
M007,Morphine,M007_B034,2031-05-11
M007,Morphine,M007_B035,2031-05-09
M007,Morphine,M007_B036,2031-05-04
M007,Morphine,M007_B037,2031-04-28
M007,Morphine,M007_B038,2031-04-11
M007,Morphine,M007_B039,2031-04-01
M007,Morphine,M007_B040,2031-03-26
M007,Morphine,M007_B041,2031-03-02
M007,Morphine,M007_B042,2031-02-17
M007,Morphine,M007_B043,2031-02-09
M007,Morphine,M007_B044,2031-02-09
