Medicine_ID,Medicine,Batch_ID,Expiry_Date
M008,Aspirin,M008_B001,2026-12-28
M008,Aspirin,M008_B002,2028-01-21
M008,Aspirin,M008_B003,2026-11-26
M008,Aspirin,M008_B004,2026-11-23
M008,Aspirin,M008_B005,2027-09-09
M008,Aspirin,M008_B006,2026-10-31
M008,Aspirin,M008_B007,2027-07-11
M008,Aspirin,M008_B008,2027-12-27
M008,Aspirin,M008_B009,2028-05-14
M008,Aspirin,M008_B010,2026-05-08
M008,Aspirin,M008_B011,2026-06-18
M008,Aspirin,M008_B012,2028-03-09
M008,Aspirin,M008_B013,2028-04-14
M008,Aspirin,M008_B014,2027-03-28
M008,Aspirin,M008_B015,2026-04-01
M008,Aspirin,M008_B016,2026-11-10
M008,Aspirin,M008_B017,2027-12-03
M008,Aspirin,M008_B018,2026-06-09
M008,Aspirin,M008_B019,2028-01-19
M008,Aspirin,M008_B020,2026-06-15
M008,Aspirin,M008_B021,2026-10-13
M008,Aspirin,M008_B022,2026-06-29
M008,Aspirin,M008_B023,2028-01-29
M008,Aspirin,M008_B024,2026-12-26
M008,Aspirin,M008_B025,2028-05-28
