Medicine_ID,Medicine,Batch_ID,Expiry_Date
M009,Metformin,M009_B001,2028-03-20
M009,Metformin,M009_B002,2028-06-12
M009,Metformin,M009_B003,2027-12-24
M009,Metformin,M009_B004,2027-03-09
M009,Metformin,M009_B005,2027-06-16
M009,Metformin,M009_B006,2026-06-25
M009,Metformin,M009_B007,2027-09-14
M009,Metformin,M009_B008,2027-11-09
M009,Metformin,M009_B009,2026-11-02
M009,Metformin,M009_B010,2027-11-04
M009,Metformin,M009_B011,2027-03-31
M009,Metformin,M009_B012,2027-02-19
M009,Metformin,M009_B013,2027-05-08
M009,Metformin,M009_B014,2026-04-18
M009,Metformin,M009_B015,2027-11-10
M009,Metformin,M009_B016,2028-04-23
M009,Metformin,M009_B017,2028-03-28
M009,Metformin,M009_B018,2026-05-06
M009,Metformin,M009_B019,2027-03-19
M009,Metformin,M009_B020,2027-07-12
M009,Metformin,M009_B021,2028-03-08
M009,Metformin,M009_B022,2026-11-11
M009,Metformin,M009_B023,2028-01-12
M009,Metformin,M009_B024,2027-02-12
M009,Metformin,M009_B025,2027-05-11
M009,Metformin,M009_B026,2027-06-14
M009,Metformin,M009_B027,2027-01-01
