Medicine_ID,Medicine,Batch_ID,Expiry_Date
M010,Atorvastatin,M010_B001,2028-04-02
M010,Atorvastatin,M010_B002,2028-06-16
M010,Atorvastatin,M010_B003,2028-02-20
M010,Atorvastatin,M010_B004,2026-05-06
M010,Atorvastatin,M010_B005,2028-02-18
M010,Atorvastatin,M010_B006,2027-05-15
M010,Atorvastatin,M010_B007,2027-11-12
M010,Atorvastatin,M010_B008,2027-12-12
M010,Atorvastatin,M010_B009,2028-01-15
M010,Atorvastatin,M010_B010,2027-02-01
M010,Atorvastatin,M010_B011,2028-06-19
M010,Atorvastatin,M010_B012,2026-04-05
M010,Atorvastatin,M010_B013,2028-04-24
M010,Atorvastatin,M010_B014,2027-08-01
M010,Atorvastatin,M010_B015,2027-03-14
M010,Atorvastatin,M010_B016,2026-09-11
M010,Atorvastatin,M010_B017,2027-04-15
M010,Atorvastatin,M010_B018,2028-05-24
M010,Atorvastatin,M010_B019,2026-09-04
M010,Atorvastatin,M010_B020,2027-06-21
