Medicine_ID,Medicine,Batch_ID,Expiry_Date
M013,Cephalexin 500mg,M013_B0001,2027-05-03
M013,Cephalexin 500mg,M013_B0002,2027-07-23
M013,Cephalexin 500mg,M013_B0021,2027-11-21
M013,Cephalexin 500mg,M013_B0007,2028-03-27
M013,Cephalexin 500mg,M013_B0008,2028-06-25
M013,Cephalexin 500mg,M013_B0012,2028-08-20
M013,Cephalexin 500mg,M013_B0003,2028-12-19
M013,Cephalexin 500mg,M013_B0016,2029-02-06
M013,Cephalexin 500mg,M013_B0019,2029-03-28
M013,Cephalexin 500mg,M013_B0015,2029-06-20
M013,Cephalexin 500mg,M013_B0005,2029-07-29
M013,Cephalexin 500mg,M013_B0018,2029-11-12
M013,Cephalexin 500mg,M013_B0017,2029-11-13
M013,Cephalexin 500mg,M013_B0013,2030-08-07
M013,Cephalexin 500mg,M013_B0010,2030-08-30
M013,Cephalexin 500mg,M013_B0006,2030-10-19
M013,Cephalexin 500mg,M013_B0014,2030-12-05
M013,Cephalexin 500mg,M013_B0011,2031-12-11
M013,Cephalexin 500mg,M013_B0009,2032-02-27
M013,Cephalexin 500mg,M013_B0020,2032-06-08
M013,Cephalexin 500mg,M013_B0004,2032-06-16
