Medicine_ID,Medicine,Batch_ID,Expiry_Date
M014,Insulin Lispro,M014_B0016,2026-11-28
M014,Insulin Lispro,M014_B0014,2026-12-12
M014,Insulin Lispro,M014_B0010,2027-01-28
M014,Insulin Lispro,M014_B0021,2027-10-05
M014,Insulin Lispro,M014_B0002,2028-02-25
M014,Insulin Lispro,M014_B0018,2028-03-06
M014,Insulin Lispro,M014_B0007,2028-09-08
M014,Insulin Lispro,M014_B0008,2029-02-27
M014,Insulin Lispro,M014_B0005,2029-08-19
M014,Insulin Lispro,M014_B0020,2029-10-19
M014,Insulin Lispro,M014_B0004,2029-11-13
M014,Insulin Lispro,M014_B0013,2029-11-22
M014,Insulin Lispro,M014_B0009,2030-02-28
M014,Insulin Lispro,M014_B0015,2030-11-02
M014,Insulin Lispro,M014_B0017,2030-12-30
M014,Insulin Lispro,M014_B0006,2031-11-25
M014,Insulin Lispro,M014_B0012,2031-11-25
M014,Insulin Lispro,M014_B0003,2032-01-31
M014,Insulin Lispro,M014_B022,2032-10-07
M014,Insulin Lispro,M014_B023,2032-09-30
M014,Insulin Lispro,M014_B024,2032-09-23
