Medicine_ID,Medicine,Batch_ID,Expiry_Date
M015,Norepinephrine,M015_B0020,2026-10-13
M015,Norepinephrine,M015_B0009,2027-01-08
M015,Norepinephrine,M015_B0021,2027-09-09
M015,Norepinephrine,M015_B0011,2027-11-26
M015,Norepinephrine,M015_B0013,2027-12-03
M015,Norepinephrine,M015_B0001,2028-04-22
M015,Norepinephrine,M015_B0008,2028-07-01
M015,Norepinephrine,M015_B0004,2028-10-14
M015,Norepinephrine,M015_B0007,2028-12-06
M015,Norepinephrine,M015_B0015,2030-03-03
M015,Norepinephrine,M015_B0006,2030-12-02
M015,Norepinephrine,M015_B0002,2031-02-10
M015,Norepinephrine,M015_B0017,2031-03-23
M015,Norepinephrine,M015_B0014,2031-08-13
M015,Norepinephrine,M015_B0012,2032-02-25
M015,Norepinephrine,M015_B0019,2032-03-15
M015,Norepinephrine,M015_B0016,2032-06-02
M015,Norepinephrine,M015_B0010,2032-06-27
M015,Norepinephrine,M015_B0003,2032-07-02
M015,Norepinephrine,M015_B0018,2032-07-29
M015,Norepinephrine,M015_B0005,2032-10-08
