Medicine_ID,Medicine,Batch_ID,Expiry_Date
M016,Terbutaline Inhaler,M016_B0007,2027-01-10
M016,Terbutaline Inhaler,M016_B0015,2027-03-31
M016,Terbutaline Inhaler,M016_B0021,2027-05-22
M016,Terbutaline Inhaler,M016_B0006,2027-11-26
M016,Terbutaline Inhaler,M016_B0008,2028-02-01
M016,Terbutaline Inhaler,M016_B0009,2028-07-22
M016,Terbutaline Inhaler,M016_B0012,2029-02-01
M016,Terbutaline Inhaler,M016_B0017,2029-03-13
M016,Terbutaline Inhaler,M016_B0013,2029-04-25
M016,Terbutaline Inhaler,M016_B0010,2029-06-26
M016,Terbutaline Inhaler,M016_B0003,2029-06-27
M016,Terbutaline Inhaler,M016_B0020,2029-08-11
M016,Terbutaline Inhaler,M016_B0011,2029-12-09
M016,Terbutaline Inhaler,M016_B0016,2030-03-19
M016,Terbutaline Inhaler,M016_B0005,2030-05-19
M016,Terbutaline Inhaler,M016_B0004,2030-08-13
M016,Terbutaline Inhaler,M016_B0002,2030-11-19
M016,Terbutaline Inhaler,M016_B0018,2031-01-15
M016,Terbutaline Inhaler,M016_B0001,2031-11-07
M016,Terbutaline Inhaler,M016_B0019,2031-12-07
M016,Terbutaline Inhaler,M016_B0014,2032-02-06
