Medicine_ID,Medicine,Batch_ID,Expiry_Date
M017,Fentanyl Patch,M017_B0015,2027-07-08
M017,Fentanyl Patch,M017_B0021,2027-08-16
M017,Fentanyl Patch,M017_B0014,2027-09-07
M017,Fentanyl Patch,M017_B0004,2027-09-08
M017,Fentanyl Patch,M017_B0003,2027-09-21
M017,Fentanyl Patch,M017_B0013,2027-12-10
M017,Fentanyl Patch,M017_B0018,2028-05-13
M017,Fentanyl Patch,M017_B0009,2028-05-23
M017,Fentanyl Patch,M017_B0001,2028-09-22
M017,Fentanyl Patch,M017_B0006,2028-10-24
M017,Fentanyl Patch,M017_B0002,2029-01-23
M017,Fentanyl Patch,M017_B0010,2029-02-04
M017,Fentanyl Patch,M017_B0019,2029-05-08
M017,Fentanyl Patch,M017_B0012,2030-02-03
M017,Fentanyl Patch,M017_B0016,2030-06-19
M017,Fentanyl Patch,M017_B0005,2031-01-10
M017,Fentanyl Patch,M017_B0011,2031-07-17
M017,Fentanyl Patch,M017_B0008,2031-08-25
M017,Fentanyl Patch,M017_B0017,2032-03-22
M017,Fentanyl Patch,M017_B0020,2032-05-28
M017,Fentanyl Patch,M017_B0007,2032-09-21
