Medicine_ID,Medicine,Batch_ID,Expiry_Date
M018,Clopidogrel 75mg,M018_B0001,2027-07-10
M018,Clopidogrel 75mg,M018_B0013,2028-04-09
M018,Clopidogrel 75mg,M018_B0015,2028-05-03
M018,Clopidogrel 75mg,M018_B0011,2028-08-30
M018,Clopidogrel 75mg,M018_B0007,2028-12-24
M018,Clopidogrel 75mg,M018_B0014,2029-05-02
M018,Clopidogrel 75mg,M018_B0003,2029-07-08
M018,Clopidogrel 75mg,M018_B0019,2029-07-31
M018,Clopidogrel 75mg,M018_B0005,2030-01-10
M018,Clopidogrel 75mg,M018_B0010,2030-05-28
M018,Clopidogrel 75mg,M018_B0008,2030-06-14
M018,Clopidogrel 75mg,M018_B0020,2030-12-09
M018,Clopidogrel 75mg,M018_B0021,2031-01-02
M018,Clopidogrel 75mg,M018_B0002,2031-03-24
M018,Clopidogrel 75mg,M018_B0016,2031-04-29
M018,Clopidogrel 75mg,M018_B0009,2031-08-04
M018,Clopidogrel 75mg,M018_B0012,2031-10-12
M018,Clopidogrel 75mg,M018_B0017,2031-12-15
M018,Clopidogrel 75mg,M018_B0006,2032-01-21
M018,Clopidogrel 75mg,M018_B0018,2032-02-25
M018,Clopidogrel 75mg,M018_B0004,2032-06-30
