Medicine_ID,Medicine,Batch_ID,Expiry_Date
M019,Glipizide 5mg,M019_B0019,2026-12-15
M019,Glipizide 5mg,M019_B0009,2026-12-27
M019,Glipizide 5mg,M019_B0004,2027-04-07
M019,Glipizide 5mg,M019_B0013,2027-05-22
M019,Glipizide 5mg,M019_B0002,2027-08-05
M019,Glipizide 5mg,M019_B0015,2027-10-18
M019,Glipizide 5mg,M019_B0020,2028-11-07
M019,Glipizide 5mg,M019_B0005,2029-02-22
M019,Glipizide 5mg,M019_B0014,2029-03-14
M019,Glipizide 5mg,M019_B0021,2029-04-09
M019,Glipizide 5mg,M019_B0001,2030-09-06
M019,Glipizide 5mg,M019_B0017,2031-05-08
M019,Glipizide 5mg,M019_B0011,2031-07-15
M019,Glipizide 5mg,M019_B0016,2031-09-14
M019,Glipizide 5mg,M019_B0010,2031-09-16
M019,Glipizide 5mg,M019_B0018,2032-02-17
M019,Glipizide 5mg,M019_B0006,2032-04-02
M019,Glipizide 5mg,M019_B0003,2032-07-09
M019,Glipizide 5mg,M019_B0007,2032-07-30
M019,Glipizide 5mg,M019_B0012,2032-09-15
M019,Glipizide 5mg,M019_B0008,2032-09-26
