Medicine_ID,Medicine,Batch_ID,Expiry_Date
M020,Simvastatin 20mg,M020_B0018,2026-11-11
M020,Simvastatin 20mg,M020_B0013,2027-02-08
M020,Simvastatin 20mg,M020_B0011,2027-06-18
M020,Simvastatin 20mg,M020_B0001,2027-08-06
M020,Simvastatin 20mg,M020_B0017,2028-04-02
M020,Simvastatin 20mg,M020_B0006,2028-04-28
M020,Simvastatin 20mg,M020_B0005,2028-09-02
M020,Simvastatin 20mg,M020_B0014,2028-12-19
M020,Simvastatin 20mg,M020_B0007,2029-04-06
M020,Simvastatin 20mg,M020_B0002,2029-07-13
M020,Simvastatin 20mg,M020_B0008,2030-04-05
M020,Simvastatin 20mg,M020_B0019,2030-04-14
M020,Simvastatin 20mg,M020_B0021,2030-05-07
M020,Simvastatin 20mg,M020_B0010,2030-10-02
M020,Simvastatin 20mg,M020_B0009,2031-01-16
M020,Simvastatin 20mg,M020_B0004,2031-02-07
M020,Simvastatin 20mg,M020_B0016,2031-04-12
M020,Simvastatin 20mg,M020_B0015,2031-05-18
M020,Simvastatin 20mg,M020_B0012,2032-02-15
M020,Simvastatin 20mg,M020_B0003,2032-09-21
M020,Simvastatin 20mg,M020_B0020,2032-10-07
