Medicine_ID,Medicine,Batch_ID,Expiry_Date
M001,Paracetamol,M001_B001,2026-12-27
M001,Paracetamol,M001_B002,2028-05-28
M001,Paracetamol,M001_B003,2026-11-17
M001,Paracetamol,M001_B004,2027-01-11
M001,Paracetamol,M001_B005,2027-08-14
M001,Paracetamol,M001_B006,2027-09-14
M001,Paracetamol,M001_B007,2026-06-13
M001,Paracetamol,M001_B008,2027-09-02
M001,Paracetamol,M001_B009,2027-06-11
M001,Paracetamol,M001_B010,2028-04-17
M001,Paracetamol,M001_B011,2027-01-17
M001,Paracetamol,M001_B012,2027-12-30
M001,Paracetamol,M001_B013,2028-03-21
M001,Paracetamol,M001_B014,2026-03-21
M001,Paracetamol,M001_B015,2026-03-19
M001,Paracetamol,M001_B016,2026-05-12
M001,Paracetamol,M001_B017,2027-11-03
M001,Paracetamol,M001_B018,2028-04-12
M001,Paracetamol,M001_B019,2028-06-05
M001,Paracetamol,M001_B020,2027-05-16
M001,Paracetamol,M001_B021,2026-02-16
M001,Paracetamol,M001_B022,2026-06-07
M001,Paracetamol,M001_B023,2026-07-11
M001,Paracetamol,M001_B024,2027-04-27
M001,Paracetamol,M001_B025,2027-05-13
M001,Paracetamol,M001_B026,2026-01-31
M001,Paracetamol,M001_B027,2027-04-14
M001,Paracetamol,M001_B028,2026-08-26
