Medicine_ID,Medicine,Batch_ID,Expiry_Date
M002,Ibuprofen,M002_B001,2027-11-27
M002,Ibuprofen,M002_B002,2026-12-06
M002,Ibuprofen,M002_B003,2026-07-12
M002,Ibuprofen,M002_B004,2026-11-07
M002,Ibuprofen,M002_B005,2026-05-06
M002,Ibuprofen,M002_B006,2027-12-02
M002,Ibuprofen,M002_B007,2027-02-04
M002,Ibuprofen,M002_B008,2026-10-14
M002,Ibuprofen,M002_B009,2026-04-25
M002,Ibuprofen,M002_B010,2027-02-15
M002,Ibuprofen,M002_B011,2027-12-12
M002,Ibuprofen,M002_B012,2027-11-26
M002,Ibuprofen,M002_B013,2026-07-19
M002,Ibuprofen,M002_B014,2026-03-25
M002,Ibuprofen,M002_B015,2027-03-12
M002,Ibuprofen,M002_B016,2027-11-02
M002,Ibuprofen,M002_B017,2026-12-09
M002,Ibuprofen,M002_B018,2028-02-13
M002,Ibuprofen,M002_B019,2028-01-17
M002,Ibuprofen,M002_B020,2028-03-14
M002,Ibuprofen,M002_B021,2026-09-27
M002,Ibuprofen,M002_B022,2027-04-15
M002,Ibuprofen,M002_B023,2027-12-03
M002,Ibuprofen,M002_B024,2026-05-04
