Medicine_ID,Medicine,Batch_ID,Expiry_Date
M003,Amoxicillin,M003_B001,2026-02-01
M003,Amoxicillin,M003_B002,2026-09-06
M003,Amoxicillin,M003_B003,2027-06-03
M003,Amoxicillin,M003_B004,2026-04-20
M003,Amoxicillin,M003_B005,2026-06-15
M003,Amoxicillin,M003_B006,2027-09-30
M003,Amoxicillin,M003_B007,2026-09-19
M003,Amoxicillin,M003_B008,2027-07-16
M003,Amoxicillin,M003_B009,2027-12-28
M003,Amoxicillin,M003_B010,2027-05-01
M003,Amoxicillin,M003_B011,2026-02-09
M003,Amoxicillin,M003_B012,2026-02-08
M003,Amoxicillin,M003_B013,2028-01-13
M003,Amoxicillin,M003_B014,2027-01-17
M003,Amoxicillin,M003_B015,2028-05-16
M003,Amoxicillin,M003_B016,2026-06-03
M003,Amoxicillin,M003_B017,2027-04-08
M003,Amoxicillin,M003_B018,2028-01-11
M003,Amoxicillin,M003_B019,2026-06-15
M003,Amoxicillin,M003_B020,2027-06-04
M003,Amoxicillin,M003_B021,2026-04-13
M003,Amoxicillin,M003_B022,2026-09-22
M003,Amoxicillin,M003_B023,2027-02-27
