Medicine_ID,Medicine,Batch_ID,Expiry_Date
M004,Insulin,M004_B0001,2026-07-29
M004,Insulin,M004_B0002,2027-05-01
M004,Insulin,M004_B0003,2027-03-01
M004,Insulin,M004_B0004,2026-11-22
M004,Insulin,M004_B0005,2026-10-31
M004,Insulin,M004_B0006,2026-11-12
M004,Insulin,M004_B0007,2027-01-13
M004,Insulin,M004_B0008,2027-03-11
M004,Insulin,M004_B0009,2027-04-24
M004,Insulin,M004_B0010,2027-01-05
M004,Insulin,M004_B0011,2027-01-08
M004,Insulin,M004_B0012,2027-02-12
M004,Insulin,M004_B0013,2027-06-05
M004,Insulin,M004_B0014,2027-09-27
M004,Insulin,M004_B0015,2027-03-24
M004,Insulin,M004_B0016,2027-05-08
M004,Insulin,M004_B0017,2027-03-16
M004,Insulin,M004_B0018,2027-05-18
M004,Insulin,M004_B0019,2028-02-01
M004,Insulin,M004_B0020,2027-09-05
M004,Insulin,M004_B0021,2027-09-09
M004,Insulin,M004_B0022,2028-03-26
M004,Insulin,M004_B0023,2027-05-25
M004,Insulin,M004_B0024,2027-07-06
