Medicine_ID,Medicine,Batch_ID,Expiry_Date
M005,Epinephrine,M005_B001,2027-04-26
M005,Epinephrine,M005_B002,2027-01-25
M005,Epinephrine,M005_B003,2028-02-09
M005,Epinephrine,M005_B004,2026-09-06
M005,Epinephrine,M005_B005,2027-11-05
M005,Epinephrine,M005_B006,2028-03-07
M005,Epinephrine,M005_B007,2026-07-05
M005,Epinephrine,M005_B008,2027-03-28
M005,Epinephrine,M005_B009,2027-10-23
M005,Epinephrine,M005_B010,2028-01-04
M005,Epinephrine,M005_B011,2027-04-29
M005,Epinephrine,M005_B012,2026-09-10
M005,Epinephrine,M005_B013,2026-04-29
M005,Epinephrine,M005_B014,2026-05-13
M005,Epinephrine,M005_B015,2026-06-23
M005,Epinephrine,M005_B016,2028-03-11
M005,Epinephrine,M005_B017,2026-06-06
M005,Epinephrine,M005_B018,2027-09-26
M005,Epinephrine,M005_B019,2028-02-17
M005,Epinephrine,M005_B020,2027-02-28
M005,Epinephrine,M005_B021,2027-01-25
M005,Epinephrine,M005_B022,2027-04-15
M005,Epinephrine,M005_B023,2026-12-19
M005,Epinephrine,M005_B024,2028-04-20
M005,Epinephrine,M005_B025,2026-06-23
