Medicine_ID,Medicine,Batch_ID,Expiry_Date
M006,Salbutamol,M006_B001,2026-11-10
M006,Salbutamol,M006_B002,2027-11-22
M006,Salbutamol,M006_B003,2026-04-27
M006,Salbutamol,M006_B004,2026-10-12
M006,Salbutamol,M006_B005,2027-08-20
M006,Salbutamol,M006_B006,2027-10-08
M006,Salbutamol,M006_B007,2027-10-07
M006,Salbutamol,M006_B008,2028-02-08
M006,Salbutamol,M006_B009,2027-10-15
M006,Salbutamol,M006_B010,2026-11-18
M006,Salbutamol,M006_B011,2028-04-07
M006,Salbutamol,M006_B012,2028-01-08
M006,Salbutamol,M006_B013,2026-02-27
M006,Salbutamol,M006_B014,2028-06-17
M006,Salbutamol,M006_B015,2028-06-16
M006,Salbutamol,M006_B016,2027-12-06
M006,Salbutamol,M006_B017,2026-12-05
M006,Salbutamol,M006_B018,2026-08-29
M006,Salbutamol,M006_B019,2027-07-15
M006,Salbutamol,M006_B020,2027-10-14
M006,Salbutamol,M006_B021,2027-07-06
M006,Salbutamol,M006_B022,2026-08-12
M006,Salbutamol,M006_B023,2028-03-06
M006,Salbutamol,M006_B024,2027-03-08
M006,Salbutamol,M006_B025,2026-11-29
M006,Salbutamol,M006_B026,2027-11-23
M006,Salbutamol,M006_B027,2026-03-27
