Medicine_ID,Medicine,Batch_ID,Expiry_Date
M007,Morphine,M007_B0001,2027-05-09
M007,Morphine,M007_B0002,2027-01-25
M007,Morphine,M007_B0003,2027-02-01
M007,Morphine,M007_B0004,2027-02-23
M007,Morphine,M007_B0005,2027-01-28
M007,Morphine,M007_B0006,2027-06-19
M007,Morphine,M007_B0007,2027-08-16
M007,Morphine,M007_B0008,2027-09-23
M007,Morphine,M007_B0009,2027-02-22
M007,Morphine,M007_B0010,2026-11-26
M007,Morphine,M007_B0011,2027-02-04
M007,Morphine,M007_B0012,2027-04-09
M007,Morphine,M007_B0013,2027-07-05
M007,Morphine,M007_B0014,2027-09-11
M007,Morphine,M007_B0015,2027-06-26
M007,Morphine,M007_B0016,2027-11-25
M007,Morphine,M007_B0017,2028-02-12
M007,Morphine,M007_B0018,2027-04-29
M007,Morphine,M007_B0019,2028-02-13
M007,Morphine,M007_B0020,2027-10-22
M007,Morphine,M007_B0021,2028-01-31
M007,Morphine,M007_B0022,2027-11-15
M007,Morphine,M007_B0023,2027-09-13
M007,Morphine,M007_B0024,2027-07-05
M007,Morphine,M007_B0025,2027-07-25
M007,Morphine,M007_B0026,2027-10-08
M007,Morphine,M007_B0027,2027-10-18
M007,Morphine,M007_B0028,2028-04-24
M007,Morphine,M007_B0029,2028-07-28
M007,Morphine,M007_B0030,2028-05-10
M007,Morphine,M007_B0031,2027-10-03
M007,Morphine,M007_B0032,2028-06-10
M007,Morphine,M007_B0033,2028-02-02
M007,Morphine,M007_B0034,2028-03-11
M007,Morphine,M007_B0035,2027-11-25
M007,Morphine,M007_B0036,2028-09-29
M007,Morphine,M007_B0037,2028-01-12
M007,Morphine,M007_B0038,2028-06-04
M007,Morphine,M007_B0039,2028-12-01
M007,Morphine,M007_B0040,2028-12-03
M007,Morphine,M007_B0041,2028-06-17
M007,Morphine,M007_B0042,2028-03-20
M007,Morphine,M007_B0043,2028-08-11
M007,Morphine,M007_B0044,2028-10-10
M007,Morphine,M007_B0045,2028-10-03
M007,Morphine,M007_B0046,2028-10-29
M007,Morphine,M007_B0047,2029-02-27
M007,Morphine,M007_B0048,2028-10-31
M007,Morphine,M007_B0049,2029-01-28
M007,Morphine,M007_B0050,2028-08-02
M007,Morphine,M007_B0051,2029-02-12
M007,Morphine,M007_B0052,2029-03-13
M007,Morphine,M007_B0053,2028-09-12
M007,Morphine,M007_B0054,2029-06-01
M007,Morphine,M007_B0055,2029-05-01
M007,Morphine,M007_B0056,2029-03-13
M007,Morphine,M007_B0057,2029-04-05
M007,Morphine,M007_B0058,2029-04-10
M007,Morphine,M007_B0059,2029-03-23
M007,Morphine,M007_B0060,2029-05-01
M007,Morphine,M007_B0061,2029-08-14
M007,Morphine,M007_B0062,2029-12-09
M007,Morphine,M007_B0063,2029-11-30
M007,Morphine,M007_B0064,2029-05-21
M007,Morphine,M007_B0065,2029-10-24
M007,Morphine,M007_B0066,2029-08-23
M007,Morphine,M007_B0067,2029-06-01
M007,Morphine,M007_B0068,2029-10-11
M007,Morphine,M007_B0069,2029-12-06
