Medicine_ID,Medicine,Batch_ID,Expiry_Date
M008,Aspirin,M008_B0001,2026-07-15
M008,Aspirin,M008_B0002,2027-02-02
M008,Aspirin,M008_B0003,2027-06-20
M008,Aspirin,M008_B0004,2027-01-29
M008,Aspirin,M008_B0005,2027-02-17
M008,Aspirin,M008_B0006,2027-01-10
M008,Aspirin,M008_B0007,2027-05-06
M008,Aspirin,M008_B0008,2026-10-05
M008,Aspirin,M008_B0009,2027-09-07
M008,Aspirin,M008_B0010,2027-02-16
M008,Aspirin,M008_B0011,2027-02-20
M008,Aspirin,M008_B0012,2027-03-07
M008,Aspirin,M008_B0013,2027-10-04
M008,Aspirin,M008_B0014,2027-09-15
M008,Aspirin,M008_B0015,2027-08-13
M008,Aspirin,M008_B0016,2027-09-24
M008,Aspirin,M008_B0017,2027-04-15
M008,Aspirin,M008_B0018,2027-06-25
M008,Aspirin,M008_B0019,2027-03-24
M008,Aspirin,M008_B0020,2027-09-14
M008,Aspirin,M008_B0021,2028-03-18
M008,Aspirin,M008_B0022,2027-11-05
M008,Aspirin,M008_B0023,2027-10-17
M008,Aspirin,M008_B0024,2028-03-14
M008,Aspirin,M008_B0025,2027-10-19
M008,Aspirin,M008_B0026,2028-06-18
M008,Aspirin,M008_B0027,2028-02-13
M008,Aspirin,M008_B0028,2027-12-29
M008,Aspirin,M008_B0029,2028-06-09
M008,Aspirin,M008_B0030,2027-09-26
M008,Aspirin,M008_B0031,2028-02-23
M008,Aspirin,M008_B0032,2028-08-04
M008,Aspirin,M008_B0033,2028-06-24
M008,Aspirin,M008_B0034,2028-10-27
M008,Aspirin,M008_B0035,2028-06-22
M008,Aspirin,M008_B0036,2028-08-08
M008,Aspirin,M008_B0037,2028-03-30
M008,Aspirin,M008_B0038,2028-02-11
M008,Aspirin,M008_B0039,2028-10-04
M008,Aspirin,M008_B0040,2028-03-13
M008,Aspirin,M008_B0041,2028-10-02
M008,Aspirin,M008_B0042,2028-03-08
M008,Aspirin,M008_B0043,2029-02-01
M008,Aspirin,M008_B0044,2028-12-19
M008,Aspirin,M008_B0045,2029-04-12
M008,Aspirin,M008_B0046,2028-08-26
M008,Aspirin,M008_B0047,2029-02-06
M008,Aspirin,M008_B0048,2028-07-05
M008,Aspirin,M008_B0049,2028-06-11
M008,Aspirin,M008_B0050,2029-05-07
M008,Aspirin,M008_B0051,2029-02-13
M008,Aspirin,M008_B0052,2029-04-16
M008,Aspirin,M008_B0053,2029-07-21
M008,Aspirin,M008_B0054,2029-03-05
M008,Aspirin,M008_B0055,2029-02-19
M008,Aspirin,M008_B0056,2029-01-06
M008,Aspirin,M008_B0057,2029-02-10
M008,Aspirin,M008_B0058,2029-02-06
M008,Aspirin,M008_B0059,2029-06-22
M008,Aspirin,M008_B0060,2029-01-03
M008,Aspirin,M008_B0061,2029-06-26
M008,Aspirin,M008_B0062,2028-12-27
M008,Aspirin,M008_B0063,2029-09-27
M008,Aspirin,M008_B0064,2030-01-17
M008,Aspirin,M008_B0065,2029-03-13
M008,Aspirin,M008_B0066,2029-09-04
M008,Aspirin,M008_B0067,2029-03-24
M008,Aspirin,M008_B0068,2029-06-13
M008,Aspirin,M008_B0069,2029-10-21
M008,Aspirin,M008_B0070,2029-05-17
M008,Aspirin,M008_B0071,2030-01-25
M008,Aspirin,M008_B0072,2030-04-21
M008,Aspirin,M008_B0073,2030-01-13
M008,Aspirin,M008_B0074,2030-06-13
M008,Aspirin,M008_B0075,2030-06-14
M008,Aspirin,M008_B0076,2030-01-31
M008,Aspirin,M008_B0077,2030-01-26
M008,Aspirin,M008_B0078,2030-05-19
M008,Aspirin,M008_B0079,2029-12-23
M008,Aspirin,M008_B0080,2029-11-06
M008,Aspirin,M008_B0081,2030-09-16
M008,Aspirin,M008_B0082,2030-03-07
M008,Aspirin,M008_B0083,2030-06-19
M008,Aspirin,M008_B0084,2030-06-29
M008,Aspirin,M008_B0085,2030-09-14
M008,Aspirin,M008_B0086,2030-05-04
M008,Aspirin,M008_B0087,2030-09-10
M008,Aspirin,M008_B0088,2030-06-18
M008,Aspirin,M008_B0089,2030-05-15
M008,Aspirin,M008_B0090,2030-06-21
M008,Aspirin,M008_B0091,2030-09-12
M008,Aspirin,M008_B0092,2030-03-20
M008,Aspirin,M008_B0093,2031-01-19
M008,Aspirin,M008_B0094,2030-12-25
M008,Aspirin,M008_B0095,2031-01-20
M008,Aspirin,M008_B0096,2030-07-20
M008,Aspirin,M008_B0097,2030-08-27
M008,Aspirin,M008_B0098,2031-04-09
M008,Aspirin,M008_B0099,2030-09-29
M008,Aspirin,M008_B0100,2030-08-25
M008,Aspirin,M008_B0101,2031-06-18
M008,Aspirin,M008_B0102,2030-09-13
M008,Aspirin,M008_B0103,2030-09-25
M008,Aspirin,M008_B0104,2030-12-03
M008,Aspirin,M008_B0105,2030-11-20
M008,Aspirin,M008_B0106,2031-08-02
M008,Aspirin,M008_B0107,2031-09-08
M008,Aspirin,M008_B0108,2031-09-08
