Medicine_ID,Medicine,Batch_ID,Expiry_Date
M009,Metformin,M009_B0001,2026-09-30
M009,Metformin,M009_B0002,2026-10-12
M009,Metformin,M009_B0003,2027-02-28
M009,Metformin,M009_B0004,2027-05-14
M009,Metformin,M009_B0005,2027-01-15
M009,Metformin,M009_B0006,2026-09-30
M009,Metformin,M009_B0007,2026-10-29
M009,Metformin,M009_B0008,2027-08-03
M009,Metformin,M009_B0009,2026-10-21
M009,Metformin,M009_B0010,2027-03-06
M009,Metformin,M009_B0011,2027-07-14
M009,Metformin,M009_B0012,2027-01-29
M009,Metformin,M009_B0013,2027-02-16
M009,Metformin,M009_B0014,2027-10-01
M009,Metformin,M009_B0015,2027-06-05
M009,Metformin,M009_B0016,2027-03-22
M009,Metformin,M009_B0017,2027-05-19
M009,Metformin,M009_B0018,2027-11-30
M009,Metformin,M009_B0019,2028-03-11
M009,Metformin,M009_B0020,2027-06-09
M009,Metformin,M009_B0021,2028-02-17
M009,Metformin,M009_B0022,2027-05-31
M009,Metformin,M009_B0023,2028-03-21
M009,Metformin,M009_B0024,2027-06-22
M009,Metformin,M009_B0025,2027-08-23
M009,Metformin,M009_B0026,2028-06-30
M009,Metformin,M009_B0027,2028-03-16
M009,Metformin,M009_B0028,2028-02-16
M009,Metformin,M009_B0029,2027-12-02
M009,Metformin,M009_B0030,2028-07-09
M009,Metformin,M009_B0031,2028-06-18
M009,Metformin,M009_B0032,2028-02-08
M009,Metformin,M009_B0033,2028-10-05
M009,Metformin,M009_B0034,2028-04-03
M009,Metformin,M009_B0035,2028-01-08
M009,Metformin,M009_B0036,2028-10-26
M009,Metformin,M009_B0037,2028-01-17
M009,Metformin,M009_B0038,2028-04-12
M009,Metformin,M009_B0039,2028-10-30
M009,Metformin,M009_B0040,2028-08-12
M009,Metformin,M009_B0041,2028-12-18
M009,Metformin,M009_B0042,2028-04-13
M009,Metformin,M009_B0043,2029-01-05
M009,Metformin,M009_B0044,2029-01-01
M009,Metformin,M009_B0045,2028-11-10
M009,Metformin,M009_B0046,2028-06-23
M009,Metformin,M009_B0047,2028-07-13
M009,Metformin,M009_B0048,2028-10-04
M009,Metformin,M009_B0049,2028-07-24
M009,Metformin,M009_B0050,2028-10-26
M009,Metformin,M009_B0051,2029-04-25
M009,Metformin,M009_B0052,2028-10-03
M009,Metformin,M009_B0053,2029-06-09
M009,Metformin,M009_B0054,2028-12-08
M009,Metformin,M009_B0055,2028-10-02
M009,Metformin,M009_B0056,2028-12-30
M009,Metformin,M009_B0057,2029-07-11
M009,Metformin,M009_B0058,2029-07-19
M009,Metformin,M009_B0059,2029-09-07
M009,Metformin,M009_B0060,2029-09-22
M009,Metformin,M009_B0061,2029-01-17
M009,Metformin,M009_B0062,2029-02-16
M009,Metformin,M009_B0063,2029-10-15
M009,Metformin,M009_B0064,2029-06-30
M009,Metformin,M009_B0065,2029-05-20
M009,Metformin,M009_B0066,2029-07-14
M009,Metformin,M009_B0067,2029-11-27
M009,Metformin,M009_B0068,2029-05-03
M009,Metformin,M009_B0069,2029-07-04
M009,Metformin,M009_B0070,2029-07-13
M009,Metformin,M009_B0071,2030-01-18
M009,Metformin,M009_B0072,2029-09-27
M009,Metformin,M009_B0073,2030-05-25
M009,Metformin,M009_B0074,2030-04-11
M009,Metformin,M009_B0075,2029-07-25
M009,Metformin,M009_B0076,2029-11-19
M009,Metformin,M009_B0077,2029-08-31
M009,Metformin,M009_B0078,2029-09-18
M009,Metformin,M009_B0079,2030-01-10
M009,Metformin,M009_B0080,2029-12-29
M009,Metformin,M009_B0081,2029-11-22
M009,Metformin,M009_B0082,2029-10-29
M009,Metformin,M009_B0083,2030-02-27
M009,Metformin,M009_B0084,2029-12-12
M009,Metformin,M009_B0085,2030-01-31
M009,Metformin,M009_B0086,2030-02-26
M009,Metformin,M009_B0087,2030-08-13
M009,Metformin,M009_B0088,2031-01-10
M009,Metformin,M009_B0089,2030-10-01
M009,Metformin,M009_B0090,2030-04-23
M009,Metformin,M009_B0091,2030-04-21
M009,Metformin,M009_B0092,2030-08-31
M009,Metformin,M009_B0093,2031-02-12
