Medicine_ID,Medicine,Batch_ID,Expiry_Date
M010,Atorvastatin,M010_B001,2031-06-24
M010,Atorvastatin,M010_B002,2031-05-11
M010,Atorvastatin,M010_B003,2031-05-10
M010,Atorvastatin,M010_B004,2031-04-12
M010,Atorvastatin,M010_B005,2031-01-09
M010,Atorvastatin,M010_B006,2031-01-09
M010,Atorvastatin,M010_B007,2030-12-16
M010,Atorvastatin,M010_B008,2030-11-16
M010,Atorvastatin,M010_B009,2030-10-14
M010,Atorvastatin,M010_B010,2030-09-23
M010,Atorvastatin,M010_B011,2030-09-11
M010,Atorvastatin,M010_B012,2030-09-07
M010,Atorvastatin,M010_B013,2030-08-18
M010,Atorvastatin,M010_B014,2030-08-01
M010,Atorvastatin,M010_B015,2030-07-05
M010,Atorvastatin,M010_B016,2030-07-04
M010,Atorvastatin,M010_B017,2030-06-11
M010,Atorvastatin,M010_B018,2030-06-10
M010,Atorvastatin,M010_B019,2030-06-06
M010,Atorvastatin,M010_B020,2030-06-01
M010,Atorvastatin,M010_B021,2030-05-26
M010,Atorvastatin,M010_B022,2030-05-24
M010,Atorvastatin,M010_B023,2030-05-18
M010,Atorvastatin,M010_B024,2030-05-06
M010,Atorvastatin,M010_B025,2030-05-05
M010,Atorvastatin,M010_B026,2030-05-03
M010,Atorvastatin,M010_B027,2030-04-28
M010,Atorvastatin,M010_B028,2030-04-17
M010,Atorvastatin,M010_B029,2030-04-08
M010,Atorvastatin,M010_B030,2030-03-25
