Medicine_ID,Medicine,Batch_ID,Expiry_Date
M013,Cephalexin 500mg,M013_B0077,2026-10-01
M013,Cephalexin 500mg,M013_B0081,2026-11-04
M013,Cephalexin 500mg,M013_B0076,2026-11-15
M013,Cephalexin 500mg,M013_B0059,2026-12-27
M013,Cephalexin 500mg,M013_B0012,2027-01-23
M013,Cephalexin 500mg,M013_B0034,2027-02-16
M013,Cephalexin 500mg,M013_B0021,2027-02-26
M013,Cephalexin 500mg,M013_B0029,2027-02-27
M013,Cephalexin 500mg,M013_B0096,2027-02-28
M013,Cephalexin 500mg,M013_B0093,2027-03-07
M013,Cephalexin 500mg,M013_B0015,2027-03-30
M013,Cephalexin 500mg,M013_B0022,2027-04-04
M013,Cephalexin 500mg,M013_B0071,2027-05-04
M013,Cephalexin 500mg,M013_B0103,2027-05-09
M013,Cephalexin 500mg,M013_B0050,2027-05-28
M013,Cephalexin 500mg,M013_B0088,2027-07-03
M013,Cephalexin 500mg,M013_B0013,2027-07-30
M013,Cephalexin 500mg,M013_B0101,2027-08-16
M013,Cephalexin 500mg,M013_B0107,2027-09-10
M013,Cephalexin 500mg,M013_B0036,2027-09-23
M013,Cephalexin 500mg,M013_B0068,2027-10-30
M013,Cephalexin 500mg,M013_B0105,2027-11-02
M013,Cephalexin 500mg,M013_B0092,2027-12-18
M013,Cephalexin 500mg,M013_B0047,2027-12-25
M013,Cephalexin 500mg,M013_B0044,2028-01-24
M013,Cephalexin 500mg,M013_B0004,2028-02-13
M013,Cephalexin 500mg,M013_B0074,2028-03-08
M013,Cephalexin 500mg,M013_B0078,2028-03-27
M013,Cephalexin 500mg,M013_B0057,2028-04-11
M013,Cephalexin 500mg,M013_B0091,2028-05-01
M013,Cephalexin 500mg,M013_B0058,2028-05-08
M013,Cephalexin 500mg,M013_B0049,2028-05-18
M013,Cephalexin 500mg,M013_B0100,2028-05-30
M013,Cephalexin 500mg,M013_B0039,2028-06-21
M013,Cephalexin 500mg,M013_B0052,2028-06-24
M013,Cephalexin 500mg,M013_B0025,2028-07-03
M013,Cephalexin 500mg,M013_B0011,2028-07-06
M013,Cephalexin 500mg,M013_B0041,2028-08-01
M013,Cephalexin 500mg,M013_B0090,2028-08-03
M013,Cephalexin 500mg,M013_B0024,2028-11-01
M013,Cephalexin 500mg,M013_B0030,2028-11-30
M013,Cephalexin 500mg,M013_B0001,2028-12-07
M013,Cephalexin 500mg,M013_B0064,2028-12-22
M013,Cephalexin 500mg,M013_B0035,2029-01-04
M013,Cephalexin 500mg,M013_B0040,2029-03-06
M013,Cephalexin 500mg,M013_B0055,2029-04-13
M013,Cephalexin 500mg,M013_B0073,2029-04-16
M013,Cephalexin 500mg,M013_B0054,2029-04-26
M013,Cephalexin 500mg,M013_B0087,2029-04-27
M013,Cephalexin 500mg,M013_B0102,2029-06-29
M013,Cephalexin 500mg,M013_B0005,2029-07-06
M013,Cephalexin 500mg,M013_B0056,2029-08-06
