Medicine_ID,Medicine,Batch_ID,Expiry_Date
M014,Insulin Lispro,M014_B0043,2026-10-04
M014,Insulin Lispro,M014_B0082,2026-10-08
M014,Insulin Lispro,M014_B0065,2026-10-14
M014,Insulin Lispro,M014_B0024,2026-11-28
M014,Insulin Lispro,M014_B0067,2027-02-01
M014,Insulin Lispro,M014_B0026,2027-03-12
M014,Insulin Lispro,M014_B0064,2027-04-08
M014,Insulin Lispro,M014_B0044,2027-04-13
M014,Insulin Lispro,M014_B0085,2027-04-15
M014,Insulin Lispro,M014_B0063,2027-04-16
M014,Insulin Lispro,M014_B0053,2027-04-30
M014,Insulin Lispro,M014_B0081,2027-05-09
M014,Insulin Lispro,M014_B0027,2027-07-03
M014,Insulin Lispro,M014_B0054,2027-07-17
M014,Insulin Lispro,M014_B0016,2027-07-20
M014,Insulin Lispro,M014_B0084,2027-08-05
M014,Insulin Lispro,M014_B0083,2027-09-02
M014,Insulin Lispro,M014_B0089,2027-09-25
M014,Insulin Lispro,M014_B0051,2027-10-07
M014,Insulin Lispro,M014_B0005,2027-11-07
M014,Insulin Lispro,M014_B0011,2027-11-24
M014,Insulin Lispro,M014_B0002,2027-12-07
M014,Insulin Lispro,M014_B0079,2027-12-13
M014,Insulin Lispro,M014_B0023,2028-02-09
M014,Insulin Lispro,M014_B0042,2028-02-15
M014,Insulin Lispro,M014_B0094,2028-02-25
M014,Insulin Lispro,M014_B0052,2028-03-12
M014,Insulin Lispro,M014_B0009,2028-04-09
M014,Insulin Lispro,M014_B0108,2028-04-22
M014,Insulin Lispro,M014_B0008,2028-06-26
M014,Insulin Lispro,M014_B0025,2028-07-23
M014,Insulin Lispro,M014_B0061,2028-09-04
M014,Insulin Lispro,M014_B0036,2028-09-20
M014,Insulin Lispro,M014_B0058,2028-10-13
M014,Insulin Lispro,M014_B0087,2028-10-16
M014,Insulin Lispro,M014_B0019,2028-11-04
M014,Insulin Lispro,M014_B0072,2028-11-27
M014,Insulin Lispro,M014_B0057,2028-12-08
M014,Insulin Lispro,M014_B0037,2028-12-18
M014,Insulin Lispro,M014_B0097,2029-01-09
M014,Insulin Lispro,M014_B0062,2029-02-05
M014,Insulin Lispro,M014_B0017,2029-02-20
M014,Insulin Lispro,M014_B0033,2029-03-07
M014,Insulin Lispro,M014_B0106,2029-03-20
M014,Insulin Lispro,M014_B0007,2029-04-01
M014,Insulin Lispro,M014_B0074,2029-04-04
M014,Insulin Lispro,M014_B0088,2029-04-04
M014,Insulin Lispro,M014_B0059,2029-04-19
M014,Insulin Lispro,M014_B0028,2029-04-24
M014,Insulin Lispro,M014_B0078,2029-05-15
M014,Insulin Lispro,M014_B0048,2029-06-10
M014,Insulin Lispro,M014_B0076,2029-07-12
M014,Insulin Lispro,M014_B0090,2029-07-20
M014,Insulin Lispro,M014_B0047,2029-08-04
M014,Insulin Lispro,M014_B0095,2029-08-14
M014,Insulin Lispro,M014_B0070,2029-08-25
M014,Insulin Lispro,M014_B0014,2029-08-26
M014,Insulin Lispro,M014_B0102,2029-09-03
M014,Insulin Lispro,M014_B0021,2029-10-08
M014,Insulin Lispro,M014_B0077,2029-10-26
M014,Insulin Lispro,M014_B0049,2030-02-11
M014,Insulin Lispro,M014_B0003,2030-02-15
M014,Insulin Lispro,M014_B0050,2030-02-28
M014,Insulin Lispro,M014_B0099,2030-03-17
M014,Insulin Lispro,M014_B0040,2030-03-18
M014,Insulin Lispro,M014_B0066,2030-05-21
M014,Insulin Lispro,M014_B0012,2030-05-27
M014,Insulin Lispro,M014_B0055,2030-05-30
M014,Insulin Lispro,M014_B0080,2030-07-10
M014,Insulin Lispro,M014_B0039,2030-07-11
M014,Insulin Lispro,M014_B0045,2030-07-21
M014,Insulin Lispro,M014_B0056,2030-07-21
M014,Insulin Lispro,M014_B0020,2030-08-09
M014,Insulin Lispro,M014_B0029,2030-08-11
M014,Insulin Lispro,M014_B0103,2030-08-29
M014,Insulin Lispro,M014_B0091,2030-08-31
M014,Insulin Lispro,M014_B0010,2030-10-19
M014,Insulin Lispro,M014_B0071,2030-11-28
M014,Insulin Lispro,M014_B0100,2031-01-16
M014,Insulin Lispro,M014_B0034,2031-01-19
M014,Insulin Lispro,M014_B0046,2031-03-02
M014,Insulin Lispro,M014_B0086,2031-03-20
M014,Insulin Lispro,M014_B0096,2031-04-06
M014,Insulin Lispro,M014_B0093,2031-04-28
M014,Insulin Lispro,M014_B0075,2031-06-18
M014,Insulin Lispro,M014_B0015,2031-07-27
M014,Insulin Lispro,M014_B0060,2031-07-27
M014,Insulin Lispro,M014_B0068,2031-08-01
M014,Insulin Lispro,M014_B0092,2031-09-13
M014,Insulin Lispro,M014_B0035,2031-09-30
M014,Insulin Lispro,M014_B0069,2031-10-07
M014,Insulin Lispro,M014_B0031,2031-10-08
M014,Insulin Lispro,M014_B0098,2031-10-10
M014,Insulin Lispro,M014_B0041,2031-10-14
M014,Insulin Lispro,M014_B0101,2031-11-15
M014,Insulin Lispro,M014_B0006,2031-12-07
M014,Insulin Lispro,M014_B0022,2032-03-09
M014,Insulin Lispro,M014_B0107,2032-03-17
M014,Insulin Lispro,M014_B0018,2032-04-01
M014,Insulin Lispro,M014_B0104,2032-04-01
M014,Insulin Lispro,M014_B0038,2032-05-03
M014,Insulin Lispro,M014_B0004,2032-05-29
M014,Insulin Lispro,M014_B0013,2032-06-17
M014,Insulin Lispro,M014_B0030,2032-06-26
M014,Insulin Lispro,M014_B0105,2032-07-31
M014,Insulin Lispro,M014_B0001,2032-08-06
M014,Insulin Lispro,M014_B0032,2032-08-22
M014,Insulin Lispro,M014_B0073,2032-10-06
