Medicine_ID,Medicine,Batch_ID,Expiry_Date
M015,Norepinephrine,M015_B0083,2026-10-07
M015,Norepinephrine,M015_B0053,2026-10-24
M015,Norepinephrine,M015_B0062,2027-01-14
M015,Norepinephrine,M015_B0031,2027-01-21
M015,Norepinephrine,M015_B0034,2027-02-19
M015,Norepinephrine,M015_B0017,2027-04-24
M015,Norepinephrine,M015_B0030,2027-05-08
M015,Norepinephrine,M015_B0036,2027-05-28
M015,Norepinephrine,M015_B0067,2027-06-23
M015,Norepinephrine,M015_B0092,2027-06-27
M015,Norepinephrine,M015_B0079,2027-09-20
M015,Norepinephrine,M015_B0081,2027-10-22
M015,Norepinephrine,M015_B0015,2027-10-31
M015,Norepinephrine,M015_B0026,2027-10-31
M015,Norepinephrine,M015_B0047,2027-11-04
M015,Norepinephrine,M015_B0085,2027-12-04
M015,Norepinephrine,M015_B0035,2027-12-13
M015,Norepinephrine,M015_B0066,2028-01-14
M015,Norepinephrine,M015_B0104,2028-01-26
M015,Norepinephrine,M015_B0046,2028-02-04
M015,Norepinephrine,M015_B0105,2028-02-06
M015,Norepinephrine,M015_B0048,2028-02-07
M015,Norepinephrine,M015_B0022,2028-02-14
M015,Norepinephrine,M015_B0087,2028-04-21
M015,Norepinephrine,M015_B0054,2028-05-19
M015,Norepinephrine,M015_B0059,2028-06-07
M015,Norepinephrine,M015_B0106,2028-06-25
M015,Norepinephrine,M015_B0050,2028-09-06
M015,Norepinephrine,M015_B0013,2028-09-13
M015,Norepinephrine,M015_B0024,2028-09-21
M015,Norepinephrine,M015_B0088,2028-10-26
M015,Norepinephrine,M015_B0094,2028-10-28
M015,Norepinephrine,M015_B0061,2028-10-29
M015,Norepinephrine,M015_B0101,2028-11-10
M015,Norepinephrine,M015_B0073,2028-11-14
M015,Norepinephrine,M015_B0052,2028-11-26
M015,Norepinephrine,M015_B0020,2028-12-01
M015,Norepinephrine,M015_B0068,2028-12-04
M015,Norepinephrine,M015_B0011,2029-01-09
M015,Norepinephrine,M015_B0051,2029-01-13
M015,Norepinephrine,M015_B0002,2029-03-02
M015,Norepinephrine,M015_B0057,2029-03-02
M015,Norepinephrine,M015_B0033,2029-03-10
M015,Norepinephrine,M015_B0029,2029-05-06
M015,Norepinephrine,M015_B0040,2029-05-06
M015,Norepinephrine,M015_B0042,2029-06-15
M015,Norepinephrine,M015_B0043,2029-08-27
M015,Norepinephrine,M015_B0012,2029-08-31
M015,Norepinephrine,M015_B0103,2029-09-02
M015,Norepinephrine,M015_B0004,2029-09-17
M015,Norepinephrine,M015_B0065,2029-09-21
M015,Norepinephrine,M015_B0077,2029-10-09
M015,Norepinephrine,M015_B0014,2029-12-22
M015,Norepinephrine,M015_B0075,2029-12-27
M015,Norepinephrine,M015_B0071,2030-01-16
M015,Norepinephrine,M015_B0007,2030-01-18
M015,Norepinephrine,M015_B0108,2030-01-19
M015,Norepinephrine,M015_B0018,2030-01-24
M015,Norepinephrine,M015_B0060,2030-01-25
M015,Norepinephrine,M015_B0016,2030-01-31
M015,Norepinephrine,M015_B0008,2030-02-12
M015,Norepinephrine,M015_B0009,2030-03-02
M015,Norepinephrine,M015_B0041,2030-03-12
M015,Norepinephrine,M015_B0037,2030-04-17
M015,Norepinephrine,M015_B0098,2030-05-06
M015,Norepinephrine,M015_B0074,2030-05-20
M015,Norepinephrine,M015_B0044,2030-06-21
M015,Norepinephrine,M015_B0082,2030-07-06
M015,Norepinephrine,M015_B0064,2030-07-19
M015,Norepinephrine,M015_B0058,2030-08-13
M015,Norepinephrine,M015_B0091,2030-08-27
M015,Norepinephrine,M015_B0086,2030-09-22
M015,Norepinephrine,M015_B0010,2030-10-06
M015,Norepinephrine,M015_B0070,2030-10-31
M015,Norepinephrine,M015_B0063,2030-11-12
M015,Norepinephrine,M015_B0001,2030-12-06
M015,Norepinephrine,M015_B0097,2031-01-16
M015,Norepinephrine,M015_B0076,2031-01-20
M015,Norepinephrine,M015_B0025,2031-02-17
M015,Norepinephrine,M015_B0045,2031-02-28
M015,Norepinephrine,M015_B0093,2031-03-23
M015,Norepinephrine,M015_B0023,2031-03-31
M015,Norepinephrine,M015_B0080,2031-04-10
M015,Norepinephrine,M015_B0072,2031-04-18
M015,Norepinephrine,M015_B0003,2031-06-09
M015,Norepinephrine,M015_B0019,2031-07-20
M015,Norepinephrine,M015_B0089,2031-08-10
M015,Norepinephrine,M015_B0100,2031-08-24
M015,Norepinephrine,M015_B0005,2031-09-05
M015,Norepinephrine,M015_B0021,2031-10-12
M015,Norepinephrine,M015_B0099,2031-10-21
M015,Norepinephrine,M015_B0049,2031-11-30
M015,Norepinephrine,M015_B0028,2031-12-01
M015,Norepinephrine,M015_B0027,2031-12-04
M015,Norepinephrine,M015_B0090,2031-12-22
M015,Norepinephrine,M015_B0096,2032-01-19
M015,Norepinephrine,M015_B0095,2032-02-20
M015,Norepinephrine,M015_B0102,2032-02-29
M015,Norepinephrine,M015_B0038,2032-04-07
M015,Norepinephrine,M015_B0107,2032-04-11
M015,Norepinephrine,M015_B0032,2032-04-14
M015,Norepinephrine,M015_B0084,2032-05-06
M015,Norepinephrine,M015_B0056,2032-06-10
M015,Norepinephrine,M015_B0006,2032-08-07
M015,Norepinephrine,M015_B0039,2032-08-09
M015,Norepinephrine,M015_B0069,2032-09-13
M015,Norepinephrine,M015_B0078,2032-09-18
M015,Norepinephrine,M015_B0055,2032-09-20
