Medicine_ID,Medicine,Batch_ID,Expiry_Date
M016,Terbutaline Inhaler,M016_B0008,2026-10-01
M016,Terbutaline Inhaler,M016_B0027,2026-10-04
M016,Terbutaline Inhaler,M016_B0010,2026-10-28
M016,Terbutaline Inhaler,M016_B0051,2026-10-30
M016,Terbutaline Inhaler,M016_B0078,2026-11-11
M016,Terbutaline Inhaler,M016_B0096,2026-11-27
M016,Terbutaline Inhaler,M016_B0005,2026-11-28
M016,Terbutaline Inhaler,M016_B0046,2026-12-09
M016,Terbutaline Inhaler,M016_B0102,2027-01-18
M016,Terbutaline Inhaler,M016_B0068,2027-01-20
M016,Terbutaline Inhaler,M016_B0034,2027-02-09
M016,Terbutaline Inhaler,M016_B0029,2027-03-05
M016,Terbutaline Inhaler,M016_B0079,2027-03-16
M016,Terbutaline Inhaler,M016_B0007,2027-03-18
M016,Terbutaline Inhaler,M016_B0031,2027-04-18
M016,Terbutaline Inhaler,M016_B0011,2027-05-02
M016,Terbutaline Inhaler,M016_B0058,2027-05-09
M016,Terbutaline Inhaler,M016_B0073,2027-05-22
M016,Terbutaline Inhaler,M016_B0074,2027-05-23
M016,Terbutaline Inhaler,M016_B0025,2027-06-04
M016,Terbutaline Inhaler,M016_B0047,2027-06-06
M016,Terbutaline Inhaler,M016_B0036,2027-06-26
M016,Terbutaline Inhaler,M016_B0009,2027-07-03
M016,Terbutaline Inhaler,M016_B0086,2027-07-17
M016,Terbutaline Inhaler,M016_B0030,2027-08-02
M016,Terbutaline Inhaler,M016_B0062,2027-08-11
M016,Terbutaline Inhaler,M016_B0056,2027-11-02
M016,Terbutaline Inhaler,M016_B0087,2027-11-18
M016,Terbutaline Inhaler,M016_B0057,2028-01-01
M016,Terbutaline Inhaler,M016_B0075,2028-01-14
M016,Terbutaline Inhaler,M016_B0004,2028-01-24
M016,Terbutaline Inhaler,M016_B0043,2028-02-07
M016,Terbutaline Inhaler,M016_B0017,2028-02-18
M016,Terbutaline Inhaler,M016_B0020,2028-02-24
M016,Terbutaline Inhaler,M016_B0097,2028-03-11
M016,Terbutaline Inhaler,M016_B0024,2028-03-22
M016,Terbutaline Inhaler,M016_B0088,2028-04-08
M016,Terbutaline Inhaler,M016_B0049,2028-04-18
M016,Terbutaline Inhaler,M016_B0018,2028-05-18
M016,Terbutaline Inhaler,M016_B0080,2028-06-19
M016,Terbutaline Inhaler,M016_B0098,2028-06-24
M016,Terbutaline Inhaler,M016_B0061,2028-08-20
M016,Terbutaline Inhaler,M016_B0069,2028-08-22
M016,Terbutaline Inhaler,M016_B0001,2028-08-24
M016,Terbutaline Inhaler,M016_B0104,2028-09-05
M016,Terbutaline Inhaler,M016_B0084,2028-09-10
M016,Terbutaline Inhaler,M016_B0033,2028-09-16
M016,Terbutaline Inhaler,M016_B0054,2028-10-13
M016,Terbutaline Inhaler,M016_B0065,2028-11-15
M016,Terbutaline Inhaler,M016_B0092,2028-12-19
M016,Terbutaline Inhaler,M016_B0091,2028-12-25
M016,Terbutaline Inhaler,M016_B0023,2029-02-19
M016,Terbutaline Inhaler,M016_B0038,2029-03-14
M016,Terbutaline Inhaler,M016_B0039,2029-04-14
M016,Terbutaline Inhaler,M016_B0071,2029-07-14
M016,Terbutaline Inhaler,M016_B0045,2029-08-12
M016,Terbutaline Inhaler,M016_B0028,2029-09-01
M016,Terbutaline Inhaler,M016_B0060,2029-10-07
M016,Terbutaline Inhaler,M016_B0090,2029-10-25
M016,Terbutaline Inhaler,M016_B0042,2029-11-12
M016,Terbutaline Inhaler,M016_B0093,2029-11-19
M016,Terbutaline Inhaler,M016_B0083,2029-12-15
M016,Terbutaline Inhaler,M016_B0082,2030-02-18
M016,Terbutaline Inhaler,M016_B0070,2030-02-19
M016,Terbutaline Inhaler,M016_B0100,2030-02-22
M016,Terbutaline Inhaler,M016_B0006,2030-03-20
M016,Terbutaline Inhaler,M016_B0014,2030-03-21
M016,Terbutaline Inhaler,M016_B0077,2030-04-10
M016,Terbutaline Inhaler,M016_B0037,2030-05-15
M016,Terbutaline Inhaler,M016_B0101,2030-05-21
M016,Terbutaline Inhaler,M016_B0067,2030-05-28
M016,Terbutaline Inhaler,M016_B0015,2030-06-01
M016,Terbutaline Inhaler,M016_B0048,2030-07-07
M016,Terbutaline Inhaler,M016_B0066,2030-09-01
M016,Terbutaline Inhaler,M016_B0040,2030-09-27
M016,Terbutaline Inhaler,M016_B0050,2030-10-07
M016,Terbutaline Inhaler,M016_B0085,2030-12-11
M016,Terbutaline Inhaler,M016_B0081,2030-12-13
M016,Terbutaline Inhaler,M016_B0089,2030-12-16
M016,Terbutaline Inhaler,M016_B0106,2030-12-21
M016,Terbutaline Inhaler,M016_B0013,2030-12-22
M016,Terbutaline Inhaler,M016_B0016,2031-01-20
M016,Terbutaline Inhaler,M016_B0003,2031-02-01
M016,Terbutaline Inhaler,M016_B0072,2031-02-09
M016,Terbutaline Inhaler,M016_B0108,2031-02-10
M016,Terbutaline Inhaler,M016_B0064,2031-02-21
M016,Terbutaline Inhaler,M016_B0059,2031-02-24
M016,Terbutaline Inhaler,M016_B0103,2031-03-02
M016,Terbutaline Inhaler,M016_B0032,2031-03-04
M016,Terbutaline Inhaler,M016_B0107,2031-03-05
M016,Terbutaline Inhaler,M016_B0035,2031-03-22
M016,Terbutaline Inhaler,M016_B0099,2031-05-24
M016,Terbutaline Inhaler,M016_B0012,2031-07-09
M016,Terbutaline Inhaler,M016_B0021,2031-07-24
M016,Terbutaline Inhaler,M016_B0019,2031-09-05
M016,Terbutaline Inhaler,M016_B0002,2031-09-23
M016,Terbutaline Inhaler,M016_B0052,2031-10-05
