Medicine_ID,Medicine,Batch_ID,Expiry_Date
M017,Fentanyl Patch,M017_B0013,2026-10-24
M017,Fentanyl Patch,M017_B0033,2026-11-02
M017,Fentanyl Patch,M017_B0022,2026-12-17
M017,Fentanyl Patch,M017_B0063,2026-12-28
M017,Fentanyl Patch,M017_B0056,2027-01-01
M017,Fentanyl Patch,M017_B0088,2027-01-02
M017,Fentanyl Patch,M017_B0030,2027-02-18
M017,Fentanyl Patch,M017_B0027,2027-03-17
M017,Fentanyl Patch,M017_B0041,2027-05-14
M017,Fentanyl Patch,M017_B0104,2027-06-27
M017,Fentanyl Patch,M017_B0101,2027-07-11
M017,Fentanyl Patch,M017_B0077,2027-07-15
M017,Fentanyl Patch,M017_B0103,2027-07-29
M017,Fentanyl Patch,M017_B0067,2027-09-03
M017,Fentanyl Patch,M017_B0084,2027-09-22
M017,Fentanyl Patch,M017_B0044,2027-10-22
M017,Fentanyl Patch,M017_B0009,2027-10-27
M017,Fentanyl Patch,M017_B0060,2027-11-01
M017,Fentanyl Patch,M017_B0014,2027-12-21
M017,Fentanyl Patch,M017_B0073,2027-12-26
M017,Fentanyl Patch,M017_B0098,2027-12-29
M017,Fentanyl Patch,M017_B0083,2028-01-03
M017,Fentanyl Patch,M017_B0028,2028-01-11
M017,Fentanyl Patch,M017_B0002,2028-01-13
M017,Fentanyl Patch,M017_B0102,2028-03-27
M017,Fentanyl Patch,M017_B0003,2028-03-31
M017,Fentanyl Patch,M017_B0055,2028-04-01
M017,Fentanyl Patch,M017_B0105,2028-04-30
M017,Fentanyl Patch,M017_B0072,2028-05-14
M017,Fentanyl Patch,M017_B0054,2028-06-10
M017,Fentanyl Patch,M017_B0085,2028-09-02
M017,Fentanyl Patch,M017_B0029,2028-10-17
M017,Fentanyl Patch,M017_B0042,2028-10-21
M017,Fentanyl Patch,M017_B0045,2028-11-07
M017,Fentanyl Patch,M017_B0001,2028-11-12
M017,Fentanyl Patch,M017_B0038,2028-11-16
M017,Fentanyl Patch,M017_B0069,2028-12-27
M017,Fentanyl Patch,M017_B0079,2029-01-21
M017,Fentanyl Patch,M017_B0035,2029-01-23
M017,Fentanyl Patch,M017_B0026,2029-01-31
M017,Fentanyl Patch,M017_B0040,2029-03-04
M017,Fentanyl Patch,M017_B0016,2029-04-21
M017,Fentanyl Patch,M017_B0074,2029-04-25
M017,Fentanyl Patch,M017_B0092,2029-05-08
M017,Fentanyl Patch,M017_B0053,2029-06-01
M017,Fentanyl Patch,M017_B0017,2029-06-03
M017,Fentanyl Patch,M017_B0064,2029-06-05
M017,Fentanyl Patch,M017_B0061,2029-06-15
M017,Fentanyl Patch,M017_B0010,2029-06-25
M017,Fentanyl Patch,M017_B0048,2029-06-25
M017,Fentanyl Patch,M017_B0066,2029-07-05
M017,Fentanyl Patch,M017_B0094,2029-07-20
M017,Fentanyl Patch,M017_B0036,2029-07-22
M017,Fentanyl Patch,M017_B0059,2029-08-13
M017,Fentanyl Patch,M017_B0062,2029-09-09
M017,Fentanyl Patch,M017_B0099,2029-11-01
M017,Fentanyl Patch,M017_B0057,2029-12-08
M017,Fentanyl Patch,M017_B0015,2030-01-01
M017,Fentanyl Patch,M017_B0004,2030-01-13
M017,Fentanyl Patch,M017_B0025,2030-03-12
M017,Fentanyl Patch,M017_B0034,2030-04-21
M017,Fentanyl Patch,M017_B0032,2030-04-26
M017,Fentanyl Patch,M017_B0107,2030-04-27
M017,Fentanyl Patch,M017_B0087,2030-05-18
M017,Fentanyl Patch,M017_B0106,2030-05-18
M017,Fentanyl Patch,M017_B0086,2030-06-08
M017,Fentanyl Patch,M017_B0091,2030-08-02
M017,Fentanyl Patch,M017_B0108,2030-08-10
M017,Fentanyl Patch,M017_B0047,2030-08-19
M017,Fentanyl Patch,M017_B0011,2030-09-04
M017,Fentanyl Patch,M017_B0081,2030-09-29
M017,Fentanyl Patch,M017_B0050,2030-11-04
M017,Fentanyl Patch,M017_B0080,2030-12-02
M017,Fentanyl Patch,M017_B0078,2030-12-16
