Medicine_ID,Medicine,Batch_ID,Expiry_Date
M018,Clopidogrel 75mg,M018_B0091,2026-11-05
M018,Clopidogrel 75mg,M018_B0081,2026-11-10
M018,Clopidogrel 75mg,M018_B0008,2026-11-18
M018,Clopidogrel 75mg,M018_B0039,2026-11-30
M018,Clopidogrel 75mg,M018_B0026,2026-12-08
M018,Clopidogrel 75mg,M018_B0029,2027-01-12
M018,Clopidogrel 75mg,M018_B0107,2027-02-05
M018,Clopidogrel 75mg,M018_B0060,2027-02-15
M018,Clopidogrel 75mg,M018_B0058,2027-02-25
M018,Clopidogrel 75mg,M018_B0070,2027-03-06
M018,Clopidogrel 75mg,M018_B0009,2027-03-19
M018,Clopidogrel 75mg,M018_B0032,2027-03-23
M018,Clopidogrel 75mg,M018_B0083,2027-04-21
M018,Clopidogrel 75mg,M018_B0096,2027-05-04
M018,Clopidogrel 75mg,M018_B0020,2027-05-07
M018,Clopidogrel 75mg,M018_B0089,2027-05-09
M018,Clopidogrel 75mg,M018_B0001,2027-06-06
M018,Clopidogrel 75mg,M018_B0049,2027-06-19
M018,Clopidogrel 75mg,M018_B0069,2027-06-30
M018,Clopidogrel 75mg,M018_B0066,2027-07-25
M018,Clopidogrel 75mg,M018_B0019,2027-07-30
M018,Clopidogrel 75mg,M018_B0003,2027-08-09
M018,Clopidogrel 75mg,M018_B0095,2027-10-18
M018,Clopidogrel 75mg,M018_B0104,2027-10-29
M018,Clopidogrel 75mg,M018_B0097,2027-10-31
M018,Clopidogrel 75mg,M018_B0021,2027-11-11
M018,Clopidogrel 75mg,M018_B0087,2027-12-26
M018,Clopidogrel 75mg,M018_B0064,2027-12-27
M018,Clopidogrel 75mg,M018_B0076,2028-01-24
M018,Clopidogrel 75mg,M018_B0082,2028-03-21
M018,Clopidogrel 75mg,M018_B0045,2028-04-07
M018,Clopidogrel 75mg,M018_B0072,2028-05-16
M018,Clopidogrel 75mg,M018_B0059,2028-05-31
M018,Clopidogrel 75mg,M018_B0004,2028-06-22
M018,Clopidogrel 75mg,M018_B0086,2028-08-01
M018,Clopidogrel 75mg,M018_B0013,2028-08-04
M018,Clopidogrel 75mg,M018_B0100,2028-08-21
M018,Clopidogrel 75mg,M018_B0053,2028-08-29
M018,Clopidogrel 75mg,M018_B0103,2028-09-05
M018,Clopidogrel 75mg,M018_B0093,2028-10-20
M018,Clopidogrel 75mg,M018_B0040,2028-10-31
M018,Clopidogrel 75mg,M018_B0057,2028-11-01
M018,Clopidogrel 75mg,M018_B0016,2028-11-20
M018,Clopidogrel 75mg,M018_B0108,2028-12-08
M018,Clopidogrel 75mg,M018_B0046,2028-12-22
M018,Clopidogrel 75mg,M018_B0035,2029-02-06
M018,Clopidogrel 75mg,M018_B0079,2029-02-17
M018,Clopidogrel 75mg,M018_B0022,2029-02-19
M018,Clopidogrel 75mg,M018_B0101,2029-03-09
M018,Clopidogrel 75mg,M018_B0062,2029-06-07
M018,Clopidogrel 75mg,M018_B0007,2029-06-09
M018,Clopidogrel 75mg,M018_B0006,2029-06-20
M018,Clopidogrel 75mg,M018_B0088,2029-07-19
M018,Clopidogrel 75mg,M018_B0074,2029-09-02
M018,Clopidogrel 75mg,M018_B0071,2029-09-10
M018,Clopidogrel 75mg,M018_B0105,2029-09-10
M018,Clopidogrel 75mg,M018_B0068,2029-09-17
M018,Clopidogrel 75mg,M018_B0036,2029-09-20
M018,Clopidogrel 75mg,M018_B0010,2029-10-04
M018,Clopidogrel 75mg,M018_B0073,2029-10-04
M018,Clopidogrel 75mg,M018_B0094,2029-11-25
M018,Clopidogrel 75mg,M018_B0018,2029-12-27
M018,Clopidogrel 75mg,M018_B0102,2030-01-24
M018,Clopidogrel 75mg,M018_B0078,2030-02-08
M018,Clopidogrel 75mg,M018_B0017,2030-02-18
M018,Clopidogrel 75mg,M018_B0030,2030-02-20
M018,Clopidogrel 75mg,M018_B0041,2030-03-24
M018,Clopidogrel 75mg,M018_B0065,2030-04-01
M018,Clopidogrel 75mg,M018_B0098,2030-04-10
M018,Clopidogrel 75mg,M018_B0050,2030-04-11
M018,Clopidogrel 75mg,M018_B0099,2030-04-13
M018,Clopidogrel 75mg,M018_B0025,2030-04-17
M018,Clopidogrel 75mg,M018_B0061,2030-05-20
M018,Clopidogrel 75mg,M018_B0038,2030-06-19
M018,Clopidogrel 75mg,M018_B0002,2030-08-08
M018,Clopidogrel 75mg,M018_B0084,2030-08-20
M018,Clopidogrel 75mg,M018_B0054,2030-08-24
M018,Clopidogrel 75mg,M018_B0067,2030-09-10
M018,Clopidogrel 75mg,M018_B0055,2030-11-04
M018,Clopidogrel 75mg,M018_B0042,2030-12-06
M018,Clopidogrel 75mg,M018_B0031,2030-12-10
M018,Clopidogrel 75mg,M018_B0027,2031-01-26
M018,Clopidogrel 75mg,M018_B0028,2031-02-08
M018,Clopidogrel 75mg,M018_B0044,2031-02-20
M018,Clopidogrel 75mg,M018_B0080,2031-03-08
M018,Clopidogrel 75mg,M018_B0043,2031-03-27
M018,Clopidogrel 75mg,M018_B0063,2031-04-11
M018,Clopidogrel 75mg,M018_B0012,2031-05-13
M018,Clopidogrel 75mg,M018_B0047,2031-05-23
M018,Clopidogrel 75mg,M018_B0037,2031-06-20
M018,Clopidogrel 75mg,M018_B0014,2031-06-30
M018,Clopidogrel 75mg,M018_B0033,2031-07-25
M018,Clopidogrel 75mg,M018_B0051,2031-08-18
M018,Clopidogrel 75mg,M018_B0052,2031-08-28
M018,Clopidogrel 75mg,M018_B0023,2031-09-23
M018,Clopidogrel 75mg,M018_B0024,2031-10-03
M018,Clopidogrel 75mg,M018_B0077,2031-10-10
M018,Clopidogrel 75mg,M018_B0106,2031-10-20
M018,Clopidogrel 75mg,M018_B0075,2031-11-06
M018,Clopidogrel 75mg,M018_B0034,2031-11-26
M018,Clopidogrel 75mg,M018_B0056,2032-01-05
M018,Clopidogrel 75mg,M018_B0015,2032-01-10
M018,Clopidogrel 75mg,M018_B0011,2032-02-19
M018,Clopidogrel 75mg,M018_B0090,2032-02-21
M018,Clopidogrel 75mg,M018_B0048,2032-02-24
M018,Clopidogrel 75mg,M018_B0085,2032-04-01
M018,Clopidogrel 75mg,M018_B0092,2032-07-18
M018,Clopidogrel 75mg,M018_B0005,2032-07-20
