Medicine_ID,Medicine,Batch_ID,Expiry_Date
M019,Glipizide 5mg,M019_B0048,2026-10-16
M019,Glipizide 5mg,M019_B0059,2026-10-24
M019,Glipizide 5mg,M019_B0089,2026-11-05
M019,Glipizide 5mg,M019_B0030,2026-11-13
M019,Glipizide 5mg,M019_B0016,2027-01-12
M019,Glipizide 5mg,M019_B0038,2027-01-17
M019,Glipizide 5mg,M019_B0011,2027-01-27
M019,Glipizide 5mg,M019_B0007,2027-04-02
M019,Glipizide 5mg,M019_B0084,2027-04-17
M019,Glipizide 5mg,M019_B0021,2027-04-20
M019,Glipizide 5mg,M019_B0002,2027-04-30
M019,Glipizide 5mg,M019_B0062,2027-05-09
M019,Glipizide 5mg,M019_B0005,2027-09-06
M019,Glipizide 5mg,M019_B0018,2027-09-09
M019,Glipizide 5mg,M019_B0051,2027-10-06
M019,Glipizide 5mg,M019_B0009,2027-10-16
M019,Glipizide 5mg,M019_B0020,2027-10-26
M019,Glipizide 5mg,M019_B0066,2027-11-17
M019,Glipizide 5mg,M019_B0023,2027-11-29
M019,Glipizide 5mg,M019_B0047,2028-01-05
M019,Glipizide 5mg,M019_B0013,2028-01-17
M019,Glipizide 5mg,M019_B0039,2028-02-06
M019,Glipizide 5mg,M019_B0090,2028-03-01
M019,Glipizide 5mg,M019_B0103,2028-04-16
M019,Glipizide 5mg,M019_B0105,2028-05-18
M019,Glipizide 5mg,M019_B0004,2028-05-25
M019,Glipizide 5mg,M019_B0029,2028-06-20
M019,Glipizide 5mg,M019_B0060,2028-07-03
M019,Glipizide 5mg,M019_B0034,2028-09-22
M019,Glipizide 5mg,M019_B0053,2028-09-30
M019,Glipizide 5mg,M019_B0028,2028-11-08
M019,Glipizide 5mg,M019_B0046,2028-11-10
M019,Glipizide 5mg,M019_B0104,2028-12-04
M019,Glipizide 5mg,M019_B0063,2028-12-06
M019,Glipizide 5mg,M019_B0067,2028-12-07
M019,Glipizide 5mg,M019_B0042,2028-12-14
M019,Glipizide 5mg,M019_B0041,2029-01-16
M019,Glipizide 5mg,M019_B0080,2029-02-21
M019,Glipizide 5mg,M019_B0026,2029-03-23
M019,Glipizide 5mg,M019_B0061,2029-03-26
M019,Glipizide 5mg,M019_B0081,2029-04-04
M019,Glipizide 5mg,M019_B0033,2029-04-11
M019,Glipizide 5mg,M019_B0092,2029-05-02
M019,Glipizide 5mg,M019_B0094,2029-05-12
M019,Glipizide 5mg,M019_B0065,2029-05-19
M019,Glipizide 5mg,M019_B0025,2029-05-29
M019,Glipizide 5mg,M019_B0008,2029-06-27
M019,Glipizide 5mg,M019_B0082,2029-08-05
M019,Glipizide 5mg,M019_B0097,2029-08-08
M019,Glipizide 5mg,M019_B0079,2029-08-11
M019,Glipizide 5mg,M019_B0101,2029-08-17
M019,Glipizide 5mg,M019_B0075,2029-08-26
M019,Glipizide 5mg,M019_B0086,2029-10-20
M019,Glipizide 5mg,M019_B0073,2029-12-12
M019,Glipizide 5mg,M019_B0070,2029-12-25
M019,Glipizide 5mg,M019_B0031,2030-01-24
M019,Glipizide 5mg,M019_B0019,2030-02-08
M019,Glipizide 5mg,M019_B0058,2030-02-10
M019,Glipizide 5mg,M019_B0072,2030-06-27
M019,Glipizide 5mg,M019_B0052,2030-07-02
M019,Glipizide 5mg,M019_B0078,2030-07-23
M019,Glipizide 5mg,M019_B0014,2030-08-03
M019,Glipizide 5mg,M019_B0064,2030-08-12
M019,Glipizide 5mg,M019_B0043,2030-08-15
M019,Glipizide 5mg,M019_B0027,2030-08-23
M019,Glipizide 5mg,M019_B0040,2030-08-29
M019,Glipizide 5mg,M019_B0102,2030-10-02
M019,Glipizide 5mg,M019_B0006,2030-10-17
M019,Glipizide 5mg,M019_B0057,2030-11-11
M019,Glipizide 5mg,M019_B0098,2030-11-12
M019,Glipizide 5mg,M019_B0050,2030-11-26
M019,Glipizide 5mg,M019_B0055,2030-12-13
M019,Glipizide 5mg,M019_B0107,2031-01-02
M019,Glipizide 5mg,M019_B0015,2031-02-03
M019,Glipizide 5mg,M019_B0068,2031-03-14
M019,Glipizide 5mg,M019_B0087,2031-04-04
M019,Glipizide 5mg,M019_B0099,2031-04-16
M019,Glipizide 5mg,M019_B0044,2031-05-28
M019,Glipizide 5mg,M019_B0093,2031-05-30
M019,Glipizide 5mg,M019_B0076,2031-06-04
M019,Glipizide 5mg,M019_B0010,2031-06-20
M019,Glipizide 5mg,M019_B0083,2031-08-01
M019,Glipizide 5mg,M019_B0045,2031-08-05
M019,Glipizide 5mg,M019_B0100,2031-08-25
M019,Glipizide 5mg,M019_B0077,2031-09-02
M019,Glipizide 5mg,M019_B0088,2031-09-10
M019,Glipizide 5mg,M019_B0022,2031-12-09
M019,Glipizide 5mg,M019_B0108,2031-12-28
M019,Glipizide 5mg,M019_B0091,2032-01-05
M019,Glipizide 5mg,M019_B0036,2032-01-13
M019,Glipizide 5mg,M019_B0069,2032-02-01
M019,Glipizide 5mg,M019_B0017,2032-02-17
M019,Glipizide 5mg,M019_B0035,2032-03-01
M019,Glipizide 5mg,M019_B0095,2032-03-12
M019,Glipizide 5mg,M019_B0024,2032-03-14
M019,Glipizide 5mg,M019_B0085,2032-03-30
