Medicine_ID,Medicine,Batch_ID,Expiry_Date
M020,Simvastatin 20mg,M020_B0041,2026-10-07
M020,Simvastatin 20mg,M020_B0049,2026-12-16
M020,Simvastatin 20mg,M020_B0024,2027-01-01
M020,Simvastatin 20mg,M020_B0099,2027-02-23
M020,Simvastatin 20mg,M020_B0009,2027-06-07
M020,Simvastatin 20mg,M020_B0045,2027-06-07
M020,Simvastatin 20mg,M020_B0018,2027-07-14
M020,Simvastatin 20mg,M020_B0035,2027-07-30
M020,Simvastatin 20mg,M020_B0067,2027-08-12
M020,Simvastatin 20mg,M020_B0063,2027-09-18
M020,Simvastatin 20mg,M020_B0065,2027-09-24
M020,Simvastatin 20mg,M020_B0081,2027-11-21
M020,Simvastatin 20mg,M020_B0107,2027-11-27
M020,Simvastatin 20mg,M020_B0104,2027-12-05
M020,Simvastatin 20mg,M020_B0008,2027-12-14
M020,Simvastatin 20mg,M020_B0085,2028-01-06
M020,Simvastatin 20mg,M020_B0102,2028-01-07
M020,Simvastatin 20mg,M020_B0060,2028-01-10
M020,Simvastatin 20mg,M020_B0004,2028-01-23
M020,Simvastatin 20mg,M020_B0056,2028-01-29
M020,Simvastatin 20mg,M020_B0015,2028-01-30
M020,Simvastatin 20mg,M020_B0034,2028-02-23
M020,Simvastatin 20mg,M020_B0040,2028-03-30
M020,Simvastatin 20mg,M020_B0019,2028-05-14
M020,Simvastatin 20mg,M020_B0026,2028-05-17
M020,Simvastatin 20mg,M020_B0082,2028-05-20
M020,Simvastatin 20mg,M020_B0068,2028-05-30
M020,Simvastatin 20mg,M020_B0002,2028-07-01
M020,Simvastatin 20mg,M020_B0105,2028-07-19
M020,Simvastatin 20mg,M020_B0092,2028-09-02
M020,Simvastatin 20mg,M020_B0005,2028-09-08
M020,Simvastatin 20mg,M020_B0016,2028-09-16
M020,Simvastatin 20mg,M020_B0055,2028-09-21
M020,Simvastatin 20mg,M020_B0051,2028-09-26
M020,Simvastatin 20mg,M020_B0059,2028-10-15
M020,Simvastatin 20mg,M020_B0064,2028-10-15
M020,Simvastatin 20mg,M020_B0058,2028-10-18
M020,Simvastatin 20mg,M020_B0033,2028-11-04
M020,Simvastatin 20mg,M020_B0048,2028-12-21
M020,Simvastatin 20mg,M020_B0080,2028-12-28
M020,Simvastatin 20mg,M020_B0108,2029-01-22
M020,Simvastatin 20mg,M020_B0025,2029-02-12
M020,Simvastatin 20mg,M020_B0086,2029-03-16
M020,Simvastatin 20mg,M020_B0044,2029-04-09
M020,Simvastatin 20mg,M020_B0094,2029-05-12
M020,Simvastatin 20mg,M020_B0088,2029-05-16
M020,Simvastatin 20mg,M020_B0023,2029-06-01
M020,Simvastatin 20mg,M020_B0028,2029-07-05
M020,Simvastatin 20mg,M020_B0101,2029-07-15
M020,Simvastatin 20mg,M020_B0021,2029-08-05
M020,Simvastatin 20mg,M020_B0071,2029-09-14
M020,Simvastatin 20mg,M020_B0100,2029-10-02
M020,Simvastatin 20mg,M020_B0017,2029-10-15
M020,Simvastatin 20mg,M020_B0046,2029-10-15
M020,Simvastatin 20mg,M020_B0073,2029-12-01
M020,Simvastatin 20mg,M020_B0039,2029-12-19
M020,Simvastatin 20mg,M020_B0093,2030-01-12
M020,Simvastatin 20mg,M020_B0050,2030-01-20
M020,Simvastatin 20mg,M020_B0007,2030-01-28
M020,Simvastatin 20mg,M020_B0090,2030-02-02
M020,Simvastatin 20mg,M020_B0047,2030-04-11
M020,Simvastatin 20mg,M020_B0038,2030-04-20
M020,Simvastatin 20mg,M020_B0098,2030-04-28
M020,Simvastatin 20mg,M020_B0030,2030-05-02
M020,Simvastatin 20mg,M020_B0020,2030-05-31
M020,Simvastatin 20mg,M020_B0043,2030-06-17
M020,Simvastatin 20mg,M020_B0029,2030-08-22
M020,Simvastatin 20mg,M020_B0022,2030-08-25
M020,Simvastatin 20mg,M020_B0089,2030-09-16
M020,Simvastatin 20mg,M020_B0078,2030-11-01
M020,Simvastatin 20mg,M020_B0054,2030-11-21
M020,Simvastatin 20mg,M020_B0061,2031-01-31
M020,Simvastatin 20mg,M020_B0106,2031-02-01
M020,Simvastatin 20mg,M020_B0103,2031-04-05
M020,Simvastatin 20mg,M020_B0062,2031-04-07
M020,Simvastatin 20mg,M020_B0037,2031-04-20
M020,Simvastatin 20mg,M020_B0011,2031-04-21
M020,Simvastatin 20mg,M020_B0010,2031-05-08
M020,Simvastatin 20mg,M020_B0036,2031-05-11
M020,Simvastatin 20mg,M020_B0027,2031-05-15
M020,Simvastatin 20mg,M020_B0076,2031-06-08
M020,Simvastatin 20mg,M020_B0042,2031-07-07
M020,Simvastatin 20mg,M020_B0079,2031-07-09
M020,Simvastatin 20mg,M020_B0077,2031-08-17
M020,Simvastatin 20mg,M020_B0012,2031-08-28
M020,Simvastatin 20mg,M020_B0031,2031-09-19
M020,Simvastatin 20mg,M020_B0006,2031-09-22
M020,Simvastatin 20mg,M020_B0003,2031-10-21
M020,Simvastatin 20mg,M020_B0083,2031-12-03
M020,Simvastatin 20mg,M020_B0069,2031-12-25
M020,Simvastatin 20mg,M020_B0097,2031-12-28
M020,Simvastatin 20mg,M020_B0091,2032-01-23
M020,Simvastatin 20mg,M020_B0096,2032-02-29
M020,Simvastatin 20mg,M020_B0014,2032-03-15
M020,Simvastatin 20mg,M020_B0066,2032-04-17
M020,Simvastatin 20mg,M020_B0053,2032-04-22
M020,Simvastatin 20mg,M020_B0057,2032-05-03
M020,Simvastatin 20mg,M020_B0087,2032-06-23
M020,Simvastatin 20mg,M020_B0074,2032-07-21
M020,Simvastatin 20mg,M020_B0032,2032-08-01
M020,Simvastatin 20mg,M020_B0070,2032-08-03
M020,Simvastatin 20mg,M020_B0001,2032-08-06
M020,Simvastatin 20mg,M020_B0013,2032-08-17
M020,Simvastatin 20mg,M020_B0052,2032-08-27
M020,Simvastatin 20mg,M020_B0072,2032-08-27
M020,Simvastatin 20mg,M020_B0095,2032-08-31
M020,Simvastatin 20mg,M020_B0084,2032-09-10
M020,Simvastatin 20mg,M020_B0075,2032-09-18
