Medicine_ID,Medicine,Batch_ID,Expiry_Date
M001,Paracetamol,M001_B0001,2026-12-01
M001,Paracetamol,M001_B0002,2026-08-29
M001,Paracetamol,M001_B0003,2026-11-27
M001,Paracetamol,M001_B0004,2027-03-30
M001,Paracetamol,M001_B0005,2026-12-13
M001,Paracetamol,M001_B0006,2027-05-10
M001,Paracetamol,M001_B0007,2027-02-08
M001,Paracetamol,M001_B0008,2027-06-19
M001,Paracetamol,M001_B0009,2027-05-22
M001,Paracetamol,M001_B0010,2027-05-15
M001,Paracetamol,M001_B0011,2027-05-05
M001,Paracetamol,M001_B0012,2027-06-30
M001,Paracetamol,M001_B0013,2027-01-28
M001,Paracetamol,M001_B0014,2027-11-01
M001,Paracetamol,M001_B0015,2027-05-08
M001,Paracetamol,M001_B0016,2027-04-24
M001,Paracetamol,M001_B0017,2028-01-15
M001,Paracetamol,M001_B0018,2027-11-24
M001,Paracetamol,M001_B0019,2027-04-19
M001,Paracetamol,M001_B0020,2028-01-20
M001,Paracetamol,M001_B0021,2027-05-28
M001,Paracetamol,M001_B0022,2027-10-14
M001,Paracetamol,M001_B0023,2028-01-02
M001,Paracetamol,M001_B0024,2028-04-28
M001,Paracetamol,M001_B0025,2028-05-09
M001,Paracetamol,M001_B0026,2027-11-03
M001,Paracetamol,M001_B0027,2028-04-26
M001,Paracetamol,M001_B0028,2028-07-10
M001,Paracetamol,M001_B0029,2027-09-19
M001,Paracetamol,M001_B0030,2028-02-24
M001,Paracetamol,M001_B0031,2027-11-11
M001,Paracetamol,M001_B0032,2028-06-15
M001,Paracetamol,M001_B0033,2028-07-17
M001,Paracetamol,M001_B0034,2028-04-23
M001,Paracetamol,M001_B0035,2027-12-20
M001,Paracetamol,M001_B0036,2028-07-20
M001,Paracetamol,M001_B0037,2028-03-10
M001,Paracetamol,M001_B0038,2028-04-01
M001,Paracetamol,M001_B0039,2028-12-28
M001,Paracetamol,M001_B0040,2028-05-26
M001,Paracetamol,M001_B0041,2028-07-15
M001,Paracetamol,M001_B0042,2029-02-24
M001,Paracetamol,M001_B0043,2028-04-29
M001,Paracetamol,M001_B0044,2028-10-05
M001,Paracetamol,M001_B0045,2028-06-02
M001,Paracetamol,M001_B0046,2028-08-05
M001,Paracetamol,M001_B0047,2028-06-02
M001,Paracetamol,M001_B0048,2028-10-26
M001,Paracetamol,M001_B0049,2028-09-24
M001,Paracetamol,M001_B0050,2029-05-07
M001,Paracetamol,M001_B0051,2028-12-29
M001,Paracetamol,M001_B0052,2028-09-03
M001,Paracetamol,M001_B0053,2029-04-14
M001,Paracetamol,M001_B0054,2028-11-24
M001,Paracetamol,M001_B0055,2029-08-10
M001,Paracetamol,M001_B0056,2029-01-28
M001,Paracetamol,M001_B0057,2029-09-13
M001,Paracetamol,M001_B0058,2029-10-21
M001,Paracetamol,M001_B0059,2029-03-16
M001,Paracetamol,M001_B0060,2029-07-13
M001,Paracetamol,M001_B0061,2028-12-10
M001,Paracetamol,M001_B0062,2029-09-17
M001,Paracetamol,M001_B0063,2029-11-28
M001,Paracetamol,M001_B0064,2029-08-01
M001,Paracetamol,M001_B0065,2029-12-26
M001,Paracetamol,M001_B0066,2029-07-30
M001,Paracetamol,M001_B0067,2029-12-03
M001,Paracetamol,M001_B0068,2029-09-26
M001,Paracetamol,M001_B0069,2029-09-03
M001,Paracetamol,M001_B0070,2029-11-18
M001,Paracetamol,M001_B0071,2029-09-26
M001,Paracetamol,M001_B0072,2029-08-22
M001,Paracetamol,M001_B0073,2030-05-06
M001,Paracetamol,M001_B0074,2029-10-17
M001,Paracetamol,M001_B0075,2029-08-27
M001,Paracetamol,M001_B0076,2030-04-29
M001,Paracetamol,M001_B0077,2030-01-05
M001,Paracetamol,M001_B0078,2030-05-09
M001,Paracetamol,M001_B0079,2029-09-18
M001,Paracetamol,M001_B0080,2030-06-16
M001,Paracetamol,M001_B0081,2030-08-12
M001,Paracetamol,M001_B0082,2030-02-16
M001,Paracetamol,M001_B0083,2029-12-14
M001,Paracetamol,M001_B0084,2030-08-02
M001,Paracetamol,M001_B0085,2030-06-04
M001,Paracetamol,M001_B0086,2030-03-22
M001,Paracetamol,M001_B0087,2030-01-16
M001,Paracetamol,M001_B0088,2030-06-11
M001,Paracetamol,M001_B0089,2030-05-03
M001,Paracetamol,M001_B0090,2030-03-02
M001,Paracetamol,M001_B0091,2031-01-30
M001,Paracetamol,M001_B0092,2030-07-23
M001,Paracetamol,M001_B0093,2030-10-04
M001,Paracetamol,M001_B0094,2031-04-01
M001,Paracetamol,M001_B0095,2031-03-27
M001,Paracetamol,M001_B0096,2031-01-01
M001,Paracetamol,M001_B0097,2031-05-19
M001,Paracetamol,M001_B0098,2030-11-23
M001,Paracetamol,M001_B0099,2031-06-28
M001,Paracetamol,M001_B0100,2030-11-20
M001,Paracetamol,M001_B0101,2030-08-03
M001,Paracetamol,M001_B0102,2031-01-06
M001,Paracetamol,M001_B0103,2031-08-28
M001,Paracetamol,M001_B0104,2031-02-14
M001,Paracetamol,M001_B0105,2031-06-05
M001,Paracetamol,M001_B0106,2031-04-27
M001,Paracetamol,M001_B0107,2031-03-06
