Medicine_ID,Medicine,Batch_ID,Expiry_Date
M002,Ibuprofen,M002_B001,2027-02-11
M002,Ibuprofen,M002_B002,2026-07-11
M002,Ibuprofen,M002_B003,2026-10-19
M002,Ibuprofen,M002_B004,2028-04-01
M002,Ibuprofen,M002_B005,2026-05-16
M002,Ibuprofen,M002_B006,2027-09-10
M002,Ibuprofen,M002_B007,2027-12-22
M002,Ibuprofen,M002_B008,2028-02-10
M002,Ibuprofen,M002_B009,2026-05-29
M002,Ibuprofen,M002_B010,2026-09-21
M002,Ibuprofen,M002_B011,2028-02-28
M002,Ibuprofen,M002_B012,2027-07-06
M002,Ibuprofen,M002_B013,2026-02-02
M002,Ibuprofen,M002_B014,2026-03-17
M002,Ibuprofen,M002_B015,2026-02-12
M002,Ibuprofen,M002_B016,2026-10-08
M002,Ibuprofen,M002_B017,2026-03-19
M002,Ibuprofen,M002_B018,2027-05-29
M002,Ibuprofen,M002_B019,2027-02-07
M002,Ibuprofen,M002_B020,2027-02-27
M002,Ibuprofen,M002_B021,2026-07-03
M002,Ibuprofen,M002_B022,2026-08-02
M002,Ibuprofen,M002_B023,2026-03-08
M002,Ibuprofen,M002_B024,2027-08-20
M002,Ibuprofen,M002_B025,2028-05-02
