Medicine_ID,Medicine,Batch_ID,Expiry_Date
M003,Amoxicillin,M003_B0001,2027-03-21
M003,Amoxicillin,M003_B0002,2026-11-28
M003,Amoxicillin,M003_B0003,2026-09-11
M003,Amoxicillin,M003_B0004,2026-09-18
M003,Amoxicillin,M003_B0005,2027-01-10
M003,Amoxicillin,M003_B0006,2027-04-26
M003,Amoxicillin,M003_B0007,2027-06-22
M003,Amoxicillin,M003_B0008,2027-06-24
M003,Amoxicillin,M003_B0009,2027-10-16
M003,Amoxicillin,M003_B0010,2027-10-20
M003,Amoxicillin,M003_B0011,2027-03-17
M003,Amoxicillin,M003_B0012,2027-01-28
M003,Amoxicillin,M003_B0013,2027-08-24
M003,Amoxicillin,M003_B0014,2027-08-20
M003,Amoxicillin,M003_B0015,2027-10-26
M003,Amoxicillin,M003_B0016,2027-06-10
M003,Amoxicillin,M003_B0017,2027-06-18
M003,Amoxicillin,M003_B0018,2027-04-17
M003,Amoxicillin,M003_B0019,2027-05-21
M003,Amoxicillin,M003_B0020,2027-10-11
M003,Amoxicillin,M003_B0021,2027-05-31
M003,Amoxicillin,M003_B0022,2027-11-29
M003,Amoxicillin,M003_B0023,2027-05-27
M003,Amoxicillin,M003_B0024,2027-07-12
M003,Amoxicillin,M003_B0025,2027-07-08
M003,Amoxicillin,M003_B0026,2027-11-11
M003,Amoxicillin,M003_B0027,2028-05-07
M003,Amoxicillin,M003_B0028,2027-10-19
M003,Amoxicillin,M003_B0029,2028-06-07
