Medicine_ID,Medicine,Batch_ID,Expiry_Date
M004,Insulin,M004_B001,2026-11-25
M004,Insulin,M004_B002,2027-08-31
M004,Insulin,M004_B003,2028-04-13
M004,Insulin,M004_B004,2026-12-08
M004,Insulin,M004_B005,2028-02-27
M004,Insulin,M004_B006,2027-10-30
M004,Insulin,M004_B007,2026-10-06
M004,Insulin,M004_B008,2027-05-21
M004,Insulin,M004_B009,2027-02-12
M004,Insulin,M004_B010,2027-09-28
M004,Insulin,M004_B011,2027-06-20
M004,Insulin,M004_B012,2028-04-01
M004,Insulin,M004_B013,2028-04-04
M004,Insulin,M004_B014,2026-08-19
M004,Insulin,M004_B015,2028-02-20
M004,Insulin,M004_B016,2027-08-13
M004,Insulin,M004_B017,2028-03-19
M004,Insulin,M004_B018,2028-04-25
M004,Insulin,M004_B019,2026-10-09
M004,Insulin,M004_B020,2026-07-04
M004,Insulin,M004_B021,2026-02-06
M004,Insulin,M004_B022,2027-03-26
M004,Insulin,M004_B023,2026-02-24
M004,Insulin,M004_B024,2026-09-26
M004,Insulin,M004_B025,2027-08-08
M004,Insulin,M004_B026,2027-01-20
