Medicine_ID,Medicine,Batch_ID,Expiry_Date
M005,Epinephrine,M005_B0001,2026-12-25
M005,Epinephrine,M005_B0002,2026-08-31
M005,Epinephrine,M005_B0003,2027-05-29
M005,Epinephrine,M005_B0004,2027-03-12
M005,Epinephrine,M005_B0005,2027-05-04
M005,Epinephrine,M005_B0006,2027-02-22
M005,Epinephrine,M005_B0007,2027-02-04
M005,Epinephrine,M005_B0008,2027-09-16
M005,Epinephrine,M005_B0009,2027-08-31
M005,Epinephrine,M005_B0010,2027-07-09
M005,Epinephrine,M005_B0011,2027-02-20
M005,Epinephrine,M005_B0012,2027-11-07
M005,Epinephrine,M005_B0013,2027-10-20
M005,Epinephrine,M005_B0014,2027-06-04
M005,Epinephrine,M005_B0015,2027-09-17
M005,Epinephrine,M005_B0016,2028-01-04
M005,Epinephrine,M005_B0017,2028-01-15
M005,Epinephrine,M005_B0018,2027-09-27
M005,Epinephrine,M005_B0019,2027-10-19
M005,Epinephrine,M005_B0020,2028-01-11
M005,Epinephrine,M005_B0021,2027-09-11
M005,Epinephrine,M005_B0022,2027-06-27
M005,Epinephrine,M005_B0023,2027-09-17
M005,Epinephrine,M005_B0024,2027-07-08
M005,Epinephrine,M005_B0025,2027-10-14
M005,Epinephrine,M005_B0026,2027-11-28
M005,Epinephrine,M005_B0027,2028-05-17
M005,Epinephrine,M005_B0028,2028-04-21
M005,Epinephrine,M005_B0029,2028-03-25
M005,Epinephrine,M005_B0030,2028-03-22
M005,Epinephrine,M005_B0031,2028-06-26
M005,Epinephrine,M005_B0032,2028-08-09
M005,Epinephrine,M005_B0033,2028-10-08
M005,Epinephrine,M005_B0034,2028-04-13
M005,Epinephrine,M005_B0035,2027-12-14
M005,Epinephrine,M005_B0036,2028-10-07
M005,Epinephrine,M005_B0037,2028-09-29
M005,Epinephrine,M005_B0038,2028-07-16
M005,Epinephrine,M005_B0039,2028-10-11
M005,Epinephrine,M005_B0040,2028-04-05
M005,Epinephrine,M005_B0041,2028-05-29
M005,Epinephrine,M005_B0042,2028-10-01
M005,Epinephrine,M005_B0043,2028-06-18
M005,Epinephrine,M005_B0044,2028-11-22
M005,Epinephrine,M005_B0045,2029-03-24
M005,Epinephrine,M005_B0046,2028-08-15
M005,Epinephrine,M005_B0047,2028-10-07
M005,Epinephrine,M005_B0048,2028-06-05
M005,Epinephrine,M005_B0049,2029-03-28
M005,Epinephrine,M005_B0050,2029-02-01
M005,Epinephrine,M005_B0051,2028-11-28
M005,Epinephrine,M005_B0052,2028-09-10
M005,Epinephrine,M005_B0053,2029-05-10
M005,Epinephrine,M005_B0054,2029-05-03
M005,Epinephrine,M005_B0055,2028-09-14
M005,Epinephrine,M005_B0056,2029-03-19
M005,Epinephrine,M005_B0057,2029-03-06
M005,Epinephrine,M005_B0058,2029-03-28
M005,Epinephrine,M005_B0059,2028-11-22
M005,Epinephrine,M005_B0060,2029-05-31
M005,Epinephrine,M005_B0061,2029-09-19
M005,Epinephrine,M005_B0062,2029-02-24
M005,Epinephrine,M005_B0063,2029-01-29
M005,Epinephrine,M005_B0064,2029-03-29
M005,Epinephrine,M005_B0065,2029-07-21
M005,Epinephrine,M005_B0066,2029-08-02
M005,Epinephrine,M005_B0067,2029-09-27
M005,Epinephrine,M005_B0068,2030-01-30
M005,Epinephrine,M005_B0069,2029-05-26
M005,Epinephrine,M005_B0070,2030-01-18
M005,Epinephrine,M005_B0071,2029-09-17
M005,Epinephrine,M005_B0072,2029-10-12
M005,Epinephrine,M005_B0073,2029-12-18
M005,Epinephrine,M005_B0074,2029-10-27
M005,Epinephrine,M005_B0075,2030-04-14
M005,Epinephrine,M005_B0076,2029-09-26
M005,Epinephrine,M005_B0077,2030-06-28
M005,Epinephrine,M005_B0078,2030-05-08
M005,Epinephrine,M005_B0079,2030-07-20
M005,Epinephrine,M005_B0080,2030-04-24
M005,Epinephrine,M005_B0081,2030-07-15
M005,Epinephrine,M005_B0082,2030-10-09
M005,Epinephrine,M005_B0083,2030-03-05
M005,Epinephrine,M005_B0084,2030-02-17
M005,Epinephrine,M005_B0085,2029-12-18
M005,Epinephrine,M005_B0086,2030-11-05
M005,Epinephrine,M005_B0087,2030-02-11
M005,Epinephrine,M005_B0088,2030-07-01
M005,Epinephrine,M005_B0089,2030-05-04
M005,Epinephrine,M005_B0090,2030-05-27
M005,Epinephrine,M005_B0091,2031-01-06
M005,Epinephrine,M005_B0092,2030-09-26
M005,Epinephrine,M005_B0093,2030-04-06
M005,Epinephrine,M005_B0094,2030-07-02
M005,Epinephrine,M005_B0095,2030-05-31
M005,Epinephrine,M005_B0096,2030-08-03
M005,Epinephrine,M005_B0097,2031-02-27
