Medicine_ID,Medicine,Batch_ID,Expiry_Date
M006,Salbutamol,M006_B0001,2026-06-25
M006,Salbutamol,M006_B0002,2026-12-19
M006,Salbutamol,M006_B0003,2027-02-18
M006,Salbutamol,M006_B0004,2027-04-25
M006,Salbutamol,M006_B0005,2026-10-04
M006,Salbutamol,M006_B0006,2027-02-07
M006,Salbutamol,M006_B0007,2027-05-10
M006,Salbutamol,M006_B0008,2027-05-20
M006,Salbutamol,M006_B0009,2027-02-14
M006,Salbutamol,M006_B0010,2027-06-19
M006,Salbutamol,M006_B0011,2027-08-29
M006,Salbutamol,M006_B0012,2027-06-20
M006,Salbutamol,M006_B0013,2027-08-22
M006,Salbutamol,M006_B0014,2027-10-20
M006,Salbutamol,M006_B0015,2027-11-14
M006,Salbutamol,M006_B0016,2027-07-23
M006,Salbutamol,M006_B0017,2027-07-08
M006,Salbutamol,M006_B0018,2027-07-21
M006,Salbutamol,M006_B0019,2027-03-30
M006,Salbutamol,M006_B0020,2028-03-31
M006,Salbutamol,M006_B0021,2027-11-28
M006,Salbutamol,M006_B0022,2028-02-05
M006,Salbutamol,M006_B0023,2027-08-02
