Medicine_ID,Medicine,Batch_ID,Expiry_Date
M007,Morphine,M007_B001,2026-09-30
M007,Morphine,M007_B002,2026-11-25
M007,Morphine,M007_B003,2026-10-25
M007,Morphine,M007_B004,2026-12-19
M007,Morphine,M007_B005,2028-04-30
M007,Morphine,M007_B006,2027-03-09
M007,Morphine,M007_B007,2028-01-18
M007,Morphine,M007_B008,2028-05-31
M007,Morphine,M007_B009,2028-02-23
M007,Morphine,M007_B010,2026-12-31
M007,Morphine,M007_B011,2026-12-22
M007,Morphine,M007_B012,2027-05-09
M007,Morphine,M007_B013,2026-11-05
M007,Morphine,M007_B014,2026-09-27
M007,Morphine,M007_B015,2026-04-17
M007,Morphine,M007_B016,2026-08-26
M007,Morphine,M007_B017,2026-06-19
M007,Morphine,M007_B018,2028-04-08
M007,Morphine,M007_B019,2028-03-29
M007,Morphine,M007_B020,2027-09-21
M007,Morphine,M007_B021,2026-05-22
M007,Morphine,M007_B022,2026-07-09
M007,Morphine,M007_B023,2026-05-19
M007,Morphine,M007_B024,2026-07-18
