Medicine_ID,Medicine,Batch_ID,Expiry_Date
M008,Aspirin,M008_B0001,2026-07-21
M008,Aspirin,M008_B0002,2027-04-18
M008,Aspirin,M008_B0003,2026-12-29
M008,Aspirin,M008_B0004,2027-03-13
M008,Aspirin,M008_B0005,2027-03-03
M008,Aspirin,M008_B0006,2027-03-19
M008,Aspirin,M008_B0007,2027-01-13
M008,Aspirin,M008_B0008,2027-04-26
M008,Aspirin,M008_B0009,2027-07-23
M008,Aspirin,M008_B0010,2026-11-28
M008,Aspirin,M008_B0011,2027-07-11
M008,Aspirin,M008_B0012,2027-09-22
M008,Aspirin,M008_B0013,2027-11-27
M008,Aspirin,M008_B0014,2027-09-02
M008,Aspirin,M008_B0015,2027-12-07
M008,Aspirin,M008_B0016,2027-12-07
M008,Aspirin,M008_B0017,2027-09-20
M008,Aspirin,M008_B0018,2027-12-28
M008,Aspirin,M008_B0019,2027-07-07
M008,Aspirin,M008_B0020,2027-08-15
M008,Aspirin,M008_B0021,2027-08-10
M008,Aspirin,M008_B0022,2028-01-24
M008,Aspirin,M008_B0023,2027-09-28
M008,Aspirin,M008_B0024,2027-08-29
M008,Aspirin,M008_B0025,2027-10-25
M008,Aspirin,M008_B0026,2027-07-04
M008,Aspirin,M008_B0027,2027-11-27
M008,Aspirin,M008_B0028,2028-01-24
M008,Aspirin,M008_B0029,2028-06-24
M008,Aspirin,M008_B0030,2027-12-08
M008,Aspirin,M008_B0031,2027-11-05
M008,Aspirin,M008_B0032,2028-03-26
M008,Aspirin,M008_B0033,2028-09-20
M008,Aspirin,M008_B0034,2028-07-06
M008,Aspirin,M008_B0035,2028-09-27
M008,Aspirin,M008_B0036,2028-04-21
M008,Aspirin,M008_B0037,2028-07-25
M008,Aspirin,M008_B0038,2028-09-25
M008,Aspirin,M008_B0039,2028-11-06
M008,Aspirin,M008_B0040,2028-11-07
M008,Aspirin,M008_B0041,2028-12-28
M008,Aspirin,M008_B0042,2028-05-26
M008,Aspirin,M008_B0043,2028-11-12
M008,Aspirin,M008_B0044,2028-06-11
M008,Aspirin,M008_B0045,2028-08-10
M008,Aspirin,M008_B0046,2028-09-04
M008,Aspirin,M008_B0047,2028-08-15
M008,Aspirin,M008_B0048,2028-06-13
M008,Aspirin,M008_B0049,2028-11-21
M008,Aspirin,M008_B0050,2029-02-15
M008,Aspirin,M008_B0051,2029-04-18
M008,Aspirin,M008_B0052,2029-04-22
M008,Aspirin,M008_B0053,2029-06-20
M008,Aspirin,M008_B0054,2028-12-30
M008,Aspirin,M008_B0055,2028-12-08
M008,Aspirin,M008_B0056,2028-10-08
M008,Aspirin,M008_B0057,2029-02-03
M008,Aspirin,M008_B0058,2029-07-06
M008,Aspirin,M008_B0059,2029-02-23
M008,Aspirin,M008_B0060,2029-09-13
M008,Aspirin,M008_B0061,2029-01-12
M008,Aspirin,M008_B0062,2029-06-02
M008,Aspirin,M008_B0063,2029-07-15
M008,Aspirin,M008_B0064,2030-01-06
M008,Aspirin,M008_B0065,2029-12-15
M008,Aspirin,M008_B0066,2029-07-21
M008,Aspirin,M008_B0067,2029-05-28
M008,Aspirin,M008_B0068,2029-10-30
M008,Aspirin,M008_B0069,2029-05-12
M008,Aspirin,M008_B0070,2029-11-05
M008,Aspirin,M008_B0071,2029-07-27
M008,Aspirin,M008_B0072,2029-10-31
M008,Aspirin,M008_B0073,2030-03-21
M008,Aspirin,M008_B0074,2030-06-05
M008,Aspirin,M008_B0075,2029-12-14
M008,Aspirin,M008_B0076,2030-07-08
M008,Aspirin,M008_B0077,2029-08-26
M008,Aspirin,M008_B0078,2029-10-05
M008,Aspirin,M008_B0079,2030-02-17
M008,Aspirin,M008_B0080,2029-10-18
M008,Aspirin,M008_B0081,2030-07-18
M008,Aspirin,M008_B0082,2030-07-30
M008,Aspirin,M008_B0083,2030-06-29
M008,Aspirin,M008_B0084,2029-12-22
M008,Aspirin,M008_B0085,2030-03-29
M008,Aspirin,M008_B0086,2030-02-01
M008,Aspirin,M008_B0087,2030-08-08
M008,Aspirin,M008_B0088,2030-12-15
M008,Aspirin,M008_B0089,2030-05-31
M008,Aspirin,M008_B0090,2030-09-07
M008,Aspirin,M008_B0091,2030-05-15
M008,Aspirin,M008_B0092,2030-12-28
M008,Aspirin,M008_B0093,2030-04-17
M008,Aspirin,M008_B0094,2031-01-25
M008,Aspirin,M008_B0095,2030-12-25
M008,Aspirin,M008_B0096,2030-07-20
M008,Aspirin,M008_B0097,2030-11-19
M008,Aspirin,M008_B0098,2031-05-02
M008,Aspirin,M008_B0099,2031-04-29
M008,Aspirin,M008_B0100,2030-08-17
M008,Aspirin,M008_B0101,2031-06-05
M008,Aspirin,M008_B0102,2030-11-30
M008,Aspirin,M008_B0103,2031-01-08
M008,Aspirin,M008_B0104,2031-05-23
M008,Aspirin,M008_B0105,2031-07-07
M008,Aspirin,M008_B0106,2031-08-24
M008,Aspirin,M008_B0107,2030-12-31
M008,Aspirin,M008_B0108,2031-09-18
M008,Aspirin,M008_B0109,2031-06-02
M008,Aspirin,M008_B0110,2031-09-20
M008,Aspirin,M008_B0111,2031-05-31
M008,Aspirin,M008_B0112,2031-12-11
M008,Aspirin,M008_B0113,2031-03-11
M008,Aspirin,M008_B0114,2031-12-16
M008,Aspirin,M008_B0115,2032-02-26
M008,Aspirin,M008_B0116,2031-09-15
M008,Aspirin,M008_B0117,2031-04-25
M008,Aspirin,M008_B0118,2031-09-05
M008,Aspirin,M008_B0119,2031-07-30
M008,Aspirin,M008_B0120,2031-10-26
M008,Aspirin,M008_B0121,2031-08-08
