Medicine_ID,Medicine,Batch_ID,Expiry_Date
M009,Metformin,M009_B0001,2026-11-10
M009,Metformin,M009_B0002,2026-08-01
M009,Metformin,M009_B0003,2026-08-25
M009,Metformin,M009_B0004,2026-11-15
M009,Metformin,M009_B0005,2026-10-15
M009,Metformin,M009_B0006,2027-07-25
M009,Metformin,M009_B0007,2027-03-13
M009,Metformin,M009_B0008,2026-11-28
M009,Metformin,M009_B0009,2027-04-17
M009,Metformin,M009_B0010,2027-06-17
M009,Metformin,M009_B0011,2027-02-23
M009,Metformin,M009_B0012,2027-11-03
M009,Metformin,M009_B0013,2027-03-23
M009,Metformin,M009_B0014,2027-03-06
M009,Metformin,M009_B0015,2027-03-18
M009,Metformin,M009_B0016,2027-03-12
M009,Metformin,M009_B0017,2028-02-07
M009,Metformin,M009_B0018,2027-06-16
M009,Metformin,M009_B0019,2028-01-15
M009,Metformin,M009_B0020,2027-05-04
M009,Metformin,M009_B0021,2027-12-21
M009,Metformin,M009_B0022,2028-01-26
M009,Metformin,M009_B0023,2027-08-30
M009,Metformin,M009_B0024,2027-12-22
M009,Metformin,M009_B0025,2027-08-07
M009,Metformin,M009_B0026,2028-02-09
M009,Metformin,M009_B0027,2028-02-13
M009,Metformin,M009_B0028,2028-06-25
M009,Metformin,M009_B0029,2028-01-29
M009,Metformin,M009_B0030,2028-06-27
M009,Metformin,M009_B0031,2028-01-24
M009,Metformin,M009_B0032,2027-11-02
M009,Metformin,M009_B0033,2028-01-07
M009,Metformin,M009_B0034,2028-08-12
M009,Metformin,M009_B0035,2028-02-25
M009,Metformin,M009_B0036,2028-11-17
M009,Metformin,M009_B0037,2028-04-12
M009,Metformin,M009_B0038,2028-03-19
M009,Metformin,M009_B0039,2028-10-05
M009,Metformin,M009_B0040,2028-08-13
M009,Metformin,M009_B0041,2028-08-15
M009,Metformin,M009_B0042,2028-04-06
M009,Metformin,M009_B0043,2028-10-13
M009,Metformin,M009_B0044,2028-12-30
M009,Metformin,M009_B0045,2028-10-04
M009,Metformin,M009_B0046,2028-12-14
M009,Metformin,M009_B0047,2028-12-27
M009,Metformin,M009_B0048,2029-02-08
M009,Metformin,M009_B0049,2029-03-11
M009,Metformin,M009_B0050,2029-01-08
M009,Metformin,M009_B0051,2028-07-20
M009,Metformin,M009_B0052,2028-10-03
M009,Metformin,M009_B0053,2029-03-16
M009,Metformin,M009_B0054,2028-08-29
M009,Metformin,M009_B0055,2028-10-10
M009,Metformin,M009_B0056,2028-12-31
M009,Metformin,M009_B0057,2029-07-04
M009,Metformin,M009_B0058,2029-03-13
M009,Metformin,M009_B0059,2029-02-11
M009,Metformin,M009_B0060,2029-08-29
M009,Metformin,M009_B0061,2029-10-23
M009,Metformin,M009_B0062,2029-10-05
M009,Metformin,M009_B0063,2029-09-17
M009,Metformin,M009_B0064,2029-08-07
M009,Metformin,M009_B0065,2029-07-21
M009,Metformin,M009_B0066,2029-08-17
M009,Metformin,M009_B0067,2029-10-07
