Medicine_ID,Medicine,Batch_ID,Expiry_Date
M010,Atorvastatin,M010_B001,2027-09-19
M010,Atorvastatin,M010_B002,2027-09-23
M010,Atorvastatin,M010_B003,2026-10-23
M010,Atorvastatin,M010_B004,2028-05-12
M010,Atorvastatin,M010_B005,2026-04-17
M010,Atorvastatin,M010_B006,2026-02-22
M010,Atorvastatin,M010_B007,2026-04-07
M010,Atorvastatin,M010_B008,2026-08-21
M010,Atorvastatin,M010_B009,2027-11-23
M010,Atorvastatin,M010_B010,2027-04-30
M010,Atorvastatin,M010_B011,2028-05-08
M010,Atorvastatin,M010_B012,2026-06-11
M010,Atorvastatin,M010_B013,2026-05-05
M010,Atorvastatin,M010_B014,2028-06-16
M010,Atorvastatin,M010_B015,2028-05-29
M010,Atorvastatin,M010_B016,2028-05-08
M010,Atorvastatin,M010_B017,2027-01-05
M010,Atorvastatin,M010_B018,2026-06-05
M010,Atorvastatin,M010_B019,2026-03-15
M010,Atorvastatin,M010_B020,2027-05-18
M010,Atorvastatin,M010_B021,2026-03-23
M010,Atorvastatin,M010_B022,2026-07-22
